date_day,fever_first_day
2020-01-01,26
2020-01-02,23
2020-01-03,15
2020-01-04,17
2020-01-05,16
2020-01-06,16
2020-01-07,12
2020-01-08,12
2020-01-09,17
2020-01-10,15
2020-01-11,26
2020-01-12,16
2020-01-13,14
2020-01-14,15
2020-01-15,13
2020-01-16,15
2020-01-17,26
2020-01-18,22
2020-01-19,27
2020-01-20,13
2020-01-21,15
2020-01-22,13
2020-01-23,17
2020-01-24,29
2020-01-25,34
2020-01-26,43
2020-01-27,22
2020-01-28,26
2020-01-29,17
2020-01-30,24
2020-01-31,39
2020-02-01,36
2020-02-02,48
2020-02-03,23
2020-02-04,27
2020-02-05,23
2020-02-06,22
2020-02-07,21
2020-02-08,41
2020-02-09,37
2020-02-10,18
2020-02-11,26
2020-02-12,25
2020-02-13,22
2020-02-14,15
2020-02-15,28
2020-02-16,29
2020-02-17,19
2020-02-18,22
2020-02-19,16
2020-02-20,22
2020-02-21,17
2020-02-22,22
2020-02-23,25
2020-02-24,23
2020-02-25,13
2020-02-26,16
2020-02-27,19
2020-02-28,18
2020-02-29,31
2020-03-01,31
2020-03-02,23
2020-03-03,22
2020-03-04,18
2020-03-05,19
2020-03-06,22
2020-03-07,22
2020-03-08,20
2020-03-09,13
2020-03-10,17
2020-03-11,14
2020-03-12,18
2020-03-13,16
2020-03-14,21
2020-03-15,21
2020-03-16,15
2020-03-17,18
2020-03-18,10
2020-03-19,18
2020-03-20,13
2020-03-21,12
2020-03-22,15
2020-03-23,6
2020-03-24,14
2020-03-25,6
2020-03-26,7
2020-03-27,11
2020-03-28,9
2020-03-29,7
2020-03-30,6
2020-03-31,5
2020-04-01,5
2020-04-02,8
2020-04-03,8
2020-04-04,13
2020-04-05,8
2020-04-06,6
2020-04-07,8
2020-04-08,9
2020-04-09,9
2020-04-10,9
2020-04-11,5
2020-04-12,7
2020-04-13,11
2020-04-14,NA
2020-04-15,7
2020-04-16,7
2020-04-17,NA
2020-04-18,6
2020-04-19,6
2020-04-20,NA
2020-04-21,10
2020-04-22,8
2020-04-23,9
2020-04-24,6
2020-04-25,5
2020-04-26,13
2020-04-27,NA
2020-04-28,NA
2020-04-29,NA
2020-04-30,7
2020-05-01,7
2020-05-02,NA
2020-05-03,5
2020-05-04,12
2020-05-05,6
2020-05-06,5
2020-05-07,NA
2020-05-08,NA
2020-05-09,14
2020-05-10,6
2020-05-11,NA
2020-05-12,5
2020-05-13,NA
2020-05-14,7
2020-05-15,NA
2020-05-16,5
2020-05-17,12
2020-05-18,NA
2020-05-19,8
2020-05-20,7
2020-05-21,7
2020-05-22,9
2020-05-23,10
2020-05-24,NA
2020-05-25,9
2020-05-26,NA
2020-05-27,10
