date_day,icd10_code_001_J12.8,icd10_code_002_I10.90,icd10_code_003_J96.00,icd10_code_004_Z22.8,icd10_code_005_B33.8,icd10_cat_001_E87,icd10_cat_002_J12,icd10_cat_003_J96,icd10_cat_004_I10,icd10_cat_005_N18,icd10_chap_001_R,icd10_chap_002_I,icd10_chap_003_E,icd10_chap_004_J,icd10_chap_005_Z
2020-01-01,NA,19,5,NA,NA,9,NA,10,20,14,37,47,40,30,34
2020-01-02,NA,15,NA,NA,NA,12,NA,7,17,6,32,46,34,23,36
2020-01-03,NA,39,6,NA,NA,23,NA,17,49,17,70,95,77,53,97
2020-01-04,NA,11,NA,NA,NA,9,NA,7,13,11,39,41,38,22,36
2020-01-05,NA,19,6,NA,NA,5,NA,15,22,13,45,55,44,34,49
2020-01-06,NA,64,7,NA,NA,16,NA,15,67,29,85,133,104,47,143
2020-01-07,NA,53,7,NA,NA,22,NA,10,57,21,65,116,113,51,110
2020-01-08,NA,51,8,NA,NA,16,NA,12,53,25,79,120,95,48,120
2020-01-09,NA,44,7,NA,NA,25,NA,11,45,24,72,116,97,43,110
2020-01-10,NA,32,NA,NA,NA,11,NA,8,36,23,61,95,78,33,90
2020-01-11,NA,16,7,NA,NA,11,NA,13,17,11,31,34,27,29,39
2020-01-12,NA,20,NA,NA,NA,8,NA,6,24,14,41,52,40,23,51
2020-01-13,NA,45,10,NA,NA,33,NA,18,54,31,83,128,117,57,130
2020-01-14,NA,41,NA,NA,NA,18,NA,8,44,29,54,95,101,47,105
2020-01-15,NA,42,NA,NA,NA,13,NA,11,43,21,55,100,79,42,114
2020-01-16,NA,24,7,NA,NA,25,NA,16,29,22,54,81,74,45,95
2020-01-17,NA,27,5,NA,NA,25,NA,7,31,28,47,70,77,33,79
2020-01-18,NA,18,NA,NA,NA,9,NA,8,19,10,38,42,40,30,38
2020-01-19,NA,14,NA,NA,NA,7,NA,8,16,13,38,53,38,26,48
2020-01-20,NA,55,9,NA,NA,18,NA,13,58,32,58,137,117,43,133
2020-01-21,NA,55,7,NA,NA,22,NA,15,57,30,80,124,115,51,129
2020-01-22,NA,44,9,NA,NA,17,NA,14,49,32,72,111,92,44,110
