date_day,high_crp_first_day
2020-01-01,23
2020-01-02,24
2020-01-03,41
2020-01-04,20
2020-01-05,22
2020-01-06,27
2020-01-07,21
2020-01-08,27
2020-01-09,28
2020-01-10,20
2020-01-11,21
2020-01-12,14
2020-01-13,36
2020-01-14,30
2020-01-15,30
2020-01-16,21
2020-01-17,30
2020-01-18,16
2020-01-19,18
2020-01-20,25
2020-01-21,28
2020-01-22,23
2020-01-23,23
2020-01-24,29
2020-01-25,17
2020-01-26,20
2020-01-27,24
2020-01-28,27
2020-01-29,28
2020-01-30,24
2020-01-31,35
2020-02-01,17
2020-02-02,15
2020-02-03,42
2020-02-04,18
2020-02-05,18
2020-02-06,23
2020-02-07,26
2020-02-08,25
2020-02-09,16
2020-02-10,23
2020-02-11,31
2020-02-12,33
2020-02-13,29
2020-02-14,30
2020-02-15,16
2020-02-16,20
2020-02-17,31
2020-02-18,33
2020-02-19,40
2020-02-20,29
2020-02-21,30
2020-02-22,17
2020-02-23,27
2020-02-24,26
2020-02-25,17
2020-02-26,20
2020-02-27,27
2020-02-28,25
2020-02-29,24
2020-03-01,25
2020-03-02,31
2020-03-03,13
2020-03-04,11
2020-03-05,21
2020-03-06,31
2020-03-07,19
2020-03-08,15
2020-03-09,27
2020-03-10,15
2020-03-11,24
2020-03-12,20
2020-03-13,22
2020-03-14,14
2020-03-15,19
2020-03-16,17
2020-03-17,20
2020-03-18,21
2020-03-19,26
2020-03-20,29
2020-03-21,14
2020-03-22,10
2020-03-23,23
2020-03-24,16
2020-03-25,21
2020-03-26,20
2020-03-27,28
2020-03-28,12
2020-03-29,16
2020-03-30,21
2020-03-31,10
2020-04-01,13
2020-04-02,26
2020-04-03,24
2020-04-04,12
2020-04-05,11
2020-04-06,21
2020-04-07,18
2020-04-08,17
2020-04-09,23
2020-04-10,15
2020-04-11,10
2020-04-12,9
2020-04-13,12
2020-04-14,21
2020-04-15,17
2020-04-16,25
2020-04-17,13
2020-04-18,13
2020-04-19,7
2020-04-20,18
2020-04-21,21
2020-04-22,16
2020-04-23,13
2020-04-24,18
2020-04-25,14
2020-04-26,12
2020-04-27,19
2020-04-28,19
2020-04-29,15
2020-04-30,25
2020-05-01,15
2020-05-02,11
2020-05-03,9
2020-05-04,23
2020-05-05,16
2020-05-06,21
2020-05-07,21
2020-05-08,18
2020-05-09,17
2020-05-10,7
2020-05-11,19
2020-05-12,15
2020-05-13,9
2020-05-14,32
2020-05-15,16
2020-05-16,12
2020-05-17,12
2020-05-18,15
2020-05-19,21
2020-05-20,23
2020-05-21,9
2020-05-22,17
2020-05-23,14
2020-05-24,8
2020-05-25,15
2020-05-26,27
2020-05-27,19
2020-05-28,20
2020-05-29,24
2020-05-30,13
2020-05-31,14
2020-06-01,14
2020-06-02,24
2020-06-03,14
2020-06-04,19
2020-06-05,24
2020-06-06,19
2020-06-07,15
2020-06-08,24
2020-06-09,17
2020-06-10,21
2020-06-11,17
2020-06-12,28
2020-06-13,16
2020-06-14,20
2020-06-15,27
2020-06-16,21
2020-06-17,17
2020-06-18,21
2020-06-19,18
2020-06-20,12
2020-06-21,7
2020-06-22,19
2020-06-23,19
2020-06-24,18
2020-06-25,24
2020-06-26,30
2020-06-27,14
2020-06-28,18
2020-06-29,25
2020-06-30,22
2020-07-01,19
2020-07-02,24
2020-07-03,32
2020-07-04,18
2020-07-05,15
2020-07-06,21
2020-07-07,23
2020-07-08,13
2020-07-09,31
2020-07-10,23
2020-07-11,12
2020-07-12,15
2020-07-13,22
2020-07-14,26
2020-07-15,31
2020-07-16,19
2020-07-17,28
2020-07-18,15
2020-07-19,16
2020-07-20,23
2020-07-21,23
2020-07-22,26
2020-07-23,15
2020-07-24,18
2020-07-25,6
2020-07-26,12
2020-07-27,19
2020-07-28,23
2020-07-29,25
2020-07-30,21
2020-07-31,22
2020-08-01,17
2020-08-02,19
2020-08-03,23
2020-08-04,26
2020-08-05,24
2020-08-06,21
2020-08-07,25
2020-08-08,7
2020-08-09,15
2020-08-10,24
2020-08-11,15
2020-08-12,24
2020-08-13,20
2020-08-14,22
2020-08-15,15
2020-08-16,9
2020-08-17,29
2020-08-18,22
2020-08-19,22
2020-08-20,24
2020-08-21,29
2020-08-22,14
2020-08-23,11
2020-08-24,33
2020-08-25,17
2020-08-26,18
2020-08-27,25
2020-08-28,26
2020-08-29,21
2020-08-30,16
2020-08-31,22
2020-09-01,24
2020-09-02,26
2020-09-03,33
2020-09-04,21
2020-09-05,13
2020-09-06,18
2020-09-07,24
2020-09-08,15
2020-09-09,24
2020-09-10,17
2020-09-11,26
2020-09-12,10
2020-09-13,9
2020-09-14,30
2020-09-15,22
2020-09-16,22
2020-09-17,17
2020-09-18,34
2020-09-19,10
2020-09-20,13
2020-09-21,18
2020-09-22,20
2020-09-23,17
2020-09-24,31
2020-09-25,21
2020-09-26,22
2020-09-27,12
2020-09-28,16
2020-09-29,28
2020-09-30,19
2020-10-01,24
2020-10-02,16
2020-10-03,13
2020-10-04,11
2020-10-05,25
2020-10-06,18
2020-10-07,16
2020-10-08,17
2020-10-09,21
2020-10-10,14
2020-10-11,13
2020-10-12,25
2020-10-13,27
2020-10-14,23
2020-10-15,21
2020-10-16,23
2020-10-17,14
2020-10-18,9
2020-10-19,15
2020-10-20,19
2020-10-21,32
2020-10-22,22
2020-10-23,33
2020-10-24,20
2020-10-25,20
2020-10-26,28
2020-10-27,26
2020-10-28,33
2020-10-29,29
2020-10-30,39
2020-10-31,25
2020-11-01,16
2020-11-02,31
2020-11-03,32
2020-11-04,22
2020-11-05,26
2020-11-06,34
2020-11-07,13
2020-11-08,15
2020-11-09,23
2020-11-10,21
2020-11-11,32
2020-11-12,25
2020-11-13,33
2020-11-14,23
2020-11-15,14
2020-11-16,35
2020-11-17,26
2020-11-18,25
2020-11-19,24
2020-11-20,25
2020-11-21,17
2020-11-22,17
2020-11-23,24
2020-11-24,32
2020-11-25,25
2020-11-26,21
2020-11-27,25
2020-11-28,15
2020-11-29,17
2020-11-30,27
2020-12-01,25
2020-12-02,21
2020-12-03,25
2020-12-04,40
2020-12-05,19
2020-12-06,13
2020-12-07,26
2020-12-08,30
2020-12-09,27
2020-12-10,20
2020-12-11,35
2020-12-12,15
2020-12-13,19
2020-12-14,36
2020-12-15,22
2020-12-16,22
2020-12-17,23
2020-12-18,25
2020-12-19,16
2020-12-20,16
2020-12-21,22
2020-12-22,24
2020-12-23,22
2020-12-24,15
2020-12-25,20
2020-12-26,22
2020-12-27,14
2020-12-28,33
2020-12-29,22
2020-12-30,24
2020-12-31,33
2021-01-01,14
2021-01-02,25
2021-01-03,18
2021-01-04,27
2021-01-05,15
2021-01-06,27
2021-01-07,28
2021-01-08,19
2021-01-09,15
2021-01-10,8
2021-01-11,20
2021-01-12,18
2021-01-13,25
2021-01-14,22
2021-01-15,27
2021-01-16,14
2021-01-17,15
2021-01-18,16
2021-01-19,19
2021-01-20,16
2021-01-21,25
2021-01-22,27
2021-01-23,19
2021-01-24,10
2021-01-25,26
2021-01-26,23
2021-01-27,28
2021-01-28,16
2021-01-29,25
2021-01-30,20
2021-01-31,17
2021-02-01,24
2021-02-02,20
2021-02-03,22
2021-02-04,18
2021-02-05,28
2021-02-06,NA
2021-02-07,11
2021-02-08,25
2021-02-09,29
2021-02-10,27
2021-02-11,21
2021-02-12,24
2021-02-13,15
2021-02-14,8
2021-02-15,20
2021-02-16,27
2021-02-17,25
2021-02-18,14
2021-02-19,13
2021-02-20,13
2021-02-21,8
2021-02-22,25
2021-02-23,16
2021-02-24,18
2021-02-25,27
2021-02-26,27
2021-02-27,20
2021-02-28,11
2021-03-01,37
2021-03-02,24
2021-03-03,32
2021-03-04,19
2021-03-05,22
2021-03-06,11
2021-03-07,18
2021-03-08,27
2021-03-09,26
2021-03-10,20
2021-03-11,24
2021-03-12,22
2021-03-13,17
2021-03-14,16
2021-03-15,26
2021-03-16,32
2021-03-17,27
2021-03-18,18
2021-03-19,36
2021-03-20,15
2021-03-21,18
2021-03-22,22
2021-03-23,22
2021-03-24,23
2021-03-25,38
2021-03-26,30
2021-03-27,18
2021-03-28,12
2021-03-29,25
2021-03-30,25
2021-03-31,18
2021-04-01,21
2021-04-02,20
2021-04-03,30
2021-04-04,20
2021-04-05,19
2021-04-06,17
2021-04-07,26
2021-04-08,27
2021-04-09,28
2021-04-10,23
2021-04-11,20
2021-04-12,24
2021-04-13,26
2021-04-14,25
2021-04-15,21
2021-04-16,18
2021-04-17,19
2021-04-18,18
2021-04-19,28
2021-04-20,16
2021-04-21,27
2021-04-22,31
2021-04-23,23
2021-04-24,27
2021-04-25,13
2021-04-26,35
2021-04-27,27
2021-04-28,29
2021-04-29,20
2021-04-30,31
2021-05-01,17
2021-05-02,19
2021-05-03,33
2021-05-04,31
2021-05-05,26
2021-05-06,34
2021-05-07,25
2021-05-08,14
2021-05-09,19
2021-05-10,31
2021-05-11,23
2021-05-12,26
2021-05-13,12
2021-05-14,26
2021-05-15,12
2021-05-16,13
2021-05-17,29
2021-05-18,22
2021-05-19,18
2021-05-20,23
2021-05-21,26
2021-05-22,23
2021-05-23,21
2021-05-24,17
2021-05-25,20
2021-05-26,23
2021-05-27,26
2021-05-28,24
2021-05-29,18
2021-05-30,11
2021-05-31,19
2021-06-01,19
2021-06-02,18
2021-06-03,21
2021-06-04,27
2021-06-05,13
2021-06-06,10
2021-06-07,23
2021-06-08,29
2021-06-09,13
2021-06-10,19
2021-06-11,20
2021-06-12,14
2021-06-13,16
2021-06-14,27
2021-06-15,17
2021-06-16,24
2021-06-17,18
2021-06-18,33
2021-06-19,13
2021-06-20,16
2021-06-21,28
2021-06-22,19
2021-06-23,21
2021-06-24,18
2021-06-25,30
2021-06-26,11
2021-06-27,20
2021-06-28,25
2021-06-29,26
2021-06-30,30
2021-07-01,26
2021-07-02,26
2021-07-03,13
2021-07-04,19
2021-07-05,39
2021-07-06,38
2021-07-07,28
2021-07-08,36
2021-07-09,16
2021-07-10,9
2021-07-11,20
2021-07-12,32
2021-07-13,24
2021-07-14,24
2021-07-15,30
2021-07-16,16
2021-07-17,16
2021-07-18,12
2021-07-19,30
2021-07-20,28
2021-07-21,33
2021-07-22,22
2021-07-23,33
2021-07-24,12
2021-07-25,12
2021-07-26,31
2021-07-27,18
2021-07-28,21
2021-07-29,22
2021-07-30,27
2021-07-31,29
2021-08-01,16
2021-08-02,31
2021-08-03,32
2021-08-04,32
2021-08-05,21
2021-08-06,30
2021-08-07,14
2021-08-08,24
2021-08-09,25
2021-08-10,21
2021-08-11,29
2021-08-12,21
2021-08-13,35
2021-08-14,20
2021-08-15,24
2021-08-16,29
2021-08-17,31
2021-08-18,27
2021-08-19,22
2021-08-20,33
2021-08-21,14
2021-08-22,23
2021-08-23,36
2021-08-24,35
2021-08-25,24
2021-08-26,30
2021-08-27,34
2021-08-28,14
2021-08-29,17
2021-08-30,34
2021-08-31,29
2021-09-01,27
2021-09-02,24
2021-09-03,29
2021-09-04,23
2021-09-05,14
2021-09-06,38
2021-09-07,31
2021-09-08,25
2021-09-09,34
2021-09-10,26
2021-09-11,25
2021-09-12,9
2021-09-13,33
2021-09-14,29
2021-09-15,21
2021-09-16,27
2021-09-17,32
2021-09-18,18
2021-09-19,16
2021-09-20,23
2021-09-21,31
2021-09-22,27
2021-09-23,27
2021-09-24,30
2021-09-25,18
2021-09-26,27
2021-09-27,27
2021-09-28,23
2021-09-29,25
2021-09-30,21
2021-10-01,31
2021-10-02,21
2021-10-03,20
2021-10-04,28
2021-10-05,32
2021-10-06,31
2021-10-07,13
2021-10-08,25
2021-10-09,19
2021-10-10,20
2021-10-11,32
2021-10-12,25
2021-10-13,18
2021-10-14,24
2021-10-15,22
2021-10-16,13
2021-10-17,15
2021-10-18,26
2021-10-19,12
2021-10-20,24
2021-10-21,24
2021-10-22,27
2021-10-23,22
2021-10-24,18
2021-10-25,23
2021-10-26,37
2021-10-27,33
2021-10-28,21
2021-10-29,27
2021-10-30,16
2021-10-31,25
2021-11-01,33
2021-11-02,27
2021-11-03,26
2021-11-04,24
2021-11-05,29
2021-11-06,19
2021-11-07,23
2021-11-08,37
2021-11-09,26
2021-11-10,22
2021-11-11,33
2021-11-12,19
2021-11-13,18
2021-11-14,10
2021-11-15,23
2021-11-16,36
2021-11-17,27
2021-11-18,30
2021-11-19,25
2021-11-20,22
2021-11-21,29
2021-11-22,34
2021-11-23,19
2021-11-24,28
2021-11-25,28
2021-11-26,36
2021-11-27,17
2021-11-28,27
2021-11-29,39
2021-11-30,34
2021-12-01,24
2021-12-02,36
2021-12-03,19
2021-12-04,17
2021-12-05,24
2021-12-06,29
2021-12-07,30
2021-12-08,19
2021-12-09,29
2021-12-10,27
2021-12-11,22
2021-12-12,20
2021-12-13,20
2021-12-14,24
2021-12-15,21
2021-12-16,23
2021-12-17,31
2021-12-18,26
2021-12-19,14
2021-12-20,30
2021-12-21,29
2021-12-22,31
2021-12-23,23
2021-12-24,27
2021-12-25,28
2021-12-26,18
2021-12-27,43
2021-12-28,41
2021-12-29,31
2021-12-30,31
2021-12-31,21
2022-01-01,21
2022-01-02,23
2022-01-03,27
2022-01-04,38
2022-01-05,22
2022-01-06,24
2022-01-07,25
2022-01-08,19
2022-01-09,19
2022-01-10,38
2022-01-11,24
2022-01-12,25
2022-01-13,22
2022-01-14,17
2022-01-15,17
2022-01-16,27
2022-01-17,42
2022-01-18,33
2022-01-19,21
2022-01-20,24
2022-01-21,37
2022-01-22,15
2022-01-23,18
2022-01-24,32
2022-01-25,33
2022-01-26,27
2022-01-27,34
2022-01-28,28
2022-01-29,12
2022-01-30,16
2022-01-31,31
2022-02-01,27
2022-02-02,16
2022-02-03,27
2022-02-04,26
2022-02-05,14
2022-02-06,23
2022-02-07,20
2022-02-08,26
2022-02-09,11
2022-02-10,23
2022-02-11,33
2022-02-12,13
2022-02-13,16
2022-02-14,28
2022-02-15,33
2022-02-16,24
2022-02-17,31
2022-02-18,31
2022-02-19,14
2022-02-20,21
2022-02-21,21
2022-02-22,23
2022-02-23,27
2022-02-24,20
2022-02-25,30
2022-02-26,16
2022-02-27,8
2022-02-28,29
2022-03-01,18
2022-03-02,25
2022-03-03,19
2022-03-04,24
2022-03-05,20
2022-03-06,16
2022-03-07,34
2022-03-08,24
2022-03-09,23
2022-03-10,24
2022-03-11,26
2022-03-12,18
2022-03-13,16
2022-03-14,24
2022-03-15,21
2022-03-16,29
2022-03-17,31
2022-03-18,29
2022-03-19,24
2022-03-20,14
2022-03-21,20
2022-03-22,31
2022-03-23,31
2022-03-24,31
2022-03-25,27
2022-03-26,22
2022-03-27,19
2022-03-28,36
2022-03-29,23
2022-03-30,31
2022-03-31,25
2022-04-01,31
2022-04-02,14
2022-04-03,18
2022-04-04,23
2022-04-05,20
2022-04-06,23
2022-04-07,20
2022-04-08,23
2022-04-09,19
2022-04-10,13
2022-04-11,33
2022-04-12,26
2022-04-13,34
2022-04-14,36
2022-04-15,14
2022-04-16,22
2022-04-17,18
2022-04-18,17
2022-04-19,43
2022-04-20,29
2022-04-21,23
2022-04-22,28
2022-04-23,22
2022-04-24,13
2022-04-25,35
2022-04-26,28
2022-04-27,24
2022-04-28,20
2022-04-29,28
2022-04-30,15
2022-05-01,13
2022-05-02,26
2022-05-03,24
2022-05-04,24
2022-05-05,26
2022-05-06,24
2022-05-07,14
2022-05-08,6
2022-05-09,29
2022-05-10,16
2022-05-11,25
2022-05-12,22
2022-05-13,23
2022-05-14,23
2022-05-15,15
2022-05-16,35
2022-05-17,32
2022-05-18,24
2022-05-19,28
2022-05-20,33
2022-05-21,22
2022-05-22,24
2022-05-23,29
2022-05-24,34
