date_day,visits
2020-01-01,140
2020-01-02,153
2020-01-03,161
2020-01-04,126
2020-01-05,133
2020-01-06,134
2020-01-07,116
2020-01-08,130
2020-01-09,123
2020-01-10,140
2020-01-11,129
2020-01-12,116
2020-01-13,138
2020-01-14,139
2020-01-15,119
2020-01-16,115
2020-01-17,158
2020-01-18,134
2020-01-19,144
2020-01-20,139
2020-01-21,115
2020-01-22,114
2020-01-23,124
2020-01-24,135
2020-01-25,130
2020-01-26,128
2020-01-27,144
2020-01-28,118
2020-01-29,123
2020-01-30,133
2020-01-31,137
2020-02-01,138
2020-02-02,128
2020-02-03,141
2020-02-04,122
2020-02-05,119
2020-02-06,131
2020-02-07,125
2020-02-08,147
2020-02-09,111
2020-02-10,148
2020-02-11,118
2020-02-12,129
2020-02-13,133
2020-02-14,130
2020-02-15,155
2020-02-16,136
2020-02-17,166
2020-02-18,149
2020-02-19,131
2020-02-20,135
2020-02-21,129
2020-02-22,136
2020-02-23,139
2020-02-24,150
2020-02-25,131
2020-02-26,107
2020-02-27,146
2020-02-28,183
2020-02-29,156
2020-03-01,151
2020-03-02,204
2020-03-03,144
2020-03-04,123
2020-03-05,127
2020-03-06,156
2020-03-07,130
2020-03-08,124
2020-03-09,139
2020-03-10,134
2020-03-11,154
2020-03-12,222
2020-03-13,217
2020-03-14,178
2020-03-15,171
2020-03-16,297
2020-03-17,301
2020-03-18,242
2020-03-19,223
2020-03-20,188
2020-03-21,147
2020-03-22,123
2020-03-23,206
2020-03-24,150
2020-03-25,138
2020-03-26,138
2020-03-27,120
2020-03-28,107
2020-03-29,96
2020-03-30,137
2020-03-31,133
2020-04-01,115
2020-04-02,87
2020-04-03,110
2020-04-04,122
2020-04-05,74
2020-04-06,142
2020-04-07,104
2020-04-08,97
2020-04-09,119
2020-04-10,112
2020-04-11,121
2020-04-12,105
2020-04-13,105
2020-04-14,111
2020-04-15,114
2020-04-16,96
2020-04-17,102
2020-04-18,110
2020-04-19,106
2020-04-20,126
2020-04-21,119
2020-04-22,97
2020-04-23,106
2020-04-24,120
2020-04-25,118
2020-04-26,92
2020-04-27,113
2020-04-28,90
2020-04-29,107
2020-04-30,116
2020-05-01,129
2020-05-02,100
2020-05-03,96
2020-05-04,126
2020-05-05,106
2020-05-06,110
2020-05-07,111
2020-05-08,111
2020-05-09,124
2020-05-10,98
2020-05-11,103
2020-05-12,116
2020-05-13,104
2020-05-14,88
2020-05-15,109
2020-05-16,101
2020-05-17,113
2020-05-18,133
2020-05-19,114
2020-05-20,136
2020-05-21,140
2020-05-22,117
2020-05-23,103
2020-05-24,108
2020-05-25,133
2020-05-26,129
2020-05-27,128
2020-05-28,116
2020-05-29,148
2020-05-30,146
2020-05-31,143
2020-06-01,131
2020-06-02,153
2020-06-03,128
2020-06-04,109
2020-06-05,107
2020-06-06,118
2020-06-07,135
2020-06-08,145
2020-06-09,133
2020-06-10,135
2020-06-11,139
2020-06-12,147
2020-06-13,141
2020-06-14,144
2020-06-15,161
2020-06-16,155
2020-06-17,126
2020-06-18,125
2020-06-19,148
2020-06-20,159
2020-06-21,149
2020-06-22,148
2020-06-23,151
2020-06-24,145
2020-06-25,164
2020-06-26,181
2020-06-27,176
2020-06-28,195
2020-06-29,194
2020-06-30,160
2020-07-01,188
2020-07-02,196
2020-07-03,220
2020-07-04,180
2020-07-05,172
2020-07-06,178
2020-07-07,179
2020-07-08,173
2020-07-09,152
2020-07-10,182
2020-07-11,164
2020-07-12,168
2020-07-13,184
2020-07-14,164
2020-07-15,162
2020-07-16,158
2020-07-17,152
2020-07-18,152
2020-07-19,145
2020-07-20,160
2020-07-21,146
2020-07-22,162
2020-07-23,131
2020-07-24,150
2020-07-25,158
2020-07-26,165
2020-07-27,204
2020-07-28,172
2020-07-29,154
2020-07-30,174
2020-07-31,165
2020-08-01,152
2020-08-02,152
2020-08-03,165
2020-08-04,129
2020-08-05,153
2020-08-06,161
2020-08-07,144
2020-08-08,167
2020-08-09,148
2020-08-10,175
2020-08-11,193
2020-08-12,169
2020-08-13,174
2020-08-14,198
2020-08-15,159
2020-08-16,179
2020-08-17,197
2020-08-18,148
2020-08-19,184
2020-08-20,207
2020-08-21,180
2020-08-22,212
2020-08-23,192
2020-08-24,214
2020-08-25,201
2020-08-26,172
2020-08-27,182
2020-08-28,194
2020-08-29,218
2020-08-30,188
2020-08-31,229
2020-09-01,248
2020-09-02,229
2020-09-03,223
2020-09-04,217
2020-09-05,229
2020-09-06,211
2020-09-07,225
2020-09-08,199
2020-09-09,215
2020-09-10,181
2020-09-11,190
2020-09-12,202
2020-09-13,193
2020-09-14,238
2020-09-15,229
2020-09-16,215
2020-09-17,195
2020-09-18,241
2020-09-19,210
2020-09-20,170
2020-09-21,202
2020-09-22,187
2020-09-23,185
2020-09-24,165
2020-09-25,172
2020-09-26,169
2020-09-27,142
2020-09-28,183
2020-09-29,163
2020-09-30,179
2020-10-01,181
2020-10-02,191
2020-10-03,182
2020-10-04,169
2020-10-05,231
2020-10-06,213
2020-10-07,179
2020-10-08,206
2020-10-09,226
2020-10-10,213
2020-10-11,153
2020-10-12,219
2020-10-13,222
2020-10-14,265
2020-10-15,211
2020-10-16,255
2020-10-17,242
2020-10-18,208
2020-10-19,279
2020-10-20,241
2020-10-21,277
2020-10-22,276
2020-10-23,308
2020-10-24,348
2020-10-25,307
2020-10-26,292
2020-10-27,277
2020-10-28,286
2020-10-29,271
2020-10-30,264
2020-10-31,281
2020-11-01,258
2020-11-02,324
2020-11-03,253
2020-11-04,221
2020-11-05,246
2020-11-06,223
2020-11-07,200
2020-11-08,222
2020-11-09,255
2020-11-10,191
2020-11-11,188
2020-11-12,206
2020-11-13,174
2020-11-14,210
2020-11-15,153
2020-11-16,181
2020-11-17,153
2020-11-18,166
2020-11-19,161
2020-11-20,198
2020-11-21,183
2020-11-22,158
2020-11-23,203
2020-11-24,178
2020-11-25,165
2020-11-26,167
2020-11-27,193
2020-11-28,187
2020-11-29,182
2020-11-30,167
2020-12-01,192
2020-12-02,196
2020-12-03,183
2020-12-04,209
2020-12-05,173
2020-12-06,145
2020-12-07,209
2020-12-08,197
2020-12-09,220
2020-12-10,200
2020-12-11,181
2020-12-12,192
2020-12-13,166
2020-12-14,192
2020-12-15,210
2020-12-16,190
2020-12-17,247
2020-12-18,223
2020-12-19,240
2020-12-20,211
2020-12-21,242
