date_day,sars_cov2_rna,sars_cov2_rna_normalized
2021-11-10,2381118312280.676,134511259.30900002
2021-11-11,2386559176326.5986,135085706.477
2021-11-12,3157199296418.67,177440526.972
2021-11-13,3768223282022.494,205140360.5
2021-11-14,2899701891101.3174,167014277.796
2021-11-15,3039926612421.0874,173057418.446
2021-11-16,4504041614544.896,259928532.695
2021-11-17,6694119946120.117,384807998.742
2021-11-18,5795122574688.518,336183001.2
2021-11-19,7966473858339.854,455513400.328
2021-11-20,7118846158366.667,409152604.079
2021-11-21,7199595536697.336,417973616.064
2021-11-22,5505818394856.206,305810841.749
2021-11-23,12678014267610.7,736965312.307
2021-11-24,5789500948989.549,333535024.138
2021-11-25,6670818996051.829,376075036.422
2021-11-26,7774337841795.639,397420398.824
2021-11-27,6937494866998.337,385459210.301
2021-11-28,13483276004309.465,738607285.911
2021-11-29,7908126159997.417,426383035.531
2021-11-30,7771146505882.308,439395369.551
2021-12-01,5520133504283.686,197436728.935
2021-12-02,5780494359810.271,230574166.726
2021-12-03,9393563391728.88,383551647.20600003
2021-12-04,9291106059728.309,173707743.185
2021-12-05,10539489640610.924,434743622.514
2021-12-06,5552449939252.986,256855712.599
2021-12-07,10316935872999.871,383372445.208
2021-12-08,3898594987070.9873,85368200.645
2021-12-09,6278887715801.231,222261512.064
2021-12-10,6425572033285.26,205027824.929
2021-12-11,7653745016202.524,322670531.88
2021-12-12,10997551708697.023,552529728.13
2021-12-13,6060266054781.006,298388284.332
2021-12-14,8934822607414.387,464508583.697
2021-12-15,3285910211412.948,176159878.38
2021-12-16,3488041654887.472,186886072.379
2021-12-17,6578440965384.858,348102495.787
2021-12-18,6811923761323.181,386119700.78900003
2021-12-19,6040187083410.075,334099622.955
2021-12-20,1105996602057.7422,62844286.724
2021-12-21,1149558712792.494,64902818.021
2021-12-22,2816361562555.478,160449015.129
2021-12-23,2775670633911.2197,146341435.147
2021-12-24,2734979705266.9614,132233855.164
2021-12-25,2694288776622.7026,118126275.182
2021-12-26,2653597847978.4443,104018695.2
2021-12-27,2612906919334.186,89911115.21700001
2021-12-28,3995686397628.7207,116431213.871
2021-12-29,3115316372963.012,67023436.952
2021-12-30,8005162823743.64,319376134.999
2021-12-31,8680158929035.299,401859209.67800003
2022-01-01,10884528882375.885,578718039.2590001
2022-01-02,10818112493657.668,573084308.6110001
2022-01-03,8567049304673.353,436626538.131
2022-01-04,10888413662248.451,316514451.971
2022-01-05,4245096782964.735,110348239.744
2022-01-06,5462625841987.839,244085158.266
2022-01-07,5510151506495.074,260996187.31
2022-01-08,10342622732801.758,366460784.92
2022-01-09,11799456124748.615,397421897.095
2022-01-10,11865362135211.137,518183340.694
2022-01-11,19300360943469.586,933241184.83
2022-01-12,6807865048604.431,341554537.859
2022-01-13,6922098932172.733,354397856.45
2022-01-14,9317937424742.6875,475186772.642
2022-01-15,19693782130188.406,1037443087.5090001
2022-01-16,18873219441613.23,1006410677.844
2022-01-17,16370356618733.38,861960647.574
2022-01-18,14720794570294.313,799174515.217
2022-01-19,9330778997502.623,496555744.639
2022-01-20,9031392212158.79,484023378.11
2022-01-21,11736497494764.943,632286256.587
2022-01-22,13839469407900.006,778197784.97
2022-01-23,9949691419859.031,569269448.441
2022-01-24,12933507724499.424,715428018.835
2022-01-25,16241340562375.906,899896972.649
2022-01-26,12709737755656.58,707275334.205
2022-01-27,19607390192274.047,1104952955.3270001
2022-01-28,18158865795180.39,1022228428.011
2022-01-29,18231704757845.023,1044437715.275
2022-01-30,24356947642320.027,1397174762.9390001
2022-01-31,10960473941660.994,536567970.904
2022-02-01,11624432727465.855,574897761.002
2022-02-02,7101794592221.954,357538870.87700003
2022-02-03,8061331143628.171,450177648.05
2022-02-04,7111884671577.087,388712542.172
2022-02-05,9091995889278.717,511850244.287
2022-02-06,9851908699992.332,427711587.219
2022-02-07,12722898663281.451,528623012.435
2022-02-08,10730849398150.3,603263402.19
2022-02-09,5301732158127.122,304679740.137
2022-02-10,6085200236355.438,295713880.667
2022-02-11,8838943000600.098,282782832.665
2022-02-12,10685919271625.68,604407198.621
2022-02-13,11454070430109.01,652542040.113
2022-02-14,16374009180053.645,627020340.815
2022-02-15,19779281549982.53,849479537.45
2022-02-16,5665117400595.843,270760282.971
2022-02-17,8077576356243.724,366446325.647
2022-02-18,8455895817653.838,443297290.572
2022-02-19,2783310159141.088,143071355.975
2022-02-20,9823478343266.451,552191025.479
2022-02-21,12017260421618.14,288564303.557
2022-02-22,11774359521643.217,533162448.906
2022-02-23,2584625082022.432,139611358.614
2022-02-24,5613409068622.852,297714615.148
2022-02-25,9601073272835.363,507456304.061
2022-02-26,10817240960012.334,622252701.335
2022-02-27,20311880223810.508,1212721966.912
2022-02-28,30513879225204.56,1774991520.284
2022-03-01,30780709758327.44,1808502335.977
2022-03-02,8480394906934.062,501294254.71000004
2022-03-03,12625397752456.4,753935133.91
2022-03-04,16094650298512.844,954039733.166
2022-03-05,14334330731194.078,848536715.278
2022-03-06,15978851817346.99,946782711.225
2022-03-07,15443316055514.611,906830067.852
2022-03-08,19159791190554.344,1161833193.2910001
2022-03-09,25711259961191.77,1525257160.894
2022-03-10,33395034625013.67,1982136433.109
2022-03-11,35440556685953.695,2128050719.704
2022-03-12,31392493657505.203,1957382071.175
2022-03-13,27946459295135.617,1735697117.889
2022-03-14,33731091946500.73,1760954943.696
2022-03-15,37457553162561.49,1605690721.989
2022-03-16,17848443507357.844,1049784937.4990001
2022-03-17,15814489683943.889,956309468.7030001
2022-03-18,12184575398200.96,736985144.753
2022-03-19,21139313990967.98,1313082426.919
2022-03-20,28136498233495.367,1761283144.507
2022-03-21,18073653663461.24,1062094003.847
2022-03-22,24529150414017.91,1521659454.964
2022-03-23,7189656131488.255,438527363.921
2022-03-24,8651123134163.069,540830403.4860001
2022-03-25,15136985394028.2,909237469.608
2022-03-26,13657677718313.797,862172698.587
2022-03-27,15730060462118.6,886950124.732
2022-03-28,19591158001179.184,1209330740.8140001
2022-03-29,22133276318691.37,1389931946.665
2022-03-30,8200729218330.914,426100447.799
2022-03-31,10160626991627.58,281496799.879
2022-04-01,6683102144706.61,150047196.783
2022-04-02,7224112447075.818,285121065.915
2022-04-03,6871866526865.278,312258214.517
2022-04-04,10881153979393.348,385405517.635
2022-04-05,9345501105663.06,397850196.069
2022-04-06,1717051817403.116,84834575.959
2022-04-07,2081555302653.662,75135550.919
2022-04-08,2252723313570.8784,71428857.682
2022-04-09,4149508741931.148,185130219.592
2022-04-10,5032278081981.085,284598918.786
2022-04-11,9163892748242.29,515172742.762
2022-04-12,10241430616648.252,616100019.049
2022-04-13,1615717854250.3306,93675664.09200001
2022-04-14,2296740904720.6084,138516428.727
2022-04-15,7238161610565.847,467189157.075
2022-04-16,7402235842993.879,476549014.549
2022-04-17,5293965856817.388,357386475.17800003
2022-04-18,7114407700812.07,459973343.299
2022-04-19,4975154053118.783,305355309.22
2022-04-20,5804023306503.093,361508770.259
2022-04-21,6852548694207.608,434668486.788
2022-04-22,5033920776363.448,315369050.017
2022-04-23,4695400187926.68,169130472.874
2022-04-24,6613533915078.752,209408331.172
2022-04-25,4811591798270.921,105984532.661
2022-04-26,3145369746750.8105,87255041.79800001
2022-04-27,462142764352.4451,24158011.728
2022-04-28,1090974601063.9996,61899268.145
2022-04-29,1727714064698.7612,100320175.63
2022-04-30,5182261266165.106,307552597.399
2022-05-01,3673986729855.034,229437752.442
2022-05-02,4195133898545.6826,244957018.483
2022-05-03,5272107664987.454,272812815.782
2022-05-04,1913631887360.3833,67093187.272
2022-05-05,1996258493339.1667,48194357.774000004
2022-05-06,1800537352366.1428,92127371.693
2022-05-07,1266232802336.955,62339149.386
2022-05-08,1738367172899.3103,103154947.359
2022-05-09,1625481879337.6067,92874064.64
2022-05-10,3579579727889.53,208977741.134
2022-05-11,2206526721636.577,130687439.09200001
2022-05-12,1751128879656.344,105002631.148
2022-05-13,2851880439874.7847,173863344.503
2022-05-14,1782798611147.049,107546516.93
2022-05-15,1370524608450.5325,85189247.169
2022-05-16,2117186582299.1804,129396564.13000001
2022-05-17,1443897980474.199,89727689.565
2022-05-18,1774308284471.3662,109275622.619
2022-05-19,3691086052497.446,229260003.261
2022-05-20,3055269610208.57,187336416.102
2022-05-21,1654127842949.1038,105911630.359
2022-05-22,2492168903890.5376,146082585.222
2022-05-23,2030422183251.676,76162728.656
2022-05-24,1618283246018.0437,78321713.581
2022-05-25,641661000133.9845,40066250.399000004
2022-05-26,1129652871392.2122,76883745.41600001
2022-05-27,1227847236616.1204,83766355.343
2022-05-28,1778243452950.362,122993737.235
2022-05-29,2799888280884.1323,189578731.186
2022-05-30,2686645401548.785,172265029.594
2022-05-31,2606022518145.5464,141033797.93
2022-06-01,1780605906674.5527,111664737.657
2022-06-02,1050958164426.376,69406826.339
2022-06-03,1418618229757.5603,70235579.253
2022-06-04,726551445606.1149,26510670.861
2022-06-05,1072512526663.6216,33601069.165
2022-06-06,3401830217421.3564,157645406.062
2022-06-07,3688470510018.8896,129342866.01
2022-06-08,4311673375269.49,227721209.215
2022-06-09,3104060180367.994,140780088.91
2022-06-10,2561777621458.72,162230233.77
2022-06-11,3981732538941.178,266407904.38500002
2022-06-12,5628305200734.982,386479791.302
2022-06-13,3758020387970.123,246621629.34600002
2022-06-14,5386748743943.504,360534686.028
2022-06-15,4754404711145.189,318275854.274
2022-06-16,3709065120766.908,261128211.82500002
2022-06-17,4479966600456.545,306385350.872
2022-06-18,5222340646074.327,362184662.32600003
2022-06-19,5678918543653.3,391757625.804
2022-06-20,5134330670107.307,346305859.308
2022-06-21,7368484845186.551,507436460.656
2022-06-22,5842709019607.401,206259364.55
2022-06-23,4523930173933.786,157633721.521
2022-06-24,5741855709425.523,192099555.35
2022-06-25,8955123267578.547,391224258.086
2022-06-26,7898899088674.551,521654939.154
2022-06-27,8795287617288.0205,509664925.38
2022-06-28,7003884247176.935,462821928.711
2022-06-29,6065330197725.118,400061354.642
2022-06-30,9742842834089.176,280417995.455
2022-07-01,9807516928326.629,354843407.082
2022-07-02,8279479208086.235,543165991.477
2022-07-03,15722531295540.053,537853424.177
2022-07-04,11834314145426.52,448898613.41400003
2022-07-05,9613437520843.8,585828002.489
2022-07-06,7065031022975.039,472324577.014
2022-07-07,5080674291874.703,343428031.085
2022-07-08,14320038695522.557,954605605.9940001
2022-07-09,15903966907939.703,1110612214.242
2022-07-10,10905154632679.012,785730573.7210001
2022-07-11,12066184417765.633,862055041.635
2022-07-12,12915201219003.229,960380816.404
2022-07-13,12646110292097.732,936979232.283
2022-07-14,12377019365192.236,913577648.1620001
2022-07-15,12107928438286.74,890176064.042
2022-07-16,11838837511381.244,866774479.921
2022-07-17,11569746584475.746,843372895.8000001
2022-07-18,11300655657570.25,819971311.679
2022-07-19,11031564730664.754,796569727.558
2022-07-20,10762473803759.258,773168143.437
2022-07-21,10493382876853.762,749766559.317
2022-07-22,10224291949948.266,726364975.196
2022-07-23,9955201023042.77,702963391.075
2022-07-24,9686110096137.273,679561806.954
2022-07-25,9417019169231.777,656160222.8330001
2022-07-26,9147928242326.281,632758638.712
2022-07-27,8878837315420.785,609357054.592
2022-07-28,8609746388515.289,585955470.471
2022-07-29,8340655461609.792,562553886.35
2022-07-30,8071564534704.296,539152302.229
2022-07-31,7802473607798.8,515750718.10800004
2022-08-01,7533382680893.303,492349133.987
2022-08-02,7264291753987.807,468947549.867
2022-08-03,6995200827082.311,445545965.746
2022-08-04,6726109900176.815,422144381.625
2022-08-05,6457018973271.318,398742797.504
2022-08-06,6187928046365.822,375341213.383
2022-08-07,5918837119460.326,351939629.262
