iteration,nlayers,nneurons_one,nneurons_two,act_function_one,act_function_two,optimizer,learning_rate,loss_function,nepochs
5,1,16,0,relu,none,adam,5e-4,mse,10
5,1,32,0,relu,none,adam,5e-4,mse,10
5,1,64,0,relu,none,adam,5e-4,mse,10
5,1,16,0,relu,none,adam,0.001,mse,10
5,1,32,0,relu,none,adam,0.001,mse,10
5,1,64,0,relu,none,adam,0.001,mse,10
5,1,16,0,relu,none,adam,0.002,mse,10
5,1,32,0,relu,none,adam,0.002,mse,10
5,1,64,0,relu,none,adam,0.002,mse,10
5,1,16,0,relu,none,adam,0.005,mse,10
5,1,32,0,relu,none,adam,0.005,mse,10
5,1,64,0,relu,none,adam,0.005,mse,10
5,1,16,0,relu,none,adam,5e-4,mse,50
5,1,32,0,relu,none,adam,5e-4,mse,50
5,1,64,0,relu,none,adam,5e-4,mse,50
5,1,16,0,relu,none,adam,0.001,mse,50
5,1,32,0,relu,none,adam,0.001,mse,50
5,1,64,0,relu,none,adam,0.001,mse,50
5,1,16,0,relu,none,adam,0.002,mse,50
5,1,32,0,relu,none,adam,0.002,mse,50
5,1,64,0,relu,none,adam,0.002,mse,50
5,1,16,0,relu,none,adam,0.005,mse,50
5,1,32,0,relu,none,adam,0.005,mse,50
5,1,64,0,relu,none,adam,0.005,mse,50
5,1,16,0,relu,none,adam,5e-4,mse,100
5,1,32,0,relu,none,adam,5e-4,mse,100
5,1,64,0,relu,none,adam,5e-4,mse,100
5,1,16,0,relu,none,adam,0.001,mse,100
5,1,32,0,relu,none,adam,0.001,mse,100
5,1,64,0,relu,none,adam,0.001,mse,100
5,1,16,0,relu,none,adam,0.002,mse,100
5,1,32,0,relu,none,adam,0.002,mse,100
5,1,64,0,relu,none,adam,0.002,mse,100
5,1,16,0,relu,none,adam,0.005,mse,100
5,1,32,0,relu,none,adam,0.005,mse,100
5,1,64,0,relu,none,adam,0.005,mse,100
5,2,16,8,relu,relu,adam,5e-4,mse,10
5,2,32,8,relu,relu,adam,5e-4,mse,10
5,2,64,8,relu,relu,adam,5e-4,mse,10
5,2,16,16,relu,relu,adam,5e-4,mse,10
5,2,32,16,relu,relu,adam,5e-4,mse,10
5,2,64,16,relu,relu,adam,5e-4,mse,10
5,2,16,32,relu,relu,adam,5e-4,mse,10
5,2,32,32,relu,relu,adam,5e-4,mse,10
5,2,64,32,relu,relu,adam,5e-4,mse,10
5,2,16,8,relu,relu,adam,0.001,mse,10
5,2,32,8,relu,relu,adam,0.001,mse,10
5,2,64,8,relu,relu,adam,0.001,mse,10
5,2,16,16,relu,relu,adam,0.001,mse,10
5,2,32,16,relu,relu,adam,0.001,mse,10
5,2,64,16,relu,relu,adam,0.001,mse,10
5,2,16,32,relu,relu,adam,0.001,mse,10
5,2,32,32,relu,relu,adam,0.001,mse,10
5,2,64,32,relu,relu,adam,0.001,mse,10
5,2,16,8,relu,relu,adam,0.002,mse,10
5,2,32,8,relu,relu,adam,0.002,mse,10
5,2,64,8,relu,relu,adam,0.002,mse,10
5,2,16,16,relu,relu,adam,0.002,mse,10
5,2,32,16,relu,relu,adam,0.002,mse,10
5,2,64,16,relu,relu,adam,0.002,mse,10
5,2,16,32,relu,relu,adam,0.002,mse,10
5,2,32,32,relu,relu,adam,0.002,mse,10
5,2,64,32,relu,relu,adam,0.002,mse,10
5,2,16,8,relu,relu,adam,0.005,mse,10
5,2,32,8,relu,relu,adam,0.005,mse,10
5,2,64,8,relu,relu,adam,0.005,mse,10
5,2,16,16,relu,relu,adam,0.005,mse,10
5,2,32,16,relu,relu,adam,0.005,mse,10
5,2,64,16,relu,relu,adam,0.005,mse,10
5,2,16,32,relu,relu,adam,0.005,mse,10
5,2,32,32,relu,relu,adam,0.005,mse,10
5,2,64,32,relu,relu,adam,0.005,mse,10
5,2,16,8,relu,relu,adam,5e-4,mse,50
5,2,32,8,relu,relu,adam,5e-4,mse,50
5,2,64,8,relu,relu,adam,5e-4,mse,50
5,2,16,16,relu,relu,adam,5e-4,mse,50
5,2,32,16,relu,relu,adam,5e-4,mse,50
5,2,64,16,relu,relu,adam,5e-4,mse,50
5,2,16,32,relu,relu,adam,5e-4,mse,50
5,2,32,32,relu,relu,adam,5e-4,mse,50
5,2,64,32,relu,relu,adam,5e-4,mse,50
5,2,16,8,relu,relu,adam,0.001,mse,50
5,2,32,8,relu,relu,adam,0.001,mse,50
5,2,64,8,relu,relu,adam,0.001,mse,50
5,2,16,16,relu,relu,adam,0.001,mse,50
5,2,32,16,relu,relu,adam,0.001,mse,50
5,2,64,16,relu,relu,adam,0.001,mse,50
