iteration,nrounds,eta,gamma,max_depth,min_child_weight,max_delta_step,subsample,colsample_bytree,colsample_bylevel,colsample_bynode,lambda,alpha
1,10,0.1,0,3,1,0,1,1,1,1,1,0
1,25,0.1,0,3,1,0,1,1,1,1,1,0
1,50,0.1,0,3,1,0,1,1,1,1,1,0
1,100,0.1,0,3,1,0,1,1,1,1,1,0
1,150,0.1,0,3,1,0,1,1,1,1,1,0
1,200,0.1,0,3,1,0,1,1,1,1,1,0
1,10,0.3,0,3,1,0,1,1,1,1,1,0
1,25,0.3,0,3,1,0,1,1,1,1,1,0
1,50,0.3,0,3,1,0,1,1,1,1,1,0
1,100,0.3,0,3,1,0,1,1,1,1,1,0
1,150,0.3,0,3,1,0,1,1,1,1,1,0
1,200,0.3,0,3,1,0,1,1,1,1,1,0
1,10,0.5,0,3,1,0,1,1,1,1,1,0
1,25,0.5,0,3,1,0,1,1,1,1,1,0
1,50,0.5,0,3,1,0,1,1,1,1,1,0
1,100,0.5,0,3,1,0,1,1,1,1,1,0
1,150,0.5,0,3,1,0,1,1,1,1,1,0
1,200,0.5,0,3,1,0,1,1,1,1,1,0
1,10,0.7,0,3,1,0,1,1,1,1,1,0
1,25,0.7,0,3,1,0,1,1,1,1,1,0
1,50,0.7,0,3,1,0,1,1,1,1,1,0
1,100,0.7,0,3,1,0,1,1,1,1,1,0
1,150,0.7,0,3,1,0,1,1,1,1,1,0
1,200,0.7,0,3,1,0,1,1,1,1,1,0
1,10,0.1,0,4,1,0,1,1,1,1,1,0
1,25,0.1,0,4,1,0,1,1,1,1,1,0
1,50,0.1,0,4,1,0,1,1,1,1,1,0
1,100,0.1,0,4,1,0,1,1,1,1,1,0
1,150,0.1,0,4,1,0,1,1,1,1,1,0
1,200,0.1,0,4,1,0,1,1,1,1,1,0
1,10,0.3,0,4,1,0,1,1,1,1,1,0
1,25,0.3,0,4,1,0,1,1,1,1,1,0
1,50,0.3,0,4,1,0,1,1,1,1,1,0
1,100,0.3,0,4,1,0,1,1,1,1,1,0
1,150,0.3,0,4,1,0,1,1,1,1,1,0
1,200,0.3,0,4,1,0,1,1,1,1,1,0
1,10,0.5,0,4,1,0,1,1,1,1,1,0
1,25,0.5,0,4,1,0,1,1,1,1,1,0
1,50,0.5,0,4,1,0,1,1,1,1,1,0
1,100,0.5,0,4,1,0,1,1,1,1,1,0
1,150,0.5,0,4,1,0,1,1,1,1,1,0
1,200,0.5,0,4,1,0,1,1,1,1,1,0
1,10,0.7,0,4,1,0,1,1,1,1,1,0
1,25,0.7,0,4,1,0,1,1,1,1,1,0
