number_xy,number_combination_features,name_data_set,number_combination_kNp,k,N,p,group_dates_train_test,number_dates_train_test,number_hyp_par_grid_lr,rmse_train,rmse_test
001,000,age,001,0,7,7,006,001,001,13.21682834304013,19.75163589763257
001,000,age,001,0,7,7,006,002,001,14.104992675305168,11.768280757074288
001,000,age,001,0,7,7,006,003,001,13.081165200805371,7.60493754159786
001,000,age,001,0,7,7,006,004,001,12.494564530809852,9.62540489774009
001,000,age,002,0,7,14,006,001,001,11.071681435274344,25.445317763330763
001,000,age,002,0,7,14,006,002,001,13.209105717466988,12.100435496327718
001,000,age,002,0,7,14,006,003,001,12.457006917137102,9.179252123606105
001,000,age,002,0,7,14,006,004,001,11.992482291145324,10.38521694790076
001,000,age,003,0,7,21,006,001,001,8.202228561298618,32.920135113993524
001,000,age,003,0,7,21,006,002,001,12.081226140575025,12.476539303971341
001,000,age,003,0,7,21,006,003,001,11.494046327162886,9.378002265979053
001,000,age,003,0,7,21,006,004,001,11.075013046784917,10.866853668622781
001,000,age,004,0,7,28,006,001,001,4.009801175829514,66.14438857713512
001,000,age,004,0,7,28,006,002,001,11.046932322552095,13.96529541053784
001,000,age,004,0,7,28,006,003,001,10.886835399681425,9.548526606282827
001,000,age,004,0,7,28,006,004,001,10.582875036646223,10.49766147625445
001,000,age,005,0,7,35,006,001,001,1.1680547011332933e-12,136.36389829886943
001,000,age,005,0,7,35,006,002,001,9.527229359199627,19.435959753753725
001,000,age,005,0,7,35,006,003,001,10.238246200262804,11.591592547781538
001,000,age,005,0,7,35,006,004,001,10.195152412976752,10.065798610013308
001,000,age,006,7,7,7,006,001,001,19.48869163653082,27.543779908384664
001,000,age,006,7,7,7,006,002,001,20.619610477616604,17.540903121584574
001,000,age,006,7,7,7,006,003,001,18.987187592879796,13.244583073363014
001,000,age,006,7,7,7,006,004,001,18.348442470792826,15.762759721224961
001,000,age,007,7,7,14,006,001,001,16.24964389680572,33.781644516398906
001,000,age,007,7,7,14,006,002,001,18.97832138639748,18.373614936445797
001,000,age,007,7,7,14,006,003,001,17.74728478637724,15.773416723379313
001,000,age,007,7,7,14,006,004,001,17.315530122370994,16.208072382138177
001,000,age,008,7,7,21,006,001,001,12.428611866544925,48.387957131315034
001,000,age,008,7,7,21,006,002,001,18.109558218733465,18.186991337167868
001,000,age,008,7,7,21,006,003,001,16.626448447611285,15.19481343999148
001,000,age,008,7,7,21,006,004,001,16.236972829890792,15.297525751834176
001,000,age,009,7,7,28,006,001,001,4.524904753010319,75.11474150567065
001,000,age,009,7,7,28,006,002,001,16.35941936972838,20.688018634172096
001,000,age,009,7,7,28,006,003,001,15.595185192555766,15.855715554330228
001,000,age,009,7,7,28,006,004,001,15.488536769332082,14.739221199431311
001,000,age,010,7,7,35,006,001,001,2.9634746459948597e-13,91.34687283895549
001,000,age,010,7,7,35,006,002,001,13.910443607972264,29.14688174001092
001,000,age,010,7,7,35,006,003,001,14.488495646965127,20.45982199962824
001,000,age,010,7,7,35,006,004,001,14.825287023254143,15.322466385200414
001,000,age,011,14,7,7,006,001,001,24.551633882561386,28.214455341791638
001,000,age,011,14,7,7,006,002,001,24.616657324111138,21.927917009385475
001,000,age,011,14,7,7,006,003,001,22.369057672873623,19.154481323447367
001,000,age,011,14,7,7,006,004,001,22.047741905336107,22.654368473313273
001,000,age,012,14,7,14,006,001,001,21.228874330612285,41.265693446033666
001,000,age,012,14,7,14,006,002,001,23.63483424893106,22.87231525270683
001,000,age,012,14,7,14,006,003,001,21.369140374991613,20.882843800975962
001,000,age,012,14,7,14,006,004,001,21.237295424270705,21.97444771732698
001,000,age,013,14,7,21,006,001,001,15.653201528936158,57.00954516372148
001,000,age,013,14,7,21,006,002,001,22.13475809588594,23.17913921485545
001,000,age,013,14,7,21,006,003,001,20.244906858958043,21.040520076812317
001,000,age,013,14,7,21,006,004,001,20.164866510100133,20.78795304660582
001,000,age,014,14,7,28,006,001,001,5.968684610240826,115.18175373770012
001,000,age,014,14,7,28,006,002,001,19.509180469084715,26.255897739955817
001,000,age,014,14,7,28,006,003,001,18.580670460589705,23.182230500886124
001,000,age,014,14,7,28,006,004,001,18.82834151830786,19.55179811749831
001,000,age,015,14,7,35,006,001,001,4.0061821117448986e-13,205.84277459170815
001,000,age,015,14,7,35,006,002,001,14.043469221316201,45.04670860838475
001,000,age,015,14,7,35,006,003,001,16.551246843926208,29.793362830996998
001,000,age,015,14,7,35,006,004,001,17.543105925468126,20.758818921174164
001,000,age,016,21,7,7,006,001,001,27.16243374927763,26.922124307287802
001,000,age,016,21,7,7,006,002,001,26.676575678716905,26.14785881149958
001,000,age,016,21,7,7,006,003,001,24.142040997672055,24.253617941592136
001,000,age,016,21,7,7,006,004,001,24.439450057081643,27.261293290197997
001,000,age,017,21,7,14,006,001,001,22.756432797511657,43.96577254371168
001,000,age,017,21,7,14,006,002,001,25.196101613582133,27.940197412414935
001,000,age,017,21,7,14,006,003,001,23.181942534896784,25.526552025266806
001,000,age,017,21,7,14,006,004,001,23.736892120695135,25.80402965676152
001,000,age,018,21,7,21,006,001,001,15.642155138349445,52.57191107420675
001,000,age,018,21,7,21,006,002,001,22.540320906214806,29.11261880162295
001,000,age,018,21,7,21,006,003,001,21.47078189355937,26.405526409816613
001,000,age,018,21,7,21,006,004,001,22.090709918343062,24.826787082909746
001,000,age,019,21,7,28,006,001,001,1.7396375253019682,965.0013391066847
001,000,age,019,21,7,28,006,002,001,18.194132994480665,34.07066529458186
001,000,age,019,21,7,28,006,003,001,19.21006369025803,30.21736957106883
001,000,age,019,21,7,28,006,004,001,20.472154689367095,23.486206067499282
001,000,age,020,21,7,35,006,001,001,8.521693373268715e-13,272.16383507196514
001,000,age,020,21,7,35,006,002,001,10.463511968979974,46.895112020986176
001,000,age,020,21,7,35,006,003,001,15.71921810357343,38.90197723424223
001,000,age,020,21,7,35,006,004,001,18.452424369845346,25.41279437282303
001,000,age,021,28,7,7,006,001,001,27.438928260814098,27.436572096613272
001,000,age,021,28,7,7,006,002,001,27.13429726890145,29.506967065671855
001,000,age,021,28,7,7,006,003,001,25.010962675237746,28.80366581153795
001,000,age,021,28,7,7,006,004,001,25.962290486152874,30.954669838480203
001,000,age,022,28,7,14,006,001,001,21.379761463745233,38.53133902978129
001,000,age,022,28,7,14,006,002,001,24.107809872882367,31.84085153828856
001,000,age,022,28,7,14,006,003,001,23.212224315862322,29.636211081794315
001,000,age,022,28,7,14,006,004,001,24.451047315134574,29.38353428023634
001,000,age,023,28,7,21,006,001,001,15.479707449481085,51.033893289828136
001,000,age,023,28,7,21,006,002,001,19.420273026798032,34.50219176027072
001,000,age,023,28,7,21,006,003,001,20.729478427700915,31.169046339200342
001,000,age,023,28,7,21,006,004,001,22.39943703432911,28.090972677504574
001,000,age,024,28,7,28,006,001,001,6.302875757935933e-13,262.54900293952636
001,000,age,024,28,7,28,006,002,001,12.97592772270192,39.094294393478926
001,000,age,024,28,7,28,006,003,001,17.894568910995368,36.08777724953825
001,000,age,024,28,7,28,006,004,001,20.493038117181538,27.89555249148746
001,000,age,025,28,7,35,006,001,001,1.0061370443273336e-11,5847.3238751306135
001,000,age,025,28,7,35,006,002,001,7.158307933311119,34.47665128506961
001,000,age,025,28,7,35,006,003,001,14.815336276388159,42.74928819870936
001,000,age,025,28,7,35,006,004,001,18.0116856798372,30.788790914818858
