number_xy,number_combination_features,name_data_set,number_combination_kNp,k,N,p,group_dates_train_test,number_dates_train_test,number_hyp_par_grid_lr,rmse_train,rmse_test
001,004,base,001,0,7,7,006,001,001,21.75254783688873,17.562482916893696
001,004,base,001,0,7,7,006,002,001,19.721567348501143,22.04528532411052
001,004,base,001,0,7,7,006,003,001,19.750825833161265,13.736311761683616
001,004,base,001,0,7,7,006,004,001,18.733667173200747,13.964586596264752
001,004,base,002,0,7,14,006,001,001,21.408298510861897,17.76210789565189
001,004,base,002,0,7,14,006,002,001,19.528790216588266,22.300580927784246
001,004,base,002,0,7,14,006,003,001,19.660447784666985,12.695953979050623
001,004,base,002,0,7,14,006,004,001,18.54372275559049,13.357819064460106
001,004,base,003,0,7,21,006,001,001,21.593212632768847,17.815679274104248
001,004,base,003,0,7,21,006,002,001,19.566304294971044,22.125620260750665
001,004,base,003,0,7,21,006,003,001,19.62554817648802,12.604945039871497
001,004,base,003,0,7,21,006,004,001,18.484130072275637,12.988189602019203
001,004,base,004,0,7,28,006,001,001,21.854967432355952,18.062559146076097
001,004,base,004,0,7,28,006,002,001,19.656193023269488,22.110003449656915
001,004,base,004,0,7,28,006,003,001,19.662079585767405,11.811725360851906
001,004,base,004,0,7,28,006,004,001,18.440802579196653,12.279890144836193
001,004,base,005,0,7,35,006,001,001,21.51440662169992,20.76124640166974
001,004,base,005,0,7,35,006,002,001,19.701483869028834,22.00237238301227
001,004,base,005,0,7,35,006,003,001,19.628874982789785,12.785082449389465
001,004,base,005,0,7,35,006,004,001,18.433571826604616,12.570891491242666
001,004,base,006,7,7,7,006,001,001,28.83150965839979,22.33587438392414
001,004,base,006,7,7,7,006,002,001,26.054087721732916,23.233799210473116
001,004,base,006,7,7,7,006,003,001,24.416146057698633,16.274155333726167
001,004,base,006,7,7,7,006,004,001,22.937186048123575,17.70409596436208
001,004,base,007,7,7,14,006,001,001,28.716506883293214,22.64226435638779
001,004,base,007,7,7,14,006,002,001,25.84767180860241,23.595060832590942
001,004,base,007,7,7,14,006,003,001,24.291594323553337,17.43900073853877
001,004,base,007,7,7,14,006,004,001,22.854061453951584,17.651799157199527
001,004,base,008,7,7,21,006,001,001,28.40307657611933,24.074900312306355
001,004,base,008,7,7,21,006,002,001,25.723785089529443,23.795910360235318
001,004,base,008,7,7,21,006,003,001,24.21363623589336,18.594857274085722
001,004,base,008,7,7,21,006,004,001,22.826668780809854,17.770797862170067
001,004,base,009,7,7,28,006,001,001,28.77805765818577,25.3229406867444
001,004,base,009,7,7,28,006,002,001,25.951166127330847,24.032754568920637
001,004,base,009,7,7,28,006,003,001,24.381507719358506,18.153419204844464
001,004,base,009,7,7,28,006,004,001,22.919279799370454,17.19329966012141
001,004,base,010,7,7,35,006,001,001,27.854384022160374,30.977576843553315
001,004,base,010,7,7,35,006,002,001,26.00680753470345,24.06002719591272
001,004,base,010,7,7,35,006,003,001,24.350849086259384,20.127017009603563
001,004,base,010,7,7,35,006,004,001,22.959764556672976,17.726660948729823
001,004,base,011,14,7,7,006,001,001,37.05236222337652,27.603088362060205
001,004,base,011,14,7,7,006,002,001,33.09981982043713,24.31809046709537
001,004,base,011,14,7,7,006,003,001,29.509725597917033,19.86716972141429
001,004,base,011,14,7,7,006,004,001,27.876095589063585,25.41634077413641
001,004,base,012,14,7,14,006,001,001,36.36595414459111,29.791655747163375
001,004,base,012,14,7,14,006,002,001,32.73064211602333,25.007114607309394
001,004,base,012,14,7,14,006,003,001,29.256107853186418,22.811765446307632
001,004,base,012,14,7,14,006,004,001,27.787016559637706,25.840223108214193
001,004,base,013,14,7,21,006,001,001,35.75077049848238,33.14463748058747
001,004,base,013,14,7,21,006,002,001,32.71577305822639,25.025915251579704
001,004,base,013,14,7,21,006,003,001,29.176396282672997,24.800794292640827
001,004,base,013,14,7,21,006,004,001,27.77933859334291,26.279653014059942
001,004,base,014,14,7,28,006,001,001,35.64991163334296,37.122638529832145
001,004,base,014,14,7,28,006,002,001,32.958715109221785,25.55925392601845
001,004,base,014,14,7,28,006,003,001,29.370083353444393,24.967329182810186
001,004,base,014,14,7,28,006,004,001,27.918301456936884,25.947102650272964
001,004,base,015,14,7,35,006,001,001,34.497246887111075,45.9918460524308
001,004,base,015,14,7,35,006,002,001,33.31221952249776,25.303369464732455
001,004,base,015,14,7,35,006,003,001,29.442973551157923,26.514257865849345
001,004,base,015,14,7,35,006,004,001,28.01467268981588,26.116390749960697
001,004,base,016,21,7,7,006,001,001,41.794825886674325,33.6067257469977
001,004,base,016,21,7,7,006,002,001,37.596759569506084,27.00016211955382
001,004,base,016,21,7,7,006,003,001,32.87775571189318,25.990867091239508
001,004,base,016,21,7,7,006,004,001,31.50865939785463,32.4066441338484
001,004,base,017,21,7,14,006,001,001,40.61365084584078,37.94489494175745
001,004,base,017,21,7,14,006,002,001,37.3578530456595,27.06199139821663
001,004,base,017,21,7,14,006,003,001,32.56221114378446,29.554929012275238
001,004,base,017,21,7,14,006,004,001,31.367148606273886,33.11529497582166
001,004,base,018,21,7,21,006,001,001,39.569935129924325,43.54008534254622
001,004,base,018,21,7,21,006,002,001,37.469496517082,27.349659977045746
001,004,base,018,21,7,21,006,003,001,32.5163985976529,31.797291560446695
001,004,base,018,21,7,21,006,004,001,31.418176766235522,33.64225908625255
001,004,base,019,21,7,28,006,001,001,39.176061816662866,50.97187818237138
001,004,base,019,21,7,28,006,002,001,37.92965583948874,27.74154343066617
001,004,base,019,21,7,28,006,003,001,32.80314217556863,31.87927724943158
001,004,base,019,21,7,28,006,004,001,31.617243643074577,33.19267823458656
001,004,base,020,21,7,35,006,001,001,34.532760345418815,69.86671996389214
001,004,base,020,21,7,35,006,002,001,38.08183665547312,27.38437162695812
001,004,base,020,21,7,35,006,003,001,32.79589357054051,33.763751080638286
001,004,base,020,21,7,35,006,004,001,31.540061168001646,33.80497934285732
001,004,base,021,28,7,7,006,001,001,42.68252728126395,39.678102402827854
001,004,base,021,28,7,7,006,002,001,39.565055498396596,30.556896160238274
001,004,base,021,28,7,7,006,003,001,34.220719627774436,31.959853706755812
001,004,base,021,28,7,7,006,004,001,33.540434828255904,38.268001364072255
001,004,base,022,28,7,14,006,001,001,41.1589710348885,45.73848119020494
001,004,base,022,28,7,14,006,002,001,39.59840130765894,30.84381014105934
001,004,base,022,28,7,14,006,003,001,34.056043680895876,35.12240699606925
001,004,base,022,28,7,14,006,004,001,33.53657224108431,38.960279116337695
001,004,base,023,28,7,21,006,001,001,40.02873347486116,53.19170107741727
001,004,base,023,28,7,21,006,002,001,40.059621735053454,30.96928758771591
001,004,base,023,28,7,21,006,003,001,34.22501543664246,36.51568689980981
001,004,base,023,28,7,21,006,004,001,33.70845800195951,39.08471125428589
001,004,base,024,28,7,28,006,001,001,35.898610605005615,71.24032714012647
001,004,base,024,28,7,28,006,002,001,40.52491502090461,31.020330879714432
001,004,base,024,28,7,28,006,003,001,34.46311558883388,37.491333315845694
001,004,base,024,28,7,28,006,004,001,33.89576941496454,39.242918845740064
001,004,base,025,28,7,35,006,001,001,30.197041828008484,88.15904724526489
001,004,base,025,28,7,35,006,002,001,39.93665401717111,30.388301630524623
001,004,base,025,28,7,35,006,003,001,33.91558351180283,40.260712874447606
001,004,base,025,28,7,35,006,004,001,33.361978134030544,40.4314466068131
