number_xy,number_combination_features,name_data_set,number_combination_kNp,k,N,p,group_dates_train_test,number_dates_train_test,number_hyp_par_grid_lr,rmse_train,rmse_test
001,006,base,001,0,7,7,002,001,001,3.8776096754219704,4.433323308856265
001,006,base,001,0,7,7,002,002,001,3.3321316216294004,17.21664229537856
001,006,base,001,0,7,7,002,003,001,7.668363396608945,16.54352010386984
001,006,base,001,0,7,7,002,004,001,8.514684390860957,9.040961553307147
001,006,base,001,0,7,7,002,005,001,8.598812144050568,7.633142548839318
001,006,base,001,0,7,7,002,006,001,8.319386859808544,13.355808974613
001,006,base,001,0,7,7,002,007,001,8.772946703832801,26.687403810095507
001,006,base,001,0,7,7,002,008,001,9.680313074626797,25.525653887198928
001,006,base,001,0,7,7,002,009,001,11.026722556240582,13.505275033222802
001,006,base,001,0,7,7,002,010,001,11.243363882662686,11.33594773014072
001,006,base,001,0,7,7,002,011,001,11.109102210928436,6.276527213918669
001,006,base,001,0,7,7,002,012,001,10.908748507952016,6.791913535713504
001,006,base,002,0,7,14,002,001,001,1.2057097979211847e-12,202.34556228687416
001,006,base,002,0,7,14,002,002,001,1.754659957609526,37.730833914979485
001,006,base,002,0,7,14,002,003,001,5.767953447770019,22.179069496626248
001,006,base,002,0,7,14,002,004,001,7.317282770368833,9.823434948174368
001,006,base,002,0,7,14,002,005,001,7.6818017966509,7.545261226561283
001,006,base,002,0,7,14,002,006,001,7.485470124800986,11.98487555428001
001,006,base,002,0,7,14,002,007,001,7.82085662905923,91.6960949749406
001,006,base,002,0,7,14,002,008,001,9.103050775480027,28.550948965215277
001,006,base,002,0,7,14,002,009,001,10.474664824484838,13.384058383324945
001,006,base,002,0,7,14,002,010,001,10.699105707895379,12.480140148389733
001,006,base,002,0,7,14,002,011,001,10.692414113355484,6.462411584137925
001,006,base,002,0,7,14,002,012,001,10.489662492313341,6.8152829624002225
001,006,base,003,0,7,21,002,001,001,2.2306556615696663e-14,8.445342712814137
001,006,base,003,0,7,21,002,002,001,0.9503094195588302,62.412929010747696
001,006,base,003,0,7,21,002,003,001,4.521201873378667,28.791136911819258
001,006,base,003,0,7,21,002,004,001,6.6305683087804015,10.441174231210574
001,006,base,003,0,7,21,002,005,001,7.227617192853496,8.393486815108812
001,006,base,003,0,7,21,002,006,001,7.082876005723678,13.77287677277782
001,006,base,003,0,7,21,002,007,001,7.598495296120821,101.15682665480008
001,006,base,003,0,7,21,002,008,001,8.603955764015689,22.64761992199102
001,006,base,003,0,7,21,002,009,001,9.98988075540859,13.89661206666594
001,006,base,003,0,7,21,002,010,001,10.282832532107786,13.557620472493252
001,006,base,003,0,7,21,002,011,001,10.382760942704987,7.450716220195897
001,006,base,003,0,7,21,002,012,001,10.236202075140485,6.300009783097475
001,006,base,004,0,7,28,002,001,001,5.4091653794903105e-14,22.979707408585025
001,006,base,004,0,7,28,002,002,001,5.608429943977978e-14,88.86011216761382
001,006,base,004,0,7,28,002,003,001,3.352757128623938,45.22820906119343
001,006,base,004,0,7,28,002,004,001,5.772896858451082,11.110750178455463
001,006,base,004,0,7,28,002,005,001,6.467224201608509,8.859012867963472
001,006,base,004,0,7,28,002,006,001,6.449786259634118,15.184912872274364
001,006,base,004,0,7,28,002,007,001,7.025541320976256,48.28432219036501
001,006,base,004,0,7,28,002,008,001,8.161688296235258,27.321880339026308
001,006,base,004,0,7,28,002,009,001,9.747127147760185,14.162744352403815
001,006,base,004,0,7,28,002,010,001,10.057408518342914,14.401521686956254
001,006,base,004,0,7,28,002,011,001,10.16667852809713,7.8762135686566275
001,006,base,004,0,7,28,002,012,001,10.03546632158777,6.4324476453411945
001,006,base,005,0,7,35,002,001,001,1.1876703145004103e-13,29.512231470770654
001,006,base,005,0,7,35,002,002,001,8.414093465888964e-14,77.52526293098042
001,006,base,005,0,7,35,002,003,001,2.190495983754892,39.954433579553
001,006,base,005,0,7,35,002,004,001,5.223426626911602,12.309349379390767
001,006,base,005,0,7,35,002,005,001,5.937354061375985,12.475119523337133
001,006,base,005,0,7,35,002,006,001,6.146827071478286,16.030204875458946
001,006,base,005,0,7,35,002,007,001,6.709810171784244,83.45839169262925
001,006,base,005,0,7,35,002,008,001,7.4553463382963505,34.54084053787725
001,006,base,005,0,7,35,002,009,001,9.283899900819659,14.326577033031196
001,006,base,005,0,7,35,002,010,001,9.63203307602522,17.27875369370934
001,006,base,005,0,7,35,002,011,001,9.913209017158506,8.741102502677414
001,006,base,005,0,7,35,002,012,001,9.818841471330556,7.072000791931572
001,006,base,006,7,7,7,002,001,001,3.7137132557022756,5.33383244076053
001,006,base,006,7,7,7,002,002,001,3.718671579321551,33.60972926632739
001,006,base,006,7,7,7,002,003,001,10.327600709289582,27.478020105501685
001,006,base,006,7,7,7,002,004,001,12.06974018086948,12.007556953093163
001,006,base,006,7,7,7,002,005,001,11.870852528991945,11.049867081130069
001,006,base,006,7,7,7,002,006,001,11.580616179437863,16.123224901914686
001,006,base,006,7,7,7,002,007,001,11.700916622092931,57.30244353937327
001,006,base,006,7,7,7,002,008,001,13.334696411707524,50.90994257846257
001,006,base,006,7,7,7,002,009,001,16.348876327820356,18.50991934389155
001,006,base,006,7,7,7,002,010,001,16.555795217302382,18.331258472469955
001,006,base,006,7,7,7,002,011,001,16.316856201804317,5.697541768463745
001,006,base,006,7,7,7,002,012,001,15.976515570132017,7.907254084564016
001,006,base,007,7,7,14,002,001,001,2.5493541638396956e-14,13.028773362866817
001,006,base,007,7,7,14,002,002,001,2.061519075162185,53.34508660336906
001,006,base,007,7,7,14,002,003,001,8.934371115229833,31.517026594800136
001,006,base,007,7,7,14,002,004,001,10.67085874531109,14.39768036606996
001,006,base,007,7,7,14,002,005,001,11.100874700228442,11.619111342690084
001,006,base,007,7,7,14,002,006,001,10.841489778201877,16.122648227730778
001,006,base,007,7,7,14,002,007,001,11.060605129497148,101.08709524479437
001,006,base,007,7,7,14,002,008,001,12.703316371336197,44.00688193490677
