date_day,date_day_shift_k,y,type_model,number_xy,number_combination_features,name_data_set,number_grid_combinations_kNp_dates_train_test,number_combination_kNp,group_dates_train_test,number_dates_train_test,number_hyp_par_grid,k,N,p
2021-11-23,2021-11-23,52.25540990870212,lr,001,007,base,003,001,006,001,001,0,7,7
2021-11-24,2021-11-24,34.38633963783298,lr,001,007,base,003,001,006,001,001,0,7,7
2021-11-25,2021-11-25,39.19196934936898,lr,001,007,base,003,001,006,001,001,0,7,7
2021-11-26,2021-11-26,43.30286433485257,lr,001,007,base,003,001,006,001,001,0,7,7
2021-11-27,2021-11-27,51.28425540117771,lr,001,007,base,003,001,006,001,001,0,7,7
2021-11-28,2021-11-28,55.27996056979438,lr,001,007,base,003,001,006,001,001,0,7,7
2021-11-29,2021-11-29,60.58450375871094,lr,001,007,base,003,001,006,001,001,0,7,7
2021-11-30,2021-11-30,55.39761150898524,lr,001,007,base,003,001,006,001,001,0,7,7
2021-12-01,2021-12-01,60.47551706384558,lr,001,007,base,003,001,006,001,001,0,7,7
2021-12-02,2021-12-02,53.324051086464074,lr,001,007,base,003,001,006,001,001,0,7,7
2021-12-03,2021-12-03,53.777921511107486,lr,001,007,base,003,001,006,001,001,0,7,7
2021-12-04,2021-12-04,50.13806152713697,lr,001,007,base,003,001,006,001,001,0,7,7
2021-12-05,2021-12-05,55.22790720029591,lr,001,007,base,003,001,006,001,001,0,7,7
2021-12-06,2021-12-06,61.25592745841209,lr,001,007,base,003,001,006,001,001,0,7,7
2021-12-07,2021-12-07,70.0277487737695,lr,001,007,base,003,001,006,001,001,0,7,7
2021-12-08,2021-12-08,71.88397439551362,lr,001,007,base,003,001,006,001,001,0,7,7
2021-12-09,2021-12-09,72.82433883018794,lr,001,007,base,003,001,006,001,001,0,7,7
2021-12-10,2021-12-10,73.20981083253537,lr,001,007,base,003,001,006,001,001,0,7,7
2021-12-11,2021-12-11,71.23058908945906,lr,001,007,base,003,001,006,001,001,0,7,7
2021-12-12,2021-12-12,71.30672080063762,lr,001,007,base,003,001,006,001,001,0,7,7
2021-12-13,2021-12-13,77.90315027239785,lr,001,007,base,003,001,006,001,001,0,7,7
2021-12-14,2021-12-14,76.60446034756372,lr,001,007,base,003,001,006,001,001,0,7,7
2021-12-15,2021-12-15,59.71158436280962,lr,001,007,base,003,001,006,001,001,0,7,7
2021-12-16,2021-12-16,51.66381400121331,lr,001,007,base,003,001,006,001,001,0,7,7
2021-12-17,2021-12-17,44.178212936506974,lr,001,007,base,003,001,006,001,001,0,7,7
2021-12-18,2021-12-18,37.706409988021235,lr,001,007,base,003,001,006,001,001,0,7,7
2021-12-19,2021-12-19,46.850540017234614,lr,001,007,base,003,001,006,001,001,0,7,7
2021-12-20,2021-12-20,59.744641804278906,lr,001,007,base,003,001,006,001,001,0,7,7
2021-12-21,2021-12-21,56.169292211797774,lr,001,007,base,003,001,006,001,001,0,7,7
2021-12-22,2021-12-22,59.77591822477659,lr,001,007,base,003,001,006,001,001,0,7,7
2021-12-23,2021-12-23,49.16302156032615,lr,001,007,base,003,001,006,001,001,0,7,7
2021-12-24,2021-12-24,45.23324428496216,lr,001,007,base,003,001,006,001,001,0,7,7
2021-12-25,2021-12-25,39.18847425331783,lr,001,007,base,003,001,006,001,001,0,7,7
2021-12-26,2021-12-26,42.61790994549567,lr,001,007,base,003,001,006,001,001,0,7,7
2021-12-27,2021-12-27,44.81455025362793,lr,001,007,base,003,001,006,001,001,0,7,7
2021-12-28,2021-12-28,38.25395445594995,lr,001,007,base,003,001,006,001,001,0,7,7
2021-12-29,2021-12-29,44.812683427506016,lr,001,007,base,003,001,006,001,001,0,7,7
2021-12-30,2021-12-30,54.8002413570322,lr,001,007,base,003,001,006,001,001,0,7,7
2021-12-31,2021-12-31,50.63327857370594,lr,001,007,base,003,001,006,001,001,0,7,7
2022-01-01,2022-01-01,56.63361988254569,lr,001,007,base,003,001,006,001,001,0,7,7
2022-01-02,2022-01-02,62.02985786594696,lr,001,007,base,003,001,006,001,001,0,7,7
2022-01-03,2022-01-03,69.95477032619686,lr,001,007,base,003,001,006,001,001,0,7,7
2022-01-04,2022-01-04,62.468026308239686,lr,001,007,base,003,001,006,001,001,0,7,7
2022-01-05,2022-01-05,54.907284240172906,lr,001,007,base,003,001,006,001,001,0,7,7
2022-01-06,2022-01-06,61.646264878941714,lr,001,007,base,003,001,006,001,001,0,7,7
2022-01-07,2022-01-07,59.75066238934476,lr,001,007,base,003,001,006,001,001,0,7,7
2022-01-08,2022-01-08,61.31251237956895,lr,001,007,base,003,001,006,001,001,0,7,7
2022-01-09,2022-01-09,59.70713143975651,lr,001,007,base,003,001,006,001,001,0,7,7
2022-01-10,2022-01-10,59.12103621160646,lr,001,007,base,003,001,006,001,001,0,7,7
2022-01-11,2022-01-11,59.59553229580192,lr,001,007,base,003,001,006,001,001,0,7,7
2022-01-12,2022-01-12,62.48969992376692,lr,001,007,base,003,001,006,001,001,0,7,7
2022-01-13,2022-01-13,73.89473113578401,lr,001,007,base,003,001,006,001,001,0,7,7
2022-01-14,2022-01-14,70.71821195125138,lr,001,007,base,003,001,006,001,001,0,7,7
2022-01-15,2022-01-15,75.38748431388332,lr,001,007,base,003,001,006,001,001,0,7,7
2022-01-16,2022-01-16,84.56518559736297,lr,001,007,base,003,001,006,001,001,0,7,7
2022-01-17,2022-01-17,77.83394987391925,lr,001,007,base,003,001,006,001,001,0,7,7
2022-01-18,2022-01-18,78.23231165207287,lr,001,007,base,003,001,006,001,001,0,7,7
2022-01-19,2022-01-19,79.40121020462993,lr,001,007,base,003,001,006,001,001,0,7,7
2022-01-20,2022-01-20,86.01255276368043,lr,001,007,base,003,001,006,001,001,0,7,7
2022-01-21,2022-01-21,86.9818849510543,lr,001,007,base,003,001,006,001,001,0,7,7
2022-01-22,2022-01-22,95.49740818946415,lr,001,007,base,003,001,006,001,001,0,7,7
2022-01-23,2022-01-23,93.8790604519448,lr,001,007,base,003,001,006,001,001,0,7,7
2022-01-24,2022-01-24,100.41434568720318,lr,001,007,base,003,001,006,001,001,0,7,7
2022-01-25,2022-01-25,90.05453967147346,lr,001,007,base,003,001,006,001,001,0,7,7
2022-01-26,2022-01-26,101.79107287703502,lr,001,007,base,003,001,006,001,001,0,7,7
2022-01-27,2022-01-27,112.418557368249,lr,001,007,base,003,001,006,001,001,0,7,7
2022-01-28,2022-01-28,105.16637260520585,lr,001,007,base,003,001,006,001,001,0,7,7
2022-01-29,2022-01-29,101.68004348818722,lr,001,007,base,003,001,006,001,001,0,7,7
2022-01-30,2022-01-30,106.65264908387385,lr,001,007,base,003,001,006,001,001,0,7,7
2022-01-31,2022-01-31,106.13319958760856,lr,001,007,base,003,001,006,001,001,0,7,7
2022-02-01,2022-02-01,125.59905863809533,lr,001,007,base,003,001,006,001,001,0,7,7
2022-02-02,2022-02-02,113.8440491994235,lr,001,007,base,003,001,006,001,001,0,7,7
2022-02-03,2022-02-03,111.46013978536857,lr,001,007,base,003,001,006,001,001,0,7,7
2022-02-04,2022-02-04,125.70038888102374,lr,001,007,base,003,001,006,001,001,0,7,7
2022-02-05,2022-02-05,132.27304779507296,lr,001,007,base,003,001,006,001,001,0,7,7
2022-02-06,2022-02-06,134.23810103165565,lr,001,007,base,003,001,006,001,001,0,7,7
2022-02-07,2022-02-07,133.999009252922,lr,001,007,base,003,001,006,001,001,0,7,7
2022-02-08,2022-02-08,135.6446971581565,lr,001,007,base,003,001,006,001,001,0,7,7
2022-02-09,2022-02-09,126.34089748793004,lr,001,007,base,003,001,006,001,001,0,7,7
2022-02-10,2022-02-10,133.0508588314695,lr,001,007,base,003,001,006,001,001,0,7,7
2022-02-11,2022-02-11,128.23488128041788,lr,001,007,base,003,001,006,001,001,0,7,7
2022-02-12,2022-02-12,127.22898065095397,lr,001,007,base,003,001,006,001,001,0,7,7
2022-02-13,2022-02-13,123.48097498860314,lr,001,007,base,003,001,006,001,001,0,7,7
2022-02-14,2022-02-14,106.19352564212967,lr,001,007,base,003,001,006,001,001,0,7,7
2022-02-15,2022-02-15,111.41319428351281,lr,001,007,base,003,001,006,001,001,0,7,7
2022-02-16,2022-02-16,112.06731682225492,lr,001,007,base,003,001,006,001,001,0,7,7
2022-02-17,2022-02-17,112.55892248120628,lr,001,007,base,003,001,006,001,001,0,7,7
2022-02-18,2022-02-18,114.6699593460572,lr,001,007,base,003,001,006,001,001,0,7,7
2022-02-19,2022-02-19,117.78589969805056,lr,001,007,base,003,001,006,001,001,0,7,7
2022-02-20,2022-02-20,97.47969584275347,lr,001,007,base,003,001,006,001,001,0,7,7
2022-02-21,2022-02-21,105.11877074071855,lr,001,007,base,003,001,006,001,001,0,7,7
2022-02-22,2022-02-22,117.82621845908369,lr,001,007,base,003,001,006,001,001,0,7,7
2022-02-23,2022-02-23,115.5411367141378,lr,001,007,base,003,001,006,001,001,0,7,7
2022-02-24,2022-02-24,125.63123593269239,lr,001,007,base,003,001,006,001,001,0,7,7
2022-02-25,2022-02-25,129.6236405354565,lr,001,007,base,003,001,006,001,001,0,7,7
2022-02-26,2022-02-26,137.76184322609853,lr,001,007,base,003,001,006,001,001,0,7,7
2022-02-27,2022-02-27,120.81340724381863,lr,001,007,base,003,001,006,001,001,0,7,7
2022-02-28,2022-02-28,111.1460244643562,lr,001,007,base,003,001,006,001,001,0,7,7
2022-03-01,2022-03-01,117.8663162313465,lr,001,007,base,003,001,006,001,001,0,7,7
2022-03-02,2022-03-02,116.20087351976194,lr,001,007,base,003,001,006,001,001,0,7,7
2022-03-03,2022-03-03,107.37027867367966,lr,001,007,base,003,001,006,001,001,0,7,7
2022-03-04,2022-03-04,100.14289897430618,lr,001,007,base,003,001,006,001,001,0,7,7
2022-03-05,2022-03-05,95.70720953646445,lr,001,007,base,003,001,006,001,001,0,7,7
2022-03-06,2022-03-06,95.51301971678221,lr,001,007,base,003,001,006,001,001,0,7,7
2022-03-07,2022-03-07,96.47504386814207,lr,001,007,base,003,001,006,001,001,0,7,7
