number_xy,number_combination_features,name_data_set,number_combination_kNp,k,N,p,group_dates_train_test,number_dates_train_test,rmse_train,rmse_test,number_hyp_par_grid_lstm,nlayers,nneurons_one,nneurons_two,act_function_one,act_function_two,optimizer,learning_rate,loss_function,nepochs
001,000,age,001,0,7,7,006,001,42.43105720999553,20.04059523869908,001,1,16,0,relu,none,adam,5e-4,mse,10
001,000,age,001,0,7,7,006,001,17.988555240759588,16.218452648466496,001,1,16,0,relu,none,adam,5e-4,mse,50
001,000,age,001,0,7,7,006,001,15.271856797728951,18.04602276226023,001,1,16,0,relu,none,adam,5e-4,mse,100
001,000,age,001,0,7,7,006,001,20.236271914809784,16.399040709432143,001,1,16,0,relu,none,adam,0.001,mse,10
001,000,age,001,0,7,7,006,001,15.910184534390092,17.523552448969674,001,1,16,0,relu,none,adam,0.001,mse,50
001,000,age,001,0,7,7,006,001,13.624317255456067,20.072092837135127,001,1,16,0,relu,none,adam,0.001,mse,100
001,000,age,001,0,7,7,006,001,19.93089977476091,16.6917460672558,001,1,16,0,relu,none,adam,0.002,mse,10
001,000,age,001,0,7,7,006,001,14.870285107883364,18.114125469387584,001,1,16,0,relu,none,adam,0.002,mse,50
001,000,age,001,0,7,7,006,001,12.096533242603732,20.980250404081826,001,1,16,0,relu,none,adam,0.002,mse,100
001,000,age,001,0,7,7,006,001,19.66225055213086,17.248628660612624,001,1,16,0,relu,none,adam,0.005,mse,10
001,000,age,001,0,7,7,006,001,13.3089558858299,18.795160120469316,001,1,16,0,relu,none,adam,0.005,mse,50
001,000,age,001,0,7,7,006,001,11.250940229145373,20.783746873467766,001,1,16,0,relu,none,adam,0.005,mse,100
001,000,age,001,0,7,7,006,001,28.27563238612879,14.982779402396059,001,1,32,0,relu,none,adam,5e-4,mse,10
001,000,age,001,0,7,7,006,001,16.326620730947592,16.57344314854325,001,1,32,0,relu,none,adam,5e-4,mse,50
001,000,age,001,0,7,7,006,001,13.033344498680602,20.61480601125468,001,1,32,0,relu,none,adam,5e-4,mse,100
001,000,age,001,0,7,7,006,001,19.327171120572046,16.240481088559143,001,1,32,0,relu,none,adam,0.001,mse,10
001,000,age,001,0,7,7,006,001,14.601969280850392,18.187168987459106,001,1,32,0,relu,none,adam,0.001,mse,50
001,000,age,001,0,7,7,006,001,11.659030561880082,22.115100790223703,001,1,32,0,relu,none,adam,0.001,mse,100
001,000,age,001,0,7,7,006,001,20.00707724522254,17.558217526688114,001,1,32,0,relu,none,adam,0.002,mse,10
001,000,age,001,0,7,7,006,001,13.170376419204251,19.45549580121182,001,1,32,0,relu,none,adam,0.002,mse,50
001,000,age,001,0,7,7,006,001,11.171916912815052,22.37616184213969,001,1,32,0,relu,none,adam,0.002,mse,100
001,000,age,001,0,7,7,006,001,19.04501129677037,16.88017994271838,001,1,32,0,relu,none,adam,0.005,mse,10
001,000,age,001,0,7,7,006,001,12.812339231036459,18.515565223515566,001,1,32,0,relu,none,adam,0.005,mse,50
001,000,age,001,0,7,7,006,001,10.708883678252592,21.161847070343207,001,1,32,0,relu,none,adam,0.005,mse,100
001,000,age,001,0,7,7,006,001,21.143335841114705,18.884596590277667,001,1,64,0,relu,none,adam,5e-4,mse,10
001,000,age,001,0,7,7,006,001,14.870711118118715,17.248650346590946,001,1,64,0,relu,none,adam,5e-4,mse,50
001,000,age,001,0,7,7,006,001,11.83777495942634,22.37619368708514,001,1,64,0,relu,none,adam,5e-4,mse,100
001,000,age,001,0,7,7,006,001,18.714179688586665,15.698341819915552,001,1,64,0,relu,none,adam,0.001,mse,10
001,000,age,001,0,7,7,006,001,13.27929758785855,19.049974206960133,001,1,64,0,relu,none,adam,0.001,mse,50
001,000,age,001,0,7,7,006,001,10.775470458560001,22.968669668541082,001,1,64,0,relu,none,adam,0.001,mse,100
001,000,age,001,0,7,7,006,001,18.699862674539162,15.87236760561836,001,1,64,0,relu,none,adam,0.002,mse,10
001,000,age,001,0,7,7,006,001,12.884682950549257,18.745590179456777,001,1,64,0,relu,none,adam,0.002,mse,50
001,000,age,001,0,7,7,006,001,10.577905320606195,22.291962976640452,001,1,64,0,relu,none,adam,0.002,mse,100
001,000,age,001,0,7,7,006,001,17.9443593115199,16.01081123028641,001,1,64,0,relu,none,adam,0.005,mse,10
001,000,age,001,0,7,7,006,001,12.09905330812923,19.601419349601738,001,1,64,0,relu,none,adam,0.005,mse,50
001,000,age,001,0,7,7,006,001,9.95209917104902,22.458532324465576,001,1,64,0,relu,none,adam,0.005,mse,100
001,000,age,001,0,7,7,006,001,54.05321827629401,24.529273004674266,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,000,age,001,0,7,7,006,001,18.213628695145076,16.996741989919247,001,2,16,8,relu,relu,adam,5e-4,mse,50
001,000,age,001,0,7,7,006,001,15.301269063349432,17.788705890745916,001,2,16,8,relu,relu,adam,5e-4,mse,100
001,000,age,001,0,7,7,006,001,21.181412510259133,16.268079876012358,001,2,16,8,relu,relu,adam,0.001,mse,10
001,000,age,001,0,7,7,006,001,16.43010413509229,17.142169372744995,001,2,16,8,relu,relu,adam,0.001,mse,50
001,000,age,001,0,7,7,006,001,12.897890078562472,19.745609422853356,001,2,16,8,relu,relu,adam,0.001,mse,100
001,000,age,001,0,7,7,006,001,21.168963255122556,18.857974131170476,001,2,16,8,relu,relu,adam,0.002,mse,10
001,000,age,001,0,7,7,006,001,14.287779814495455,18.090257445437413,001,2,16,8,relu,relu,adam,0.002,mse,50
001,000,age,001,0,7,7,006,001,11.58798480455738,20.258317068687653,001,2,16,8,relu,relu,adam,0.002,mse,100
001,000,age,001,0,7,7,006,001,20.489427927266924,19.18374793111256,001,2,16,8,relu,relu,adam,0.005,mse,10
001,000,age,001,0,7,7,006,001,13.685575753440347,17.144861766505183,001,2,16,8,relu,relu,adam,0.005,mse,50
001,000,age,001,0,7,7,006,001,11.287534183359913,19.77790973091239,001,2,16,8,relu,relu,adam,0.005,mse,100
001,000,age,001,0,7,7,006,001,49.23772345564196,21.267341258033447,001,2,16,16,relu,relu,adam,5e-4,mse,10
001,000,age,001,0,7,7,006,001,17.75000138690859,16.726977351736377,001,2,16,16,relu,relu,adam,5e-4,mse,50
001,000,age,001,0,7,7,006,001,14.39029411545482,18.788142920449886,001,2,16,16,relu,relu,adam,5e-4,mse,100
001,000,age,001,0,7,7,006,001,22.126292308138517,22.007366026583206,001,2,16,16,relu,relu,adam,0.001,mse,10
001,000,age,001,0,7,7,006,001,15.261174606653867,17.68359981650706,001,2,16,16,relu,relu,adam,0.001,mse,50
001,000,age,001,0,7,7,006,001,12.779563693095088,19.428008474999903,001,2,16,16,relu,relu,adam,0.001,mse,100
001,000,age,001,0,7,7,006,001,21.4054800780141,20.510273200257245,001,2,16,16,relu,relu,adam,0.002,mse,10
001,000,age,001,0,7,7,006,001,13.892639534848039,18.393789144998323,001,2,16,16,relu,relu,adam,0.002,mse,50
001,000,age,001,0,7,7,006,001,11.87157206569649,20.047587935983586,001,2,16,16,relu,relu,adam,0.002,mse,100
001,000,age,001,0,7,7,006,001,20.55997239419831,19.695094501828486,001,2,16,16,relu,relu,adam,0.005,mse,10
001,000,age,001,0,7,7,006,001,13.1191167619086,17.8139891972327,001,2,16,16,relu,relu,adam,0.005,mse,50
001,000,age,001,0,7,7,006,001,11.127267859901433,20.634345672436606,001,2,16,16,relu,relu,adam,0.005,mse,100
001,000,age,001,0,7,7,006,001,34.463308823710314,14.94793813723622,001,2,16,32,relu,relu,adam,5e-4,mse,10
001,000,age,001,0,7,7,006,001,16.759373000069562,16.668555521466537,001,2,16,32,relu,relu,adam,5e-4,mse,50
001,000,age,001,0,7,7,006,001,13.613342742586688,18.2267026116212,001,2,16,32,relu,relu,adam,5e-4,mse,100
001,000,age,001,0,7,7,006,001,22.472117108410618,22.44697919693134,001,2,16,32,relu,relu,adam,0.001,mse,10
001,000,age,001,0,7,7,006,001,14.715245119850778,17.436962909086184,001,2,16,32,relu,relu,adam,0.001,mse,50
001,000,age,001,0,7,7,006,001,11.913458052580488,20.2258436728066,001,2,16,32,relu,relu,adam,0.001,mse,100
001,000,age,001,0,7,7,006,001,22.723984173683682,23.43768519510982,001,2,16,32,relu,relu,adam,0.002,mse,10
001,000,age,001,0,7,7,006,001,13.736665826312052,17.63798496549645,001,2,16,32,relu,relu,adam,0.002,mse,50
001,000,age,001,0,7,7,006,001,11.453680602181223,20.401914804770218,001,2,16,32,relu,relu,adam,0.002,mse,100
001,000,age,001,0,7,7,006,001,19.71155316772506,18.78447133887286,001,2,16,32,relu,relu,adam,0.005,mse,10
001,000,age,001,0,7,7,006,001,12.59489142383843,18.44275367265026,001,2,16,32,relu,relu,adam,0.005,mse,50
001,000,age,001,0,7,7,006,001,10.702579470577152,21.155627378935808,001,2,16,32,relu,relu,adam,0.005,mse,100
001,000,age,001,0,7,7,006,001,38.23024014622741,17.443839624540523,001,2,32,8,relu,relu,adam,5e-4,mse,10
001,000,age,001,0,7,7,006,001,16.56446065452923,16.44115966331505,001,2,32,8,relu,relu,adam,5e-4,mse,50
001,000,age,001,0,7,7,006,001,13.634552189964838,18.78286109706485,001,2,32,8,relu,relu,adam,5e-4,mse,100
001,000,age,001,0,7,7,006,001,19.364378351126085,15.905557507093143,001,2,32,8,relu,relu,adam,0.001,mse,10
001,000,age,001,0,7,7,006,001,15.04199675193365,17.110511854845694,001,2,32,8,relu,relu,adam,0.001,mse,50
001,000,age,001,0,7,7,006,001,11.793870770495849,20.99015664039843,001,2,32,8,relu,relu,adam,0.001,mse,100
001,000,age,001,0,7,7,006,001,19.831559284443504,17.915370581773455,001,2,32,8,relu,relu,adam,0.002,mse,10
001,000,age,001,0,7,7,006,001,13.354735307105774,17.38888389387503,001,2,32,8,relu,relu,adam,0.002,mse,50
001,000,age,001,0,7,7,006,001,11.504615912294298,20.270930488192274,001,2,32,8,relu,relu,adam,0.002,mse,100
001,000,age,001,0,7,7,006,001,19.926737327289736,18.657128423126878,001,2,32,8,relu,relu,adam,0.005,mse,10
001,000,age,001,0,7,7,006,001,12.367474074494964,17.836188179850314,001,2,32,8,relu,relu,adam,0.005,mse,50
001,000,age,001,0,7,7,006,001,11.23270495626162,20.032325009804165,001,2,32,8,relu,relu,adam,0.005,mse,100
001,000,age,001,0,7,7,006,001,32.6005591831949,15.446306799313914,001,2,32,16,relu,relu,adam,5e-4,mse,10
001,000,age,001,0,7,7,006,001,16.462837078696232,16.31637511120272,001,2,32,16,relu,relu,adam,5e-4,mse,50
001,000,age,001,0,7,7,006,001,13.207224372894945,19.284499087950994,001,2,32,16,relu,relu,adam,5e-4,mse,100
001,000,age,001,0,7,7,006,001,19.88082751285675,16.855857788830576,001,2,32,16,relu,relu,adam,0.001,mse,10
001,000,age,001,0,7,7,006,001,14.115992452436869,18.06116277536545,001,2,32,16,relu,relu,adam,0.001,mse,50
001,000,age,001,0,7,7,006,001,11.718423856974114,21.145547814331916,001,2,32,16,relu,relu,adam,0.001,mse,100
001,000,age,001,0,7,7,006,001,20.706252109480193,19.952938650353133,001,2,32,16,relu,relu,adam,0.002,mse,10
001,000,age,001,0,7,7,006,001,13.636570121609086,17.80564603851978,001,2,32,16,relu,relu,adam,0.002,mse,50
001,000,age,001,0,7,7,006,001,10.994570112751862,20.786438164733372,001,2,32,16,relu,relu,adam,0.002,mse,100
