number_xy,number_combination_features,name_data_set,number_combination_kNp,k,N,p,group_dates_train_test,number_dates_train_test,rmse_train,rmse_test,number_hyp_par_grid_lstm,nlayers,nneurons_one,nneurons_two,act_function_one,act_function_two,optimizer,learning_rate,loss_function,nepochs
001,000,age,001,0,7,7,002,001,14.001148298763175,1.6591016134512153,001,1,16,0,relu,none,adam,5e-4,mse,10
001,000,age,002,0,7,14,002,001,15.02838614414715,1.5863532056146838,001,2,16,16,relu,relu,adam,5e-4,mse,10
001,000,age,003,0,7,21,002,001,15.63533433631074,1.528783267315933,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,000,age,004,0,7,28,002,001,13.948948327373188,1.5842754206680594,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,000,age,005,0,7,35,002,001,11.095488906670477,1.5905561935293029,001,1,16,0,relu,none,adam,5e-4,mse,10
001,000,age,006,7,7,7,002,001,15.516211231500266,1.89920084803526,001,2,16,16,relu,relu,adam,5e-4,mse,10
001,000,age,007,7,7,14,002,001,15.353541949556517,1.9071349850760382,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,000,age,008,7,7,21,002,001,13.730831466337392,1.893485961079908,001,1,16,0,relu,none,adam,5e-4,mse,10
001,000,age,009,7,7,28,002,001,10.923336351959962,1.8756729329254476,001,1,16,0,relu,none,adam,5e-4,mse,10
001,000,age,010,7,7,35,002,001,8.148249981001294,1.9097071381296868,001,2,16,16,relu,relu,adam,5e-4,mse,10
001,000,age,011,14,7,7,002,001,14.87705735978242,2.8347213572809253,001,2,32,32,relu,relu,adam,5e-4,mse,10
001,000,age,012,14,7,14,002,001,13.19679513031155,2.785668057904712,001,1,32,0,relu,none,adam,5e-4,mse,10
001,000,age,013,14,7,21,002,001,10.316460523512987,2.7399384533107347,001,1,32,0,relu,none,adam,5e-4,mse,10
001,000,age,014,14,7,28,002,001,6.84870022406967,2.7456931003220064,001,2,64,8,relu,relu,adam,5e-4,mse,10
001,000,age,015,14,7,35,002,001,4.673857768692073,2.8256560020672468,001,2,16,32,relu,relu,adam,0.001,mse,10
001,000,age,016,21,7,7,002,001,13.010682590637563,3.0688768962105177,001,1,16,0,relu,none,adam,0.001,mse,10
001,000,age,017,21,7,14,002,001,9.784090907010599,2.9591658840350346,001,1,64,0,relu,none,adam,5e-4,mse,10
001,000,age,018,21,7,21,002,001,6.731648115427347,2.9857532439120718,001,2,64,32,relu,relu,adam,5e-4,mse,10
001,000,age,019,21,7,28,002,001,4.329104068077535,3.028549221687978,001,2,64,8,relu,relu,adam,0.001,mse,10
001,000,age,020,21,7,35,002,001,4.042920636255537,3.11876797241242,001,2,64,8,relu,relu,adam,0.005,mse,10
001,000,age,021,28,7,7,002,001,9.267161377870682,4.671695564115253,001,2,64,8,relu,relu,adam,0.001,mse,10
001,000,age,022,28,7,14,002,001,6.637186573320429,4.676988998704085,001,2,32,16,relu,relu,adam,0.001,mse,10
001,000,age,023,28,7,21,002,001,4.187514621295097,4.63081145516693,001,2,64,16,relu,relu,adam,0.002,mse,10
001,000,age,024,28,7,28,002,001,4.827610892987214,4.6687743040794665,001,2,64,32,relu,relu,adam,0.002,mse,10
001,000,age,025,28,7,35,002,001,3.4395730721624287,4.689608073502406,001,2,64,8,relu,relu,adam,5e-4,mse,50
001,000,age,001,0,7,7,002,002,6.058427400749027,20.163973828079474,001,1,64,0,relu,none,adam,5e-4,mse,10
001,000,age,002,0,7,14,002,002,4.358188289266597,22.023261114438117,001,2,64,16,relu,relu,adam,0.005,mse,10
001,000,age,003,0,7,21,002,002,1.30121504013963,27.851853468954545,001,2,32,16,relu,relu,adam,0.005,mse,100
001,000,age,004,0,7,28,002,002,1.7131691300510423,24.75958847009162,001,2,16,16,relu,relu,adam,0.005,mse,50
001,000,age,005,0,7,35,002,002,6.419612742512303,44.56645196933706,001,1,16,0,relu,none,adam,5e-4,mse,10
001,000,age,006,7,7,7,002,002,6.742465770381236,26.88970514160778,001,1,64,0,relu,none,adam,0.005,mse,10
001,000,age,007,7,7,14,002,002,1.587308860604904,27.03982943838475,001,1,32,0,relu,none,adam,0.005,mse,100
001,000,age,008,7,7,21,002,002,7.333294811879685,35.71714953613218,001,2,16,8,relu,relu,adam,0.001,mse,10
001,000,age,009,7,7,28,002,002,5.9043512272148,40.3115601799098,001,2,16,16,relu,relu,adam,5e-4,mse,10
