date_day,date_day_shift_k,y,type_model,number_xy,number_combination_features,name_data_set,number_grid_combinations_kNp_dates_train_test,number_combination_kNp,group_dates_train_test,number_dates_train_test,number_hyp_par_grid,k,N,p
2021-11-23,2021-11-23,45.08424017559737,lstm,001,000,age,003,001,006,001,001,0,7,7
2021-11-24,2021-11-24,43.069490715302535,lstm,001,000,age,003,001,006,001,001,0,7,7
2021-11-25,2021-11-25,43.846202391199775,lstm,001,000,age,003,001,006,001,001,0,7,7
2021-11-26,2021-11-26,44.5497283184901,lstm,001,000,age,003,001,006,001,001,0,7,7
2021-11-27,2021-11-27,45.5720316303894,lstm,001,000,age,003,001,006,001,001,0,7,7
2021-11-28,2021-11-28,43.13026664890349,lstm,001,000,age,003,001,006,001,001,0,7,7
2021-11-29,2021-11-29,44.56241738907993,lstm,001,000,age,003,001,006,001,001,0,7,7
2021-11-30,2021-11-30,45.93621265739203,lstm,001,000,age,003,001,006,001,001,0,7,7
2021-12-01,2021-12-01,49.78857814818621,lstm,001,000,age,003,001,006,001,001,0,7,7
2021-12-02,2021-12-02,48.68530396185816,lstm,001,000,age,003,001,006,001,001,0,7,7
2021-12-03,2021-12-03,49.62423851657659,lstm,001,000,age,003,001,006,001,001,0,7,7
2021-12-04,2021-12-04,51.049121405743065,lstm,001,000,age,003,001,006,001,001,0,7,7
2021-12-05,2021-12-05,51.001543331518775,lstm,001,000,age,003,001,006,001,001,0,7,7
2021-12-06,2021-12-06,51.24332236554474,lstm,001,000,age,003,001,006,001,001,0,7,7
2021-12-07,2021-12-07,55.508852299489085,lstm,001,000,age,003,001,006,001,001,0,7,7
2021-12-08,2021-12-08,57.63856425285339,lstm,001,000,age,003,001,006,001,001,0,7,7
2021-12-09,2021-12-09,60.25183339919895,lstm,001,000,age,003,001,006,001,001,0,7,7
2021-12-10,2021-12-10,63.15197988711298,lstm,001,000,age,003,001,006,001,001,0,7,7
2021-12-11,2021-12-11,63.574784870631994,lstm,001,000,age,003,001,006,001,001,0,7,7
2021-12-12,2021-12-12,61.485996219329536,lstm,001,000,age,003,001,006,001,001,0,7,7
2021-12-13,2021-12-13,61.935694312863056,lstm,001,000,age,003,001,006,001,001,0,7,7
2021-12-14,2021-12-14,58.60096685308963,lstm,001,000,age,003,001,006,001,001,0,7,7
2021-12-15,2021-12-15,52.78113276548684,lstm,001,000,age,003,001,006,001,001,0,7,7
2021-12-16,2021-12-16,51.704737255908555,lstm,001,000,age,003,001,006,001,001,0,7,7
2021-12-17,2021-12-17,49.61400056760758,lstm,001,000,age,003,001,006,001,001,0,7,7
2021-12-18,2021-12-18,47.59019230529666,lstm,001,000,age,003,001,006,001,001,0,7,7
2021-12-19,2021-12-19,46.8395080190152,lstm,001,000,age,003,001,006,001,001,0,7,7
2021-12-20,2021-12-20,49.78288882747293,lstm,001,000,age,003,001,006,001,001,0,7,7
2021-12-21,2021-12-21,50.6751521512866,lstm,001,000,age,003,001,006,001,001,0,7,7
2021-12-22,2021-12-22,55.17679561451078,lstm,001,000,age,003,001,006,001,001,0,7,7
2021-12-23,2021-12-23,53.12715428769589,lstm,001,000,age,003,001,006,001,001,0,7,7
2021-12-24,2021-12-24,53.253209479339425,lstm,001,000,age,003,001,006,001,001,0,7,7
2021-12-25,2021-12-25,50.06316755805165,lstm,001,000,age,003,001,006,001,001,0,7,7
2021-12-26,2021-12-26,46.53444092329592,lstm,001,000,age,003,001,006,001,001,0,7,7
2021-12-27,2021-12-27,45.81742384750397,lstm,001,000,age,003,001,006,001,001,0,7,7
2021-12-28,2021-12-28,43.97505355793983,lstm,001,000,age,003,001,006,001,001,0,7,7
2021-12-29,2021-12-29,45.05726212970913,lstm,001,000,age,003,001,006,001,001,0,7,7
2021-12-30,2021-12-30,47.46912127323449,lstm,001,000,age,003,001,006,001,001,0,7,7
2021-12-31,2021-12-31,49.113882575370376,lstm,001,000,age,003,001,006,001,001,0,7,7
2022-01-01,2022-01-01,49.24676864985377,lstm,001,000,age,003,001,006,001,001,0,7,7
