date_day,date_day_shift_k,y,type_model,number_xy,number_combination_features,name_data_set,number_grid_combinations_kNp_dates_train_test,number_combination_kNp,group_dates_train_test,number_dates_train_test,number_hyp_par_grid,k,N,p
2021-11-23,2021-11-23,43.945821265131244,lstm,001,004,base,003,001,006,001,001,0,7,7
2021-11-24,2021-11-24,45.85334996655584,lstm,001,004,base,003,001,006,001,001,0,7,7
2021-11-25,2021-11-25,45.662397096306094,lstm,001,004,base,003,001,006,001,001,0,7,7
2021-11-26,2021-11-26,45.877728852629666,lstm,001,004,base,003,001,006,001,001,0,7,7
2021-11-27,2021-11-27,45.81159872338176,lstm,001,004,base,003,001,006,001,001,0,7,7
2021-11-28,2021-11-28,45.75887292698026,lstm,001,004,base,003,001,006,001,001,0,7,7
2021-11-29,2021-11-29,47.209480917453774,lstm,001,004,base,003,001,006,001,001,0,7,7
2021-11-30,2021-11-30,47.777379973232755,lstm,001,004,base,003,001,006,001,001,0,7,7
2021-12-01,2021-12-01,46.61197340190411,lstm,001,004,base,003,001,006,001,001,0,7,7
2021-12-02,2021-12-02,46.59854242801667,lstm,001,004,base,003,001,006,001,001,0,7,7
2021-12-03,2021-12-03,46.42194266170264,lstm,001,004,base,003,001,006,001,001,0,7,7
2021-12-04,2021-12-04,46.763230429589754,lstm,001,004,base,003,001,006,001,001,0,7,7
2021-12-05,2021-12-05,47.27849940657616,lstm,001,004,base,003,001,006,001,001,0,7,7
2021-12-06,2021-12-06,46.562073241174225,lstm,001,004,base,003,001,006,001,001,0,7,7
2021-12-07,2021-12-07,46.046248583495625,lstm,001,004,base,003,001,006,001,001,0,7,7
2021-12-08,2021-12-08,46.63194424360991,lstm,001,004,base,003,001,006,001,001,0,7,7
2021-12-09,2021-12-09,46.35814905762673,lstm,001,004,base,003,001,006,001,001,0,7,7
2021-12-10,2021-12-10,46.49517588019371,lstm,001,004,base,003,001,006,001,001,0,7,7
2021-12-11,2021-12-11,45.77897036224604,lstm,001,004,base,003,001,006,001,001,0,7,7
2021-12-12,2021-12-12,45.35708882138134,lstm,001,004,base,003,001,006,001,001,0,7,7
2021-12-13,2021-12-13,45.398604033142334,lstm,001,004,base,003,001,006,001,001,0,7,7
2021-12-14,2021-12-14,45.540541990101346,lstm,001,004,base,003,001,006,001,001,0,7,7
2021-12-15,2021-12-15,45.17879275754095,lstm,001,004,base,003,001,006,001,001,0,7,7
2021-12-16,2021-12-16,45.166037186980255,lstm,001,004,base,003,001,006,001,001,0,7,7
2021-12-17,2021-12-17,44.60536176413298,lstm,001,004,base,003,001,006,001,001,0,7,7
2021-12-18,2021-12-18,44.607943503558644,lstm,001,004,base,003,001,006,001,001,0,7,7
2021-12-19,2021-12-19,44.36255263686181,lstm,001,004,base,003,001,006,001,001,0,7,7
2021-12-20,2021-12-20,43.16491291224957,lstm,001,004,base,003,001,006,001,001,0,7,7
2021-12-21,2021-12-21,42.19273966699839,lstm,001,004,base,003,001,006,001,001,0,7,7
2021-12-22,2021-12-22,40.51263699829579,lstm,001,004,base,003,001,006,001,001,0,7,7
2021-12-23,2021-12-23,40.43858460560441,lstm,001,004,base,003,001,006,001,001,0,7,7
2021-12-24,2021-12-24,40.29437001720071,lstm,001,004,base,003,001,006,001,001,0,7,7
2021-12-25,2021-12-25,39.40150970071554,lstm,001,004,base,003,001,006,001,001,0,7,7
2021-12-26,2021-12-26,38.440760881453755,lstm,001,004,base,003,001,006,001,001,0,7,7
