number_xy,number_combination_features,name_data_set,number_combination_kNp,k,N,p,group_dates_train_test,number_dates_train_test,rmse_train,rmse_test,number_hyp_par_grid_lstm,nlayers,nneurons_one,nneurons_two,act_function_one,act_function_two,optimizer,learning_rate,loss_function,nepochs
001,010,base,001,0,7,7,002,001,13.445186308974758,2.600424856883313,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,002,0,7,14,002,001,13.608465892872307,2.780907069157272,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,003,0,7,21,002,001,12.647595898855556,3.4718669610232147,001,1,16,0,relu,none,adam,5e-4,mse,10
001,010,base,004,0,7,28,002,001,11.02371460987258,3.7008427853931147,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,005,0,7,35,002,001,9.325001938535152,2.4355731572094896,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,006,7,7,7,002,001,14.984652801054136,1.9433465978407025,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,007,7,7,14,002,001,13.787955494622532,2.447151806285162,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,008,7,7,21,002,001,12.192755080867496,2.856608684114568,001,2,16,16,relu,relu,adam,5e-4,mse,10
001,010,base,009,7,7,28,002,001,9.305706775998857,2.7844664621140724,001,2,16,16,relu,relu,adam,5e-4,mse,10
001,010,base,010,7,7,35,002,001,6.931505338995485,2.006932708562136,001,1,16,0,relu,none,adam,5e-4,mse,10
001,010,base,011,14,7,7,002,001,14.350259583675102,2.77815800339562,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,012,14,7,14,002,001,13.056964747302054,2.748336459440428,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,013,14,7,21,002,001,9.04946613381631,3.1674016593790535,001,2,16,16,relu,relu,adam,5e-4,mse,10
001,010,base,014,14,7,28,002,001,6.978203223475254,2.6982129236420853,001,1,16,0,relu,none,adam,5e-4,mse,10
001,010,base,015,14,7,35,002,001,4.982185219706981,2.713299931246004,001,2,32,16,relu,relu,adam,5e-4,mse,10
001,010,base,016,21,7,7,002,001,12.944242160418822,3.051466442966198,001,2,16,16,relu,relu,adam,5e-4,mse,10
001,010,base,017,21,7,14,002,001,8.978426711629691,3.010961578590328,001,1,16,0,relu,none,adam,5e-4,mse,10
001,010,base,018,21,7,21,002,001,6.797130725508197,3.0037286708217463,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,019,21,7,28,002,001,4.280137793199393,2.9923423886307847,001,2,16,8,relu,relu,adam,0.001,mse,10
001,010,base,020,21,7,35,002,001,4.357701376165902,3.001088190123159,001,2,16,32,relu,relu,adam,0.001,mse,10
001,010,base,021,28,7,7,002,001,8.768752631509004,4.518174701399837,001,2,64,8,relu,relu,adam,5e-4,mse,10
001,010,base,022,28,7,14,002,001,5.7728324058519656,4.565490787508199,001,2,32,16,relu,relu,adam,5e-4,mse,10
