number_xy,number_combination_features,name_data_set,number_combination_kNp,k,N,p,group_dates_train_test,number_dates_train_test,rmse_train,rmse_test,number_hyp_par_grid_nn,nlayers,nneurons_one,nneurons_two,act_function_one,act_function_two,optimizer,learning_rate,loss_function,nepochs
001,000,age,001,0,7,7,002,001,11.524621385680732,1.9210787485638101,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,000,age,002,0,7,14,002,001,12.490171828108451,1.7809897358497075,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,000,age,003,0,7,21,002,001,10.810507528572327,2.1209055106047754,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,000,age,004,0,7,28,002,001,8.998785429815259,2.056755363011452,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,000,age,005,0,7,35,002,001,4.793242684815658,1.9356092733850514,003,2,32,8,relu,relu,adam,5e-4,mse,10
001,000,age,006,7,7,7,002,001,13.96754990740449,2.0623310917746,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,000,age,007,7,7,14,002,001,12.787634725774671,2.1083920239688356,003,1,16,0,relu,none,adam,5e-4,mse,10
001,000,age,008,7,7,21,002,001,11.11552001511882,2.1253528940796156,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,000,age,009,7,7,28,002,001,7.7276777238216265,1.9706684468110198,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,000,age,010,7,7,35,002,001,5.149931012084955,2.0004241371365463,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,000,age,011,14,7,7,002,001,14.088959615037197,2.9550685382689097,003,2,16,16,relu,relu,adam,5e-4,mse,10
001,000,age,012,14,7,14,002,001,12.263754414757198,2.8510552369410753,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,000,age,013,14,7,21,002,001,8.253476092275411,2.728931427997661,003,2,16,16,relu,relu,adam,5e-4,mse,10
001,000,age,014,14,7,28,002,001,4.703594717897041,2.7452824603610138,003,2,32,32,relu,relu,adam,5e-4,mse,10
001,000,age,015,14,7,35,002,001,1.6007038649791765,2.7006577879964144,003,2,32,8,relu,relu,adam,0.005,mse,10
001,000,age,016,21,7,7,002,001,12.564044927534981,3.164474948435441,003,2,16,32,relu,relu,adam,5e-4,mse,10
001,000,age,017,21,7,14,002,001,9.113100005679335,2.996715441281198,003,1,64,0,relu,none,adam,5e-4,mse,10
001,000,age,018,21,7,21,002,001,5.355435794782817,2.89678340127734,003,2,64,32,relu,relu,adam,5e-4,mse,10
001,000,age,019,21,7,28,002,001,1.5354814165264798,2.8433667976334083,003,2,64,32,relu,relu,adam,0.005,mse,50
001,000,age,020,21,7,35,002,001,1.3295948620358322,2.9549287026789375,003,2,16,32,relu,relu,adam,0.005,mse,25
001,000,age,021,28,7,7,002,001,9.460947299484062,4.600916837338464,003,1,64,0,relu,none,adam,0.001,mse,10
001,000,age,022,28,7,14,002,001,5.992286802080809,4.5676477366843375,003,1,16,0,relu,none,adam,0.001,mse,25
001,000,age,023,28,7,21,002,001,2.0243840605471735,4.570643976576246,003,2,32,32,relu,relu,adam,0.002,mse,25
001,000,age,024,28,7,28,002,001,1.4073087719077744,4.634183225217899,003,2,16,32,relu,relu,adam,0.005,mse,50
001,000,age,025,28,7,35,002,001,1.589001159144975,4.86822349523887,003,2,16,32,relu,relu,adam,0.005,mse,50
001,000,age,001,0,7,7,002,002,3.5665112961748795,16.839261949700752,003,2,64,32,relu,relu,adam,0.002,mse,10
001,000,age,002,0,7,14,002,002,3.7821059255019724,16.517518536573956,003,1,32,0,relu,none,adam,0.002,mse,10
001,000,age,003,0,7,21,002,002,2.105735241601548,16.899010457496804,003,1,32,0,relu,none,adam,5e-4,mse,50
001,000,age,004,0,7,28,002,002,1.161202328131311,19.882664438104815,003,1,64,0,relu,none,adam,0.001,mse,25
001,000,age,005,0,7,35,002,002,0.9471174191327998,25.44377108689771,003,1,64,0,relu,none,adam,0.001,mse,25
001,000,age,006,7,7,7,002,002,7.1161444533459575,29.595361309476825,003,1,64,0,relu,none,adam,5e-4,mse,10
001,000,age,007,7,7,14,002,002,5.5444429628475875,29.51786977390653,003,1,64,0,relu,none,adam,5e-4,mse,25
001,000,age,008,7,7,21,002,002,2.080848684184382,27.952727043962867,003,1,32,0,relu,none,adam,0.001,mse,50
001,000,age,009,7,7,28,002,002,1.1959244553936064,32.36561707726544,003,1,32,0,relu,none,adam,5e-4,mse,50
001,000,age,010,7,7,35,002,002,1.0215770802320643,38.98005826874467,003,1,32,0,relu,none,adam,0.002,mse,10
001,000,age,011,14,7,7,002,002,8.343546721090267,41.51219889206391,003,1,64,0,relu,none,adam,5e-4,mse,10
001,000,age,012,14,7,14,002,002,5.471198415062981,40.72350146666065,003,1,64,0,relu,none,adam,0.001,mse,25
001,000,age,013,14,7,21,002,002,1.4954297583718132,40.41678869792875,003,1,32,0,relu,none,adam,0.001,mse,50
001,000,age,014,14,7,28,002,002,0.9859424117963337,45.24935851941343,003,1,64,0,relu,none,adam,0.001,mse,50
001,000,age,015,14,7,35,002,002,0.9750724030389223,49.65249482834899,003,1,32,0,relu,none,adam,5e-4,mse,50
001,000,age,016,21,7,7,002,002,7.843474518462122,49.5389882113654,003,1,32,0,relu,none,adam,0.001,mse,10
001,000,age,017,21,7,14,002,002,4.81022623744039,49.92759806765245,003,1,64,0,relu,none,adam,5e-4,mse,25
001,000,age,018,21,7,21,002,002,2.245779079664016,49.645261253470935,003,1,32,0,relu,none,adam,0.002,mse,10
001,000,age,019,21,7,28,002,002,0.8810640377459648,52.507297701142484,003,1,32,0,relu,none,adam,0.001,mse,50
001,000,age,020,21,7,35,002,002,0.9259811504607147,55.31337613219175,003,1,64,0,relu,none,adam,5e-4,mse,50
001,000,age,021,28,7,7,002,002,6.24909831732711,54.84314767071129,003,1,16,0,relu,none,adam,0.001,mse,10
001,000,age,022,28,7,14,002,002,3.7765711611455397,55.686043657625035,003,1,32,0,relu,none,adam,5e-4,mse,25
001,000,age,023,28,7,21,002,002,0.7462513166146676,55.513005036810874,003,1,32,0,relu,none,adam,0.001,mse,50
001,000,age,024,28,7,28,002,002,0.9662318951863448,57.65449351056116,003,1,64,0,relu,none,adam,5e-4,mse,25
001,000,age,025,28,7,35,002,002,0.9477155973045834,59.93906325245637,003,1,64,0,relu,none,adam,0.001,mse,10
001,000,age,001,0,7,7,002,003,10.156889015211807,8.02982323536087,003,2,32,32,relu,relu,adam,5e-4,mse,25
001,000,age,002,0,7,14,002,003,11.704314236653286,8.768891931468191,003,1,32,0,relu,none,adam,5e-4,mse,10
001,000,age,003,0,7,21,002,003,13.832149748780445,8.457961821908649,003,1,16,0,relu,none,adam,5e-4,mse,10
001,000,age,004,0,7,28,002,003,10.823416718518772,8.53570711928879,003,2,64,8,relu,relu,adam,5e-4,mse,10
001,000,age,005,0,7,35,002,003,12.257070988439349,8.355568279382464,003,1,16,0,relu,none,adam,5e-4,mse,10
001,000,age,006,7,7,7,002,003,16.11569852501595,10.09123093950963,003,1,32,0,relu,none,adam,0.001,mse,10
001,000,age,007,7,7,14,002,003,17.64197330677569,9.37671993368621,003,1,32,0,relu,none,adam,5e-4,mse,10
001,000,age,008,7,7,21,002,003,19.34634586171711,8.746065973072481,003,1,16,0,relu,none,adam,5e-4,mse,10
001,000,age,009,7,7,28,002,003,18.8399892846847,8.792703636060596,003,1,16,0,relu,none,adam,5e-4,mse,10
001,000,age,010,7,7,35,002,003,15.825344515512453,9.864151079505591,003,2,64,32,relu,relu,adam,5e-4,mse,10
001,000,age,011,14,7,7,002,003,20.259266485936823,11.468258616111758,003,1,32,0,relu,none,adam,5e-4,mse,50
001,000,age,012,14,7,14,002,003,24.0942736642021,10.93925108161891,003,1,16,0,relu,none,adam,5e-4,mse,10
001,000,age,013,14,7,21,002,003,23.814264886553552,10.536844766140455,003,1,16,0,relu,none,adam,5e-4,mse,10
001,000,age,014,14,7,28,002,003,24.073531005130867,10.64078052565388,003,1,16,0,relu,none,adam,5e-4,mse,10
001,000,age,015,14,7,35,002,003,21.730284007794864,11.225813813574463,003,1,32,0,relu,none,adam,5e-4,mse,10
001,000,age,016,21,7,7,002,003,27.666801594298605,13.01971684268124,003,1,32,0,relu,none,adam,5e-4,mse,10
001,000,age,017,21,7,14,002,003,27.016762398942166,14.006407002412294,003,1,32,0,relu,none,adam,5e-4,mse,10
001,000,age,018,21,7,21,002,003,28.63727027850631,12.709564445573857,003,1,16,0,relu,none,adam,5e-4,mse,10
001,000,age,019,21,7,28,002,003,26.679124611570323,14.368993579800513,003,1,32,0,relu,none,adam,5e-4,mse,10
001,000,age,020,21,7,35,002,003,28.19867425609013,16.381222591513968,003,1,16,0,relu,none,adam,5e-4,mse,10
