date_day,date_day_shift_k,y,type_model,number_xy,number_combination_features,name_data_set,number_grid_combinations_kNp_dates_train_test,number_combination_kNp,group_dates_train_test,number_dates_train_test,number_hyp_par_grid,k,N,p
2021-11-23,2021-11-23,44.217127906717366,nn,001,000,age,003,001,006,001,003,0,7,7
2021-11-24,2021-11-24,40.514971778728075,nn,001,000,age,003,001,006,001,003,0,7,7
2021-11-25,2021-11-25,40.13796888105572,nn,001,000,age,003,001,006,001,003,0,7,7
2021-11-26,2021-11-26,41.65754609201104,nn,001,000,age,003,001,006,001,003,0,7,7
2021-11-27,2021-11-27,43.72296372260899,nn,001,000,age,003,001,006,001,003,0,7,7
2021-11-28,2021-11-28,41.10262165535242,nn,001,000,age,003,001,006,001,003,0,7,7
2021-11-29,2021-11-29,44.005912428908054,nn,001,000,age,003,001,006,001,003,0,7,7
2021-11-30,2021-11-30,44.5374932313338,nn,001,000,age,003,001,006,001,003,0,7,7
2021-12-01,2021-12-01,51.09065029453487,nn,001,000,age,003,001,006,001,003,0,7,7
2021-12-02,2021-12-02,45.658508741296835,nn,001,000,age,003,001,006,001,003,0,7,7
2021-12-03,2021-12-03,51.654172921925785,nn,001,000,age,003,001,006,001,003,0,7,7
2021-12-04,2021-12-04,50.514842946734284,nn,001,000,age,003,001,006,001,003,0,7,7
2021-12-05,2021-12-05,54.06530105192215,nn,001,000,age,003,001,006,001,003,0,7,7
2021-12-06,2021-12-06,54.0554674288258,nn,001,000,age,003,001,006,001,003,0,7,7
2021-12-07,2021-12-07,57.762668101675814,nn,001,000,age,003,001,006,001,003,0,7,7
2021-12-08,2021-12-08,57.47438498875127,nn,001,000,age,003,001,006,001,003,0,7,7
2021-12-09,2021-12-09,63.381951197981834,nn,001,000,age,003,001,006,001,003,0,7,7
2021-12-10,2021-12-10,67.56107183899731,nn,001,000,age,003,001,006,001,003,0,7,7
2021-12-11,2021-12-11,65.30523618459702,nn,001,000,age,003,001,006,001,003,0,7,7
2021-12-12,2021-12-12,65.63046393943951,nn,001,000,age,003,001,006,001,003,0,7,7
2021-12-13,2021-12-13,68.56678130691871,nn,001,000,age,003,001,006,001,003,0,7,7
2021-12-14,2021-12-14,63.220835947990416,nn,001,000,age,003,001,006,001,003,0,7,7
2021-12-15,2021-12-15,58.80751367751509,nn,001,000,age,003,001,006,001,003,0,7,7
2021-12-16,2021-12-16,56.655814465694135,nn,001,000,age,003,001,006,001,003,0,7,7
2021-12-17,2021-12-17,51.28036637119949,nn,001,000,age,003,001,006,001,003,0,7,7
2021-12-18,2021-12-18,47.74202182637528,nn,001,000,age,003,001,006,001,003,0,7,7
2021-12-19,2021-12-19,49.59681424135343,nn,001,000,age,003,001,006,001,003,0,7,7
2021-12-20,2021-12-20,51.08634561114014,nn,001,000,age,003,001,006,001,003,0,7,7
2021-12-21,2021-12-21,48.96989981587977,nn,001,000,age,003,001,006,001,003,0,7,7
2021-12-22,2021-12-22,56.72618708349765,nn,001,000,age,003,001,006,001,003,0,7,7
2021-12-23,2021-12-23,54.031242900900544,nn,001,000,age,003,001,006,001,003,0,7,7
2021-12-24,2021-12-24,52.389852233324206,nn,001,000,age,003,001,006,001,003,0,7,7
2021-12-25,2021-12-25,51.38413830632344,nn,001,000,age,003,001,006,001,003,0,7,7
2021-12-26,2021-12-26,51.07172947283835,nn,001,000,age,003,001,006,001,003,0,7,7
2021-12-27,2021-12-27,44.668359410390266,nn,001,000,age,003,001,006,001,003,0,7,7
2021-12-28,2021-12-28,45.43404487958178,nn,001,000,age,003,001,006,001,003,0,7,7
2021-12-29,2021-12-29,42.83999803029001,nn,001,000,age,003,001,006,001,003,0,7,7
2021-12-30,2021-12-30,46.26654457263649,nn,001,000,age,003,001,006,001,003,0,7,7
2021-12-31,2021-12-31,46.34626283468679,nn,001,000,age,003,001,006,001,003,0,7,7
2022-01-01,2022-01-01,47.953861602302645,nn,001,000,age,003,001,006,001,003,0,7,7
2022-01-02,2022-01-02,48.62208876870573,nn,001,000,age,003,001,006,001,003,0,7,7
2022-01-03,2022-01-03,53.41447701863945,nn,001,000,age,003,001,006,001,003,0,7,7
2022-01-04,2022-01-04,54.85963447466493,nn,001,000,age,003,001,006,001,003,0,7,7
2022-01-05,2022-01-05,49.54638288300485,nn,001,000,age,003,001,006,001,003,0,7,7
2022-01-06,2022-01-06,57.77363485489041,nn,001,000,age,003,001,006,001,003,0,7,7
2022-01-07,2022-01-07,53.503273169510074,nn,001,000,age,003,001,006,001,003,0,7,7
2022-01-08,2022-01-08,54.46897147772834,nn,001,000,age,003,001,006,001,003,0,7,7
2022-01-09,2022-01-09,58.556985908187926,nn,001,000,age,003,001,006,001,003,0,7,7
2022-01-10,2022-01-10,55.70610738024116,nn,001,000,age,003,001,006,001,003,0,7,7
2022-01-11,2022-01-11,55.41561552677304,nn,001,000,age,003,001,006,001,003,0,7,7
2022-01-12,2022-01-12,58.395848559960726,nn,001,000,age,003,001,006,001,003,0,7,7
2022-01-13,2022-01-13,64.57742871474476,nn,001,000,age,003,001,006,001,003,0,7,7
2022-01-14,2022-01-14,65.20494349272921,nn,001,000,age,003,001,006,001,003,0,7,7
2022-01-15,2022-01-15,68.10190404541791,nn,001,000,age,003,001,006,001,003,0,7,7
2022-01-16,2022-01-16,70.00158548019826,nn,001,000,age,003,001,006,001,003,0,7,7
2022-01-17,2022-01-17,65.95502859596164,nn,001,000,age,003,001,006,001,003,0,7,7
2022-01-18,2022-01-18,69.12466779034585,nn,001,000,age,003,001,006,001,003,0,7,7
2022-01-19,2022-01-19,71.52594460677355,nn,001,000,age,003,001,006,001,003,0,7,7
2022-01-20,2022-01-20,75.15098173785955,nn,001,000,age,003,001,006,001,003,0,7,7
2022-01-21,2022-01-21,71.37722178110853,nn,001,000,age,003,001,006,001,003,0,7,7
2022-01-22,2022-01-22,84.70718484614045,nn,001,000,age,003,001,006,001,003,0,7,7
2022-01-23,2022-01-23,84.17153334179893,nn,001,000,age,003,001,006,001,003,0,7,7
2022-01-24,2022-01-24,88.86804020144045,nn,001,000,age,003,001,006,001,003,0,7,7
2022-01-25,2022-01-25,85.7762127709575,nn,001,000,age,003,001,006,001,003,0,7,7
2022-01-26,2022-01-26,90.53120643328876,nn,001,000,age,003,001,006,001,003,0,7,7
2022-01-27,2022-01-27,92.1885677324608,nn,001,000,age,003,001,006,001,003,0,7,7
2022-01-28,2022-01-28,90.69722428843379,nn,001,000,age,003,001,006,001,003,0,7,7
2022-01-29,2022-01-29,81.06440762300045,nn,001,000,age,003,001,006,001,003,0,7,7
2022-01-30,2022-01-30,94.65536106452346,nn,001,000,age,003,001,006,001,003,0,7,7
2022-01-31,2022-01-31,89.3030479323119,nn,001,000,age,003,001,006,001,003,0,7,7
2022-02-01,2022-02-01,100.81413849759846,nn,001,000,age,003,001,006,001,003,0,7,7
2022-02-02,2022-02-02,106.15554609373211,nn,001,000,age,003,001,006,001,003,0,7,7
2022-02-03,2022-02-03,100.25240937620401,nn,001,000,age,003,001,006,001,003,0,7,7
2022-02-04,2022-02-04,112.01272183256224,nn,001,000,age,003,001,006,001,003,0,7,7
2022-02-05,2022-02-05,116.18712320923805,nn,001,000,age,003,001,006,001,003,0,7,7
2022-02-06,2022-02-06,110.40613521113991,nn,001,000,age,003,001,006,001,003,0,7,7
2022-02-07,2022-02-07,117.39415061119944,nn,001,000,age,003,001,006,001,003,0,7,7
2022-02-08,2022-02-08,117.65647867638617,nn,001,000,age,003,001,006,001,003,0,7,7
2022-02-09,2022-02-09,110.72322430890054,nn,001,000,age,003,001,006,001,003,0,7,7
2022-02-10,2022-02-10,120.63576163128019,nn,001,000,age,003,001,006,001,003,0,7,7
2022-02-11,2022-02-11,122.72016598396003,nn,001,000,age,003,001,006,001,003,0,7,7
2022-02-12,2022-02-12,118.19936409033835,nn,001,000,age,003,001,006,001,003,0,7,7
2022-02-13,2022-02-13,116.8954242028296,nn,001,000,age,003,001,006,001,003,0,7,7
2022-02-14,2022-02-14,116.35750678665936,nn,001,000,age,003,001,006,001,003,0,7,7
2022-02-15,2022-02-15,103.84865426160395,nn,001,000,age,003,001,006,001,003,0,7,7
2022-02-16,2022-02-16,108.33380900006742,nn,001,000,age,003,001,006,001,003,0,7,7
2022-02-17,2022-02-17,107.71390674831346,nn,001,000,age,003,001,006,001,003,0,7,7
2022-02-18,2022-02-18,98.00003411863,nn,001,000,age,003,001,006,001,003,0,7,7
2022-02-19,2022-02-19,100.97275667665527,nn,001,000,age,003,001,006,001,003,0,7,7
2022-02-20,2022-02-20,91.64766722731292,nn,001,000,age,003,001,006,001,003,0,7,7
2022-02-21,2022-02-21,93.9923147703521,nn,001,000,age,003,001,006,001,003,0,7,7
2022-02-22,2022-02-22,101.7178932659328,nn,001,000,age,003,001,006,001,003,0,7,7
2022-02-23,2022-02-23,101.94190767891705,nn,001,000,age,003,001,006,001,003,0,7,7
2022-02-24,2022-02-24,100.56713091349229,nn,001,000,age,003,001,006,001,003,0,7,7
2022-02-25,2022-02-25,93.13737348429859,nn,001,000,age,003,001,006,001,003,0,7,7
2022-02-26,2022-02-26,101.83762025963514,nn,001,000,age,003,001,006,001,003,0,7,7
2022-02-27,2022-02-27,109.08676058910787,nn,001,000,age,003,001,006,001,003,0,7,7
2022-02-28,2022-02-28,101.86991403587163,nn,001,000,age,003,001,006,001,003,0,7,7
2022-03-01,2022-03-01,98.34132107356564,nn,001,000,age,003,001,006,001,003,0,7,7
2022-03-02,2022-03-02,100.5529263230972,nn,001,000,age,003,001,006,001,003,0,7,7
2022-03-03,2022-03-03,99.7627998702228,nn,001,000,age,003,001,006,001,003,0,7,7
2022-03-04,2022-03-04,99.89185971971601,nn,001,000,age,003,001,006,001,003,0,7,7
2022-03-05,2022-03-05,92.45930775497109,nn,001,000,age,003,001,006,001,003,0,7,7
2022-03-06,2022-03-06,98.22715059509501,nn,001,000,age,003,001,006,001,003,0,7,7
2022-03-07,2022-03-07,94.08741140859202,nn,001,000,age,003,001,006,001,003,0,7,7
2022-03-08,2022-03-08,92.22096357597039,nn,001,000,age,003,001,006,001,003,0,7,7
2022-03-09,2022-03-09,96.87245076019317,nn,001,000,age,003,001,006,001,003,0,7,7
2022-03-10,2022-03-10,97.47411764338612,nn,001,000,age,003,001,006,001,003,0,7,7
2022-03-11,2022-03-11,93.15782735692338,nn,001,000,age,003,001,006,001,003,0,7,7
2022-03-12,2022-03-12,97.89608860351146,nn,001,000,age,003,001,006,001,003,0,7,7
2022-03-13,2022-03-13,108.31421362850816,nn,001,000,age,003,001,006,001,003,0,7,7
2022-03-14,2022-03-14,109.99749912377447,nn,001,000,age,003,001,006,001,003,0,7,7
2022-03-15,2022-03-15,110.2888210952282,nn,001,000,age,003,001,006,001,003,0,7,7
2022-03-16,2022-03-16,108.98689768388867,nn,001,000,age,003,001,006,001,003,0,7,7
