number_xy,number_combination_features,name_data_set,number_combination_kNp,k,N,p,group_dates_train_test,number_dates_train_test,rmse_train,rmse_test,number_hyp_par_grid_nn,nlayers,nneurons_one,nneurons_two,act_function_one,act_function_two,optimizer,learning_rate,loss_function,nepochs
001,003,base,001,0,7,7,006,001,25.274647176113614,11.640792692585501,003,1,16,0,relu,none,adam,5e-4,mse,10
001,003,base,002,0,7,14,006,001,26.481264435178275,13.213380266923656,003,1,16,0,relu,none,adam,5e-4,mse,10
001,003,base,003,0,7,21,006,001,10.281750738364686,12.647911713061413,003,2,16,32,relu,relu,adam,0.005,mse,50
001,003,base,004,0,7,28,006,001,16.3395221122522,13.545850628693948,003,2,64,8,relu,relu,adam,0.001,mse,10
001,003,base,005,0,7,35,006,001,13.84880380502759,13.560237239207392,003,2,64,8,relu,relu,adam,5e-4,mse,25
001,003,base,006,7,7,7,006,001,32.34048267251854,16.04635772465384,003,2,32,8,relu,relu,adam,5e-4,mse,10
001,003,base,007,7,7,14,006,001,31.496362363541067,18.18117950729409,003,2,32,8,relu,relu,adam,5e-4,mse,10
001,003,base,008,7,7,21,006,001,28.912166464639107,17.12753866845599,003,2,32,8,relu,relu,adam,0.001,mse,10
001,003,base,009,7,7,28,006,001,21.084987320711342,16.494578379742897,003,2,64,8,relu,relu,adam,0.002,mse,10
001,003,base,010,7,7,35,006,001,24.905583107209292,17.026824776764162,003,2,64,8,relu,relu,adam,0.001,mse,10
001,003,base,011,14,7,7,006,001,38.441642685088404,19.43917722477149,003,2,16,32,relu,relu,adam,5e-4,mse,10
001,003,base,012,14,7,14,006,001,44.140317824921944,21.00909705247368,003,2,16,16,relu,relu,adam,5e-4,mse,10
001,003,base,013,14,7,21,006,001,27.419491758163762,19.079238519348902,003,1,64,0,relu,none,adam,0.002,mse,10
001,003,base,014,14,7,28,006,001,28.07071656520702,18.710555978236158,003,1,64,0,relu,none,adam,0.002,mse,10
001,003,base,015,14,7,35,006,001,30.52447211905542,19.85493716804557,003,1,64,0,relu,none,adam,5e-4,mse,25
001,003,base,016,21,7,7,006,001,46.07040181256177,21.3029531247753,003,2,16,32,relu,relu,adam,5e-4,mse,10
001,003,base,017,21,7,14,006,001,34.69843054458483,23.2042690343441,003,2,64,32,relu,relu,adam,5e-4,mse,25
001,003,base,018,21,7,21,006,001,34.7059165644595,21.995228096473966,003,1,32,0,relu,none,adam,0.001,mse,25
001,003,base,019,21,7,28,006,001,39.236202403590056,22.505499211053284,003,1,64,0,relu,none,adam,5e-4,mse,25
001,003,base,020,21,7,35,006,001,41.6594274402748,23.607477609217906,003,1,64,0,relu,none,adam,0.002,mse,10
001,003,base,021,28,7,7,006,001,49.321824805797725,23.004427385371507,003,2,16,8,relu,relu,adam,0.001,mse,10
001,003,base,022,28,7,14,006,001,43.94189676613089,25.095410176090876,003,1,64,0,relu,none,adam,5e-4,mse,25
001,003,base,023,28,7,21,006,001,45.113639021707414,25.97950664598682,003,1,32,0,relu,none,adam,0.001,mse,25
001,003,base,024,28,7,28,006,001,54.2202310790717,27.952019247481857,003,1,64,0,relu,none,adam,5e-4,mse,25
001,003,base,025,28,7,35,006,001,59.67102578021436,28.492827262401867,003,2,16,16,relu,relu,adam,5e-4,mse,10
001,003,base,001,0,7,7,006,002,25.44933414570325,10.139052803013586,003,1,16,0,relu,none,adam,5e-4,mse,10
001,003,base,002,0,7,14,006,002,23.808053445838933,10.818424882512375,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,003,base,003,0,7,21,006,002,10.711013763680613,12.188105196625298,003,2,32,8,relu,relu,adam,0.005,mse,25
001,003,base,004,0,7,28,006,002,18.73979280291012,12.635656882046339,003,2,32,8,relu,relu,adam,5e-4,mse,10
001,003,base,005,0,7,35,006,002,12.361759641771636,12.871383512033365,003,2,64,8,relu,relu,adam,0.002,mse,10
001,003,base,006,7,7,7,006,002,28.653678781717677,12.577325664614804,003,1,16,0,relu,none,adam,5e-4,mse,10
001,003,base,007,7,7,14,006,002,29.525713536094877,13.144464508381189,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,003,base,008,7,7,21,006,002,28.473664008001325,13.623638243436812,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,003,base,009,7,7,28,006,002,22.24529744503148,14.240705743041993,003,2,64,8,relu,relu,adam,5e-4,mse,10
001,003,base,010,7,7,35,006,002,21.363076248180604,13.607354404577338,003,2,64,8,relu,relu,adam,5e-4,mse,10
001,003,base,011,14,7,7,006,002,36.12904774376552,14.316008378624463,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,003,base,012,14,7,14,006,002,34.11398346574157,15.906793372970467,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,003,base,013,14,7,21,006,002,33.09081969868539,15.371462355816128,003,2,32,8,relu,relu,adam,5e-4,mse,10
001,003,base,014,14,7,28,006,002,28.663217157280247,14.940693974616856,003,1,64,0,relu,none,adam,5e-4,mse,10
001,003,base,015,14,7,35,006,002,29.82994422308292,14.494449831038867,003,2,64,8,relu,relu,adam,5e-4,mse,10
001,003,base,016,21,7,7,006,002,38.758230603693036,16.460792362026357,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,003,base,017,21,7,14,006,002,38.51697536781311,17.419210568797123,003,1,16,0,relu,none,adam,5e-4,mse,10
001,003,base,018,21,7,21,006,002,37.476153096179786,16.788721150660326,003,2,32,8,relu,relu,adam,5e-4,mse,10
001,003,base,019,21,7,28,006,002,33.0995713813659,16.079172296989675,003,1,32,0,relu,none,adam,0.001,mse,10
001,003,base,020,21,7,35,006,002,32.532625648393264,15.031117444636935,003,2,64,32,relu,relu,adam,5e-4,mse,10
001,003,base,021,28,7,7,006,002,43.07942396859907,17.742376974561378,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,003,base,022,28,7,14,006,002,42.46409255788416,18.38576222262337,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,003,base,023,28,7,21,006,002,37.07245710089451,18.780288894099264,003,1,32,0,relu,none,adam,0.001,mse,10
001,003,base,024,28,7,28,006,002,33.183637930929194,17.688704553550817,003,1,64,0,relu,none,adam,0.001,mse,10
001,003,base,025,28,7,35,006,002,32.799250749122905,16.422152957596722,003,1,64,0,relu,none,adam,0.001,mse,10
001,003,base,001,0,7,7,006,003,13.039153126233169,7.1429318057207976,003,2,16,16,relu,relu,adam,0.005,mse,10
001,003,base,002,0,7,14,006,003,12.390830566762721,7.63273656800459,003,2,32,8,relu,relu,adam,0.005,mse,10
001,003,base,003,0,7,21,006,003,9.873538172023444,7.243018236871477,003,2,16,32,relu,relu,adam,0.005,mse,50
001,003,base,004,0,7,28,006,003,8.955794689282685,7.273201005406122,003,2,32,16,relu,relu,adam,0.005,mse,50
001,003,base,005,0,7,35,006,003,9.078104607346178,8.44371706921982,003,2,32,32,relu,relu,adam,0.005,mse,25
001,003,base,006,7,7,7,006,003,20.134962691242027,11.26985207687137,003,1,32,0,relu,none,adam,5e-4,mse,50
001,003,base,007,7,7,14,006,003,22.945873293207054,10.958742651465078,003,1,16,0,relu,none,adam,5e-4,mse,10
001,003,base,008,7,7,21,006,003,22.821404565883224,10.525965733637987,003,1,16,0,relu,none,adam,5e-4,mse,10
001,003,base,009,7,7,28,006,003,21.84290839654876,10.440351935269481,003,1,16,0,relu,none,adam,5e-4,mse,10
001,003,base,010,7,7,35,006,003,20.744754359759916,10.417878782115633,003,1,16,0,relu,none,adam,5e-4,mse,10
001,003,base,011,14,7,7,006,003,27.73874284885585,11.430656453898106,003,1,16,0,relu,none,adam,5e-4,mse,10
001,003,base,012,14,7,14,006,003,27.87653024893621,10.090535607845377,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,003,base,013,14,7,21,006,003,28.707884354850066,10.351497940807297,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,003,base,014,14,7,28,006,003,28.265453524342828,9.037111149496752,003,1,16,0,relu,none,adam,5e-4,mse,10
001,003,base,015,14,7,35,006,003,27.627593688155635,9.007818051523005,003,1,16,0,relu,none,adam,5e-4,mse,10
001,003,base,016,21,7,7,006,003,32.5152970727723,10.796056825717367,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,003,base,017,21,7,14,006,003,32.07380974483494,10.873493563836501,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,003,base,018,21,7,21,006,003,31.56972695864015,10.096738430324512,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,003,base,019,21,7,28,006,003,31.72379147953695,9.801870084136384,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,003,base,020,21,7,35,006,003,31.047795994917823,9.704013758230982,003,1,16,0,relu,none,adam,5e-4,mse,10
001,003,base,021,28,7,7,006,003,33.79019327147663,12.205740545781346,003,1,16,0,relu,none,adam,5e-4,mse,10
001,003,base,022,28,7,14,006,003,34.72787456183877,11.482778543966441,003,1,16,0,relu,none,adam,5e-4,mse,10
001,003,base,023,28,7,21,006,003,34.26151206532436,11.0626977048545,003,1,16,0,relu,none,adam,5e-4,mse,10
