date_day,date_day_shift_k,y,type_model,number_xy,number_combination_features,name_data_set,number_grid_combinations_kNp_dates_train_test,number_combination_kNp,group_dates_train_test,number_dates_train_test,number_hyp_par_grid,k,N,p
2021-11-23,2021-11-23,55.288540261983876,nn,001,006,base,003,001,006,001,003,0,7,7
2021-11-24,2021-11-24,52.93360062092543,nn,001,006,base,003,001,006,001,003,0,7,7
2021-11-25,2021-11-25,49.92467102184892,nn,001,006,base,003,001,006,001,003,0,7,7
2021-11-26,2021-11-26,47.24862444996835,nn,001,006,base,003,001,006,001,003,0,7,7
2021-11-27,2021-11-27,51.44801825881005,nn,001,006,base,003,001,006,001,003,0,7,7
2021-11-28,2021-11-28,51.73740517348052,nn,001,006,base,003,001,006,001,003,0,7,7
2021-11-29,2021-11-29,48.50029706731439,nn,001,006,base,003,001,006,001,003,0,7,7
2021-11-30,2021-11-30,46.42855869308114,nn,001,006,base,003,001,006,001,003,0,7,7
2021-12-01,2021-12-01,56.408885359764106,nn,001,006,base,003,001,006,001,003,0,7,7
2021-12-02,2021-12-02,58.53747381418944,nn,001,006,base,003,001,006,001,003,0,7,7
2021-12-03,2021-12-03,60.83488043099642,nn,001,006,base,003,001,006,001,003,0,7,7
2021-12-04,2021-12-04,64.06938707083464,nn,001,006,base,003,001,006,001,003,0,7,7
2021-12-05,2021-12-05,63.43039554357529,nn,001,006,base,003,001,006,001,003,0,7,7
2021-12-06,2021-12-06,67.7405870437622,nn,001,006,base,003,001,006,001,003,0,7,7
2021-12-07,2021-12-07,67.17037624567747,nn,001,006,base,003,001,006,001,003,0,7,7
2021-12-08,2021-12-08,61.50802866816521,nn,001,006,base,003,001,006,001,003,0,7,7
2021-12-09,2021-12-09,58.98164293020964,nn,001,006,base,003,001,006,001,003,0,7,7
2021-12-10,2021-12-10,58.2455064997077,nn,001,006,base,003,001,006,001,003,0,7,7
2021-12-11,2021-12-11,55.01237918734551,nn,001,006,base,003,001,006,001,003,0,7,7
2021-12-12,2021-12-12,55.586488609015944,nn,001,006,base,003,001,006,001,003,0,7,7
2021-12-13,2021-12-13,61.091843794286255,nn,001,006,base,003,001,006,001,003,0,7,7
2021-12-14,2021-12-14,59.35560065209866,nn,001,006,base,003,001,006,001,003,0,7,7
2021-12-15,2021-12-15,58.947718708217145,nn,001,006,base,003,001,006,001,003,0,7,7
2021-12-16,2021-12-16,55.38354238718748,nn,001,006,base,003,001,006,001,003,0,7,7
2021-12-17,2021-12-17,59.966553142666825,nn,001,006,base,003,001,006,001,003,0,7,7
2021-12-18,2021-12-18,58.04106665104628,nn,001,006,base,003,001,006,001,003,0,7,7
2021-12-19,2021-12-19,58.342053675651556,nn,001,006,base,003,001,006,001,003,0,7,7
2021-12-20,2021-12-20,61.70016195476055,nn,001,006,base,003,001,006,001,003,0,7,7
2021-12-21,2021-12-21,56.12489484399558,nn,001,006,base,003,001,006,001,003,0,7,7
2021-12-22,2021-12-22,54.1320969209075,nn,001,006,base,003,001,006,001,003,0,7,7
2021-12-23,2021-12-23,52.64264449924231,nn,001,006,base,003,001,006,001,003,0,7,7
2021-12-24,2021-12-24,53.69522732049227,nn,001,006,base,003,001,006,001,003,0,7,7
2021-12-25,2021-12-25,47.85672524720431,nn,001,006,base,003,001,006,001,003,0,7,7
2021-12-26,2021-12-26,48.427330712974076,nn,001,006,base,003,001,006,001,003,0,7,7
2021-12-27,2021-12-27,49.20898970365525,nn,001,006,base,003,001,006,001,003,0,7,7
2021-12-28,2021-12-28,46.39531480073929,nn,001,006,base,003,001,006,001,003,0,7,7
2021-12-29,2021-12-29,47.30228884071112,nn,001,006,base,003,001,006,001,003,0,7,7
2021-12-30,2021-12-30,52.111101346462974,nn,001,006,base,003,001,006,001,003,0,7,7
2021-12-31,2021-12-31,49.91407037228346,nn,001,006,base,003,001,006,001,003,0,7,7
2022-01-01,2022-01-01,53.517602317035205,nn,001,006,base,003,001,006,001,003,0,7,7
2022-01-02,2022-01-02,57.87607295811177,nn,001,006,base,003,001,006,001,003,0,7,7
2022-01-03,2022-01-03,63.10544778704644,nn,001,006,base,003,001,006,001,003,0,7,7
2022-01-04,2022-01-04,61.159535200893885,nn,001,006,base,003,001,006,001,003,0,7,7
2022-01-05,2022-01-05,61.42927364557982,nn,001,006,base,003,001,006,001,003,0,7,7
2022-01-06,2022-01-06,65.83153057694436,nn,001,006,base,003,001,006,001,003,0,7,7
2022-01-07,2022-01-07,62.67136907875538,nn,001,006,base,003,001,006,001,003,0,7,7
2022-01-08,2022-01-08,64.78786872327328,nn,001,006,base,003,001,006,001,003,0,7,7
2022-01-09,2022-01-09,63.5969679504633,nn,001,006,base,003,001,006,001,003,0,7,7
2022-01-10,2022-01-10,59.60225520730019,nn,001,006,base,003,001,006,001,003,0,7,7
2022-01-11,2022-01-11,64.94753576368093,nn,001,006,base,003,001,006,001,003,0,7,7
2022-01-12,2022-01-12,71.06993159800768,nn,001,006,base,003,001,006,001,003,0,7,7
2022-01-13,2022-01-13,76.78956584036351,nn,001,006,base,003,001,006,001,003,0,7,7
2022-01-14,2022-01-14,80.17207549810409,nn,001,006,base,003,001,006,001,003,0,7,7
2022-01-15,2022-01-15,84.32146539092064,nn,001,006,base,003,001,006,001,003,0,7,7
2022-01-16,2022-01-16,84.57759871184825,nn,001,006,base,003,001,006,001,003,0,7,7
2022-01-17,2022-01-17,83.7073304951191,nn,001,006,base,003,001,006,001,003,0,7,7
2022-01-18,2022-01-18,80.09835729598998,nn,001,006,base,003,001,006,001,003,0,7,7
2022-01-19,2022-01-19,82.77088429033756,nn,001,006,base,003,001,006,001,003,0,7,7
2022-01-20,2022-01-20,92.3854297876358,nn,001,006,base,003,001,006,001,003,0,7,7
2022-01-21,2022-01-21,92.90024135112762,nn,001,006,base,003,001,006,001,003,0,7,7
2022-01-22,2022-01-22,99.26516598761081,nn,001,006,base,003,001,006,001,003,0,7,7
2022-01-23,2022-01-23,101.17377191185952,nn,001,006,base,003,001,006,001,003,0,7,7
2022-01-24,2022-01-24,104.94438471198082,nn,001,006,base,003,001,006,001,003,0,7,7
2022-01-25,2022-01-25,100.75053707957268,nn,001,006,base,003,001,006,001,003,0,7,7
2022-01-26,2022-01-26,101.71079626977443,nn,001,006,base,003,001,006,001,003,0,7,7
2022-01-27,2022-01-27,104.215994104743,nn,001,006,base,003,001,006,001,003,0,7,7
2022-01-28,2022-01-28,106.72954361438751,nn,001,006,base,003,001,006,001,003,0,7,7
2022-01-29,2022-01-29,103.17268746495247,nn,001,006,base,003,001,006,001,003,0,7,7
2022-01-30,2022-01-30,105.18111099600792,nn,001,006,base,003,001,006,001,003,0,7,7
2022-01-31,2022-01-31,107.77511800527573,nn,001,006,base,003,001,006,001,003,0,7,7
2022-02-01,2022-02-01,123.94251374006271,nn,001,006,base,003,001,006,001,003,0,7,7
2022-02-02,2022-02-02,120.08828117251396,nn,001,006,base,003,001,006,001,003,0,7,7
2022-02-03,2022-02-03,124.24567141532899,nn,001,006,base,003,001,006,001,003,0,7,7
2022-02-04,2022-02-04,127.7830950319767,nn,001,006,base,003,001,006,001,003,0,7,7
2022-02-05,2022-02-05,123.59074707627296,nn,001,006,base,003,001,006,001,003,0,7,7
2022-02-06,2022-02-06,122.74078127741814,nn,001,006,base,003,001,006,001,003,0,7,7
2022-02-07,2022-02-07,121.51101371049882,nn,001,006,base,003,001,006,001,003,0,7,7
2022-02-08,2022-02-08,124.26413631439209,nn,001,006,base,003,001,006,001,003,0,7,7
2022-02-09,2022-02-09,122.44752534031868,nn,001,006,base,003,001,006,001,003,0,7,7
2022-02-10,2022-02-10,133.76260197758674,nn,001,006,base,003,001,006,001,003,0,7,7
2022-02-11,2022-02-11,131.17294206023217,nn,001,006,base,003,001,006,001,003,0,7,7
2022-02-12,2022-02-12,125.91092463135719,nn,001,006,base,003,001,006,001,003,0,7,7
2022-02-13,2022-02-13,123.59855746030807,nn,001,006,base,003,001,006,001,003,0,7,7
2022-02-14,2022-02-14,117.26550734937192,nn,001,006,base,003,001,006,001,003,0,7,7
2022-02-15,2022-02-15,116.87147654294968,nn,001,006,base,003,001,006,001,003,0,7,7
2022-02-16,2022-02-16,113.73332421779632,nn,001,006,base,003,001,006,001,003,0,7,7
2022-02-17,2022-02-17,106.71217555701733,nn,001,006,base,003,001,006,001,003,0,7,7
2022-02-18,2022-02-18,107.02471321225167,nn,001,006,base,003,001,006,001,003,0,7,7
2022-02-19,2022-02-19,109.99917226433755,nn,001,006,base,003,001,006,001,003,0,7,7
2022-02-20,2022-02-20,104.09915215969086,nn,001,006,base,003,001,006,001,003,0,7,7
2022-02-21,2022-02-21,110.52204502224922,nn,001,006,base,003,001,006,001,003,0,7,7
2022-02-22,2022-02-22,119.35800257325172,nn,001,006,base,003,001,006,001,003,0,7,7
2022-02-23,2022-02-23,125.6814492046833,nn,001,006,base,003,001,006,001,003,0,7,7
2022-02-24,2022-02-24,123.54988970160484,nn,001,006,base,003,001,006,001,003,0,7,7
