number_xy,number_combination_features,name_data_set,number_combination_kNp,k,N,p,group_dates_train_test,number_dates_train_test,rmse_train,rmse_test,number_hyp_par_grid_nn,nlayers,nneurons_one,nneurons_two,act_function_one,act_function_two,optimizer,learning_rate,loss_function,nepochs
001,000,age,001,0,7,7,006,001,18.572234824816384,13.675150926776453,003,2,64,8,relu,relu,adam,5e-4,mse,10
001,000,age,002,0,7,14,006,001,14.471199663814314,14.5016160123283,003,2,64,32,relu,relu,adam,0.001,mse,10
001,000,age,003,0,7,21,006,001,13.975816186862462,14.710360545618508,003,2,32,32,relu,relu,adam,0.002,mse,10
001,000,age,004,0,7,28,006,001,13.355850282393758,14.670238158477611,003,2,16,32,relu,relu,adam,0.001,mse,25
001,000,age,005,0,7,35,006,001,14.545289225248593,14.450825719538194,003,2,16,32,relu,relu,adam,0.005,mse,10
001,000,age,006,7,7,7,006,001,27.142137882681304,17.064120806137634,003,2,16,8,relu,relu,adam,0.001,mse,10
001,000,age,007,7,7,14,006,001,21.60793421562291,16.977830741005636,003,2,16,32,relu,relu,adam,0.001,mse,25
001,000,age,008,7,7,21,006,001,19.070550245705174,16.202061987425513,003,2,16,32,relu,relu,adam,0.002,mse,25
001,000,age,009,7,7,28,006,001,21.36801381650341,16.47391257700948,003,2,16,32,relu,relu,adam,0.005,mse,10
001,000,age,010,7,7,35,006,001,19.14403336010794,16.540967662459664,003,2,32,32,relu,relu,adam,0.005,mse,10
001,000,age,011,14,7,7,006,001,27.588162891598305,18.055520918779884,003,1,16,0,relu,none,adam,0.005,mse,10
001,000,age,012,14,7,14,006,001,19.26705861852553,17.081027247183872,003,2,64,32,relu,relu,adam,5e-4,mse,50
001,000,age,013,14,7,21,006,001,24.45707573019209,17.13718706246524,003,2,32,16,relu,relu,adam,0.005,mse,10
001,000,age,014,14,7,28,006,001,22.668294988559243,17.522418851855342,003,2,64,32,relu,relu,adam,0.005,mse,10
001,000,age,015,14,7,35,006,001,23.276396448171983,18.109665368313298,003,2,64,32,relu,relu,adam,0.005,mse,10
001,000,age,016,21,7,7,006,001,29.04370587701749,18.372043338219072,003,1,64,0,relu,none,adam,0.005,mse,10
001,000,age,017,21,7,14,006,001,25.80672677419635,17.63006799606944,003,1,16,0,relu,none,adam,0.005,mse,25
001,000,age,018,21,7,21,006,001,27.31889404093836,18.85064362685349,003,2,64,16,relu,relu,adam,0.005,mse,10
001,000,age,019,21,7,28,006,001,24.85898945617925,20.328111036422726,003,1,16,0,relu,none,adam,0.005,mse,25
001,000,age,020,21,7,35,006,001,20.09885236225061,21.022850230313697,003,2,64,8,relu,relu,adam,0.005,mse,25
001,000,age,021,28,7,7,006,001,29.748197547603027,21.68167038399336,003,1,64,0,relu,none,adam,0.002,mse,25
001,000,age,022,28,7,14,006,001,29.60184819810591,21.350236427705617,003,1,32,0,relu,none,adam,0.002,mse,25
001,000,age,023,28,7,21,006,001,27.102325814060848,22.446699449246555,003,1,32,0,relu,none,adam,0.002,mse,25
001,000,age,024,28,7,28,006,001,19.81194779732944,22.862089926438994,003,1,16,0,relu,none,adam,0.005,mse,25
001,000,age,025,28,7,35,006,001,52.90278412124677,25.53349899397886,003,2,16,32,relu,relu,adam,5e-4,mse,10
001,000,age,001,0,7,7,006,002,14.735155988215517,10.99296932915614,003,2,64,16,relu,relu,adam,5e-4,mse,10
001,000,age,002,0,7,14,006,002,16.468586750688132,11.56700596904366,003,2,32,16,relu,relu,adam,5e-4,mse,10
001,000,age,003,0,7,21,006,002,16.07267214282179,12.208024040447679,003,2,32,16,relu,relu,adam,5e-4,mse,10
001,000,age,004,0,7,28,006,002,8.377974315842147,12.09776921948014,003,1,64,0,relu,none,adam,0.001,mse,50
001,000,age,005,0,7,35,006,002,15.566294900953004,12.722799411527983,003,2,32,32,relu,relu,adam,5e-4,mse,10
001,000,age,006,7,7,7,006,002,23.741656325963174,13.67434205134619,003,2,32,8,relu,relu,adam,5e-4,mse,10
001,000,age,007,7,7,14,006,002,24.757002990724025,13.970863341024044,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,000,age,008,7,7,21,006,002,24.807335600576348,14.527546895658212,003,2,16,16,relu,relu,adam,5e-4,mse,10
001,000,age,009,7,7,28,006,002,25.192062713283242,14.760377136734043,003,2,16,32,relu,relu,adam,5e-4,mse,10
001,000,age,010,7,7,35,006,002,18.801454478741235,14.827704260510817,003,2,32,32,relu,relu,adam,0.001,mse,10
001,000,age,011,14,7,7,006,002,29.731419376161348,15.154300333729083,003,1,16,0,relu,none,adam,5e-4,mse,10
001,000,age,012,14,7,14,006,002,31.10807657283502,15.660763285379558,003,2,16,8,relu,relu,adam,5e-4,mse,10
