number_xy,number_combination_features,name_data_set,number_combination_kNp,k,N,p,group_dates_train_test,number_dates_train_test,rmse_train,rmse_test,number_hyp_par_grid_nn,nlayers,nneurons_one,nneurons_two,act_function_one,act_function_two,optimizer,learning_rate,loss_function,nepochs
001,006,base,001,0,7,7,006,001,14.397539074803785,12.744096136434392,003,1,32,0,relu,none,adam,0.002,mse,25
001,006,base,002,0,7,14,006,001,12.08716724341547,13.200984360743188,003,1,64,0,relu,none,adam,5e-4,mse,50
001,006,base,003,0,7,21,006,001,14.599656502000165,13.324588351563504,003,1,64,0,relu,none,adam,0.002,mse,10
001,006,base,004,0,7,28,006,001,14.071529168740321,13.919478259928319,003,1,32,0,relu,none,adam,0.002,mse,25
001,006,base,005,0,7,35,006,001,13.500955635290481,13.157663389898063,003,1,64,0,relu,none,adam,0.005,mse,25
001,006,base,006,7,7,7,006,001,30.836035552770486,15.538731730944777,003,1,16,0,relu,none,adam,5e-4,mse,10
001,006,base,007,7,7,14,006,001,18.335512463245625,15.615296451876514,003,1,64,0,relu,none,adam,5e-4,mse,50
001,006,base,008,7,7,21,006,001,20.14981481347851,14.682139202181984,003,1,32,0,relu,none,adam,5e-4,mse,50
001,006,base,009,7,7,28,006,001,15.704486170769142,14.345152042470296,003,2,64,16,relu,relu,adam,0.005,mse,25
001,006,base,010,7,7,35,006,001,14.58782630603848,14.707676482391213,003,2,64,32,relu,relu,adam,0.001,mse,25
001,006,base,011,14,7,7,006,001,35.966881710868066,17.623184881973305,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,006,base,012,14,7,14,006,001,33.313462732999604,18.983419554830686,003,1,64,0,relu,none,adam,5e-4,mse,10
001,006,base,013,14,7,21,006,001,19.733676715539985,15.964086424773038,003,1,16,0,relu,none,adam,0.005,mse,50
001,006,base,014,14,7,28,006,001,16.90638334774172,15.815988208649644,003,2,64,16,relu,relu,adam,0.002,mse,25
001,006,base,015,14,7,35,006,001,19.420298435774505,17.259172928779833,003,2,16,32,relu,relu,adam,0.002,mse,25
001,006,base,016,21,7,7,006,001,39.18548918998455,18.09846596459465,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,006,base,017,21,7,14,006,001,27.794690676817975,18.137379132640458,003,1,16,0,relu,none,adam,0.002,mse,50
001,006,base,018,21,7,21,006,001,20.776013989337855,14.81539143270268,003,2,32,16,relu,relu,adam,0.005,mse,50
001,006,base,019,21,7,28,006,001,22.58750794117978,18.34626972347003,003,2,64,8,relu,relu,adam,0.001,mse,25
001,006,base,020,21,7,35,006,001,19.682954606407314,18.739522756602145,003,1,64,0,relu,none,adam,5e-4,mse,25
001,006,base,021,28,7,7,006,001,40.746102505531866,19.136254053426992,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,006,base,022,28,7,14,006,001,23.886039263263935,17.994818013517744,003,2,16,8,relu,relu,adam,0.005,mse,50
001,006,base,023,28,7,21,006,001,23.392066971749404,20.17509864656978,003,2,64,32,relu,relu,adam,0.001,mse,25
001,006,base,024,28,7,28,006,001,22.586719217892707,19.818229245586725,003,2,16,8,relu,relu,adam,0.002,mse,25
001,006,base,025,28,7,35,006,001,17.859579478685465,20.841528852923332,003,1,16,0,relu,none,adam,0.002,mse,25
001,006,base,001,0,7,7,006,002,14.396529126231725,10.80763244087855,003,1,32,0,relu,none,adam,0.002,mse,10
001,006,base,002,0,7,14,006,002,15.802325737077378,11.381719745571722,003,1,16,0,relu,none,adam,0.002,mse,10
001,006,base,003,0,7,21,006,002,13.595964006511599,11.977646569836613,003,1,32,0,relu,none,adam,0.005,mse,10
001,006,base,004,0,7,28,006,002,17.008109992604453,12.143781642571271,003,1,16,0,relu,none,adam,0.001,mse,10
001,006,base,005,0,7,35,006,002,13.729757141322468,12.408411198526132,003,1,32,0,relu,none,adam,0.005,mse,10
001,006,base,006,7,7,7,006,002,20.98551469144169,14.136985914332943,003,1,64,0,relu,none,adam,0.001,mse,10
001,006,base,007,7,7,14,006,002,20.409027902266022,14.16806294213828,003,1,64,0,relu,none,adam,0.001,mse,10
001,006,base,008,7,7,21,006,002,18.85405052346541,15.535146138993543,003,1,16,0,relu,none,adam,0.001,mse,25
001,006,base,009,7,7,28,006,002,19.156184530973484,16.392922947521708,003,1,16,0,relu,none,adam,0.005,mse,10
001,006,base,010,7,7,35,006,002,18.694185543953076,15.928619868995757,003,1,16,0,relu,none,adam,5e-4,mse,25
001,006,base,011,14,7,7,006,002,27.35201056339552,16.532319852031808,003,1,64,0,relu,none,adam,5e-4,mse,10
001,006,base,012,14,7,14,006,002,27.181787597733592,17.325553298925556,003,2,32,16,relu,relu,adam,0.001,mse,10
001,006,base,013,14,7,21,006,002,23.689727169487497,19.311076883234595,003,2,16,16,relu,relu,adam,0.005,mse,10
001,006,base,014,14,7,28,006,002,19.984188207497112,18.806930831854828,003,1,64,0,relu,none,adam,0.001,mse,10
001,006,base,015,14,7,35,006,002,20.08244968418303,18.454209473742388,003,1,32,0,relu,none,adam,0.005,mse,10
001,006,base,016,21,7,7,006,002,35.25857223093971,20.12293356654882,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,006,base,017,21,7,14,006,002,30.644727929113856,21.396077487187576,003,2,64,8,relu,relu,adam,5e-4,mse,10
001,006,base,018,21,7,21,006,002,29.08167931030153,21.685354977969304,003,1,16,0,relu,none,adam,0.001,mse,10
001,006,base,019,21,7,28,006,002,23.162261661728675,21.507350913885993,003,1,64,0,relu,none,adam,5e-4,mse,10
001,006,base,020,21,7,35,006,002,9.478794125728273,20.2752865174735,003,1,16,0,relu,none,adam,0.005,mse,50
001,006,base,021,28,7,7,006,002,34.952373518691815,23.091339660306367,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,006,base,022,28,7,14,006,002,33.0893419716974,22.954314231224693,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,006,base,023,28,7,21,006,002,23.8638884220491,21.77039736579082,003,2,16,8,relu,relu,adam,0.005,mse,10
001,006,base,024,28,7,28,006,002,11.042758766028001,20.252560299891055,003,1,64,0,relu,none,adam,5e-4,mse,50
001,006,base,025,28,7,35,006,002,10.672002644630654,22.888166323293728,003,1,16,0,relu,none,adam,0.005,mse,50
001,006,base,001,0,7,7,006,003,10.700174122359181,6.326943252978593,003,2,64,8,relu,relu,adam,0.002,mse,25
001,006,base,002,0,7,14,006,003,9.56325941951109,6.546277380168428,003,2,64,16,relu,relu,adam,0.005,mse,25
001,006,base,003,0,7,21,006,003,10.454866423836663,8.253920340176222,003,2,64,16,relu,relu,adam,0.002,mse,25
001,006,base,004,0,7,28,006,003,14.648249033783934,10.280773607484583,003,1,32,0,relu,none,adam,5e-4,mse,10
001,006,base,005,0,7,35,006,003,14.573013607357657,11.906727263955855,003,1,32,0,relu,none,adam,5e-4,mse,10
001,006,base,006,7,7,7,006,003,17.01077902178066,7.785211266317579,003,1,64,0,relu,none,adam,0.005,mse,10
001,006,base,007,7,7,14,006,003,18.060803814415397,9.914139147006088,003,2,16,16,relu,relu,adam,0.005,mse,10
001,006,base,008,7,7,21,006,003,18.170731794627056,12.73568269360085,003,2,32,32,relu,relu,adam,0.001,mse,10
001,006,base,009,7,7,28,006,003,21.437920031838203,14.83514706750823,003,2,16,16,relu,relu,adam,5e-4,mse,10
001,006,base,010,7,7,35,006,003,18.96182594689698,15.41530806045678,003,2,32,8,relu,relu,adam,5e-4,mse,10
001,006,base,011,14,7,7,006,003,22.733892872932962,11.910422210768655,003,1,64,0,relu,none,adam,0.001,mse,10
001,006,base,012,14,7,14,006,003,22.798886237739413,14.028996899028428,003,2,64,16,relu,relu,adam,5e-4,mse,10
001,006,base,013,14,7,21,006,003,24.50239866614778,14.614022368904438,003,1,16,0,relu,none,adam,5e-4,mse,10
001,006,base,014,14,7,28,006,003,21.897746908801718,17.225837478177915,003,2,32,16,relu,relu,adam,5e-4,mse,10
001,006,base,015,14,7,35,006,003,20.015601044160636,18.235876090799497,003,2,16,8,relu,relu,adam,0.001,mse,10
001,006,base,016,21,7,7,006,003,27.04121302165107,14.98499113373482,003,2,64,8,relu,relu,adam,5e-4,mse,10
001,006,base,017,21,7,14,006,003,27.193996468508093,15.387002515747705,003,1,16,0,relu,none,adam,5e-4,mse,10
001,006,base,018,21,7,21,006,003,25.407964586037355,18.30578359079682,003,1,16,0,relu,none,adam,5e-4,mse,10
001,006,base,019,21,7,28,006,003,23.73956492300886,17.973497082145172,003,1,16,0,relu,none,adam,5e-4,mse,10
001,006,base,020,21,7,35,006,003,22.61580177821849,19.944058518864907,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,006,base,021,28,7,7,006,003,27.603818951986618,17.18692285453874,003,1,16,0,relu,none,adam,5e-4,mse,25
001,006,base,022,28,7,14,006,003,26.668133267430456,18.668530908029354,003,1,32,0,relu,none,adam,5e-4,mse,10
001,006,base,023,28,7,21,006,003,23.135077254432208,19.6614795987168,003,1,16,0,relu,none,adam,0.001,mse,10
001,006,base,024,28,7,28,006,003,20.71993536335764,21.145144370558537,003,1,32,0,relu,none,adam,5e-4,mse,10
001,006,base,025,28,7,35,006,003,18.091528775897597,23.51321915281342,003,2,16,32,relu,relu,adam,0.001,mse,10
