date_day,date_day_shift_k,y,type_model,number_xy,number_combination_features,name_data_set,number_grid_combinations_kNp_dates_train_test,number_combination_kNp,group_dates_train_test,number_dates_train_test,number_hyp_par_grid,k,N,p
2021-11-23,2021-11-23,58.13143725395203,nn,001,010,base,003,001,006,001,003,0,7,7
2021-11-24,2021-11-24,57.05399440899492,nn,001,010,base,003,001,006,001,003,0,7,7
2021-11-25,2021-11-25,54.533363697677856,nn,001,010,base,003,001,006,001,003,0,7,7
2021-11-26,2021-11-26,54.36726099848748,nn,001,010,base,003,001,006,001,003,0,7,7
2021-11-27,2021-11-27,50.96168752387167,nn,001,010,base,003,001,006,001,003,0,7,7
2021-11-28,2021-11-28,50.147003894671805,nn,001,010,base,003,001,006,001,003,0,7,7
2021-11-29,2021-11-29,50.150781726092106,nn,001,010,base,003,001,006,001,003,0,7,7
2021-11-30,2021-11-30,46.35369265750051,nn,001,010,base,003,001,006,001,003,0,7,7
2021-12-01,2021-12-01,53.2852632701397,nn,001,010,base,003,001,006,001,003,0,7,7
2021-12-02,2021-12-02,57.762083613872534,nn,001,010,base,003,001,006,001,003,0,7,7
2021-12-03,2021-12-03,63.46337784379721,nn,001,010,base,003,001,006,001,003,0,7,7
2021-12-04,2021-12-04,60.76209045201541,nn,001,010,base,003,001,006,001,003,0,7,7
2021-12-05,2021-12-05,68.80979802310468,nn,001,010,base,003,001,006,001,003,0,7,7
2021-12-06,2021-12-06,66.0745786741376,nn,001,010,base,003,001,006,001,003,0,7,7
2021-12-07,2021-12-07,65.51839873790742,nn,001,010,base,003,001,006,001,003,0,7,7
2021-12-08,2021-12-08,67.4634951531887,nn,001,010,base,003,001,006,001,003,0,7,7
2021-12-09,2021-12-09,64.43535165935755,nn,001,010,base,003,001,006,001,003,0,7,7
2021-12-10,2021-12-10,63.638051892817025,nn,001,010,base,003,001,006,001,003,0,7,7
2021-12-11,2021-12-11,56.81723565012217,nn,001,010,base,003,001,006,001,003,0,7,7
2021-12-12,2021-12-12,57.952537715435035,nn,001,010,base,003,001,006,001,003,0,7,7
2021-12-13,2021-12-13,54.82712477743626,nn,001,010,base,003,001,006,001,003,0,7,7
2021-12-14,2021-12-14,52.67475849166513,nn,001,010,base,003,001,006,001,003,0,7,7
2021-12-15,2021-12-15,50.15948193818331,nn,001,010,base,003,001,006,001,003,0,7,7
2021-12-16,2021-12-16,48.50766508691013,nn,001,010,base,003,001,006,001,003,0,7,7
2021-12-17,2021-12-17,48.710735514760025,nn,001,010,base,003,001,006,001,003,0,7,7
2021-12-18,2021-12-18,51.652344845235355,nn,001,010,base,003,001,006,001,003,0,7,7
2021-12-19,2021-12-19,53.81238355636597,nn,001,010,base,003,001,006,001,003,0,7,7
2021-12-20,2021-12-20,54.36697864234448,nn,001,010,base,003,001,006,001,003,0,7,7
2021-12-21,2021-12-21,52.542513573914775,nn,001,010,base,003,001,006,001,003,0,7,7
2021-12-22,2021-12-22,56.60694410651923,nn,001,010,base,003,001,006,001,003,0,7,7
2021-12-23,2021-12-23,55.02555092424155,nn,001,010,base,003,001,006,001,003,0,7,7
2021-12-24,2021-12-24,58.04071848094464,nn,001,010,base,003,001,006,001,003,0,7,7
2021-12-25,2021-12-25,52.40663538426161,nn,001,010,base,003,001,006,001,003,0,7,7
2021-12-26,2021-12-26,51.99753501787782,nn,001,010,base,003,001,006,001,003,0,7,7
2021-12-27,2021-12-27,54.82038679793477,nn,001,010,base,003,001,006,001,003,0,7,7
2021-12-28,2021-12-28,54.217225823365155,nn,001,010,base,003,001,006,001,003,0,7,7
2021-12-29,2021-12-29,52.41778209954501,nn,001,010,base,003,001,006,001,003,0,7,7
2021-12-30,2021-12-30,56.23683989346028,nn,001,010,base,003,001,006,001,003,0,7,7
2021-12-31,2021-12-31,54.49145742654801,nn,001,010,base,003,001,006,001,003,0,7,7
2022-01-01,2022-01-01,57.69659794988111,nn,001,010,base,003,001,006,001,003,0,7,7
2022-01-02,2022-01-02,60.10786359831691,nn,001,010,base,003,001,006,001,003,0,7,7
2022-01-03,2022-01-03,62.871776299178606,nn,001,010,base,003,001,006,001,003,0,7,7
2022-01-04,2022-01-04,62.12999245412648,nn,001,010,base,003,001,006,001,003,0,7,7
2022-01-05,2022-01-05,58.54946595579386,nn,001,010,base,003,001,006,001,003,0,7,7
2022-01-06,2022-01-06,61.25275900959969,nn,001,010,base,003,001,006,001,003,0,7,7
2022-01-07,2022-01-07,64.5822564959526,nn,001,010,base,003,001,006,001,003,0,7,7
2022-01-08,2022-01-08,72.09251302033663,nn,001,010,base,003,001,006,001,003,0,7,7
2022-01-09,2022-01-09,66.94831681624055,nn,001,010,base,003,001,006,001,003,0,7,7
2022-01-10,2022-01-10,65.0637613132596,nn,001,010,base,003,001,006,001,003,0,7,7
2022-01-11,2022-01-11,71.50575651526451,nn,001,010,base,003,001,006,001,003,0,7,7
2022-01-12,2022-01-12,79.15398852527142,nn,001,010,base,003,001,006,001,003,0,7,7
2022-01-13,2022-01-13,82.45395849049092,nn,001,010,base,003,001,006,001,003,0,7,7
2022-01-14,2022-01-14,88.10095421671868,nn,001,010,base,003,001,006,001,003,0,7,7
2022-01-15,2022-01-15,87.87658730149269,nn,001,010,base,003,001,006,001,003,0,7,7
2022-01-16,2022-01-16,88.51455791294575,nn,001,010,base,003,001,006,001,003,0,7,7
2022-01-17,2022-01-17,83.3478689134121,nn,001,010,base,003,001,006,001,003,0,7,7
2022-01-18,2022-01-18,81.0540524199605,nn,001,010,base,003,001,006,001,003,0,7,7
2022-01-19,2022-01-19,78.18157436549663,nn,001,010,base,003,001,006,001,003,0,7,7
2022-01-20,2022-01-20,83.28180232942104,nn,001,010,base,003,001,006,001,003,0,7,7
2022-01-21,2022-01-21,93.14600432813168,nn,001,010,base,003,001,006,001,003,0,7,7
2022-01-22,2022-01-22,99.31281045377254,nn,001,010,base,003,001,006,001,003,0,7,7
2022-01-23,2022-01-23,98.82863232791424,nn,001,010,base,003,001,006,001,003,0,7,7
2022-01-24,2022-01-24,99.25057015419006,nn,001,010,base,003,001,006,001,003,0,7,7
2022-01-25,2022-01-25,103.07209201753139,nn,001,010,base,003,001,006,001,003,0,7,7
2022-01-26,2022-01-26,105.9358786970377,nn,001,010,base,003,001,006,001,003,0,7,7
2022-01-27,2022-01-27,105.8276953279972,nn,001,010,base,003,001,006,001,003,0,7,7
2022-01-28,2022-01-28,109.64267295897007,nn,001,010,base,003,001,006,001,003,0,7,7
2022-01-29,2022-01-29,104.76550920009613,nn,001,010,base,003,001,006,001,003,0,7,7
2022-01-30,2022-01-30,107.44687436521053,nn,001,010,base,003,001,006,001,003,0,7,7
2022-01-31,2022-01-31,110.78243390917778,nn,001,010,base,003,001,006,001,003,0,7,7
2022-02-01,2022-02-01,119.52842589616776,nn,001,010,base,003,001,006,001,003,0,7,7
2022-02-02,2022-02-02,116.75607472658157,nn,001,010,base,003,001,006,001,003,0,7,7
2022-02-03,2022-02-03,119.26719599068164,nn,001,010,base,003,001,006,001,003,0,7,7
2022-02-04,2022-02-04,121.50940651893616,nn,001,010,base,003,001,006,001,003,0,7,7
2022-02-05,2022-02-05,123.78578058481216,nn,001,010,base,003,001,006,001,003,0,7,7
2022-02-06,2022-02-06,116.07529081702232,nn,001,010,base,003,001,006,001,003,0,7,7
2022-02-07,2022-02-07,115.0271014124155,nn,001,010,base,003,001,006,001,003,0,7,7
2022-02-08,2022-02-08,115.00470452904702,nn,001,010,base,003,001,006,001,003,0,7,7
