number_xy,number_combination_features,name_data_set,number_combination_kNp,k,N,p,group_dates_train_test,number_dates_train_test,rmse_train,rmse_test,number_hyp_par_grid_xgb,nrounds,eta,gamma,max_depth,min_child_weight,max_delta_step,subsample,colsample_bytree,colsample_bylevel,colsample_bynode,lambda,alpha
001,000,age,001,0,7,7,006,001,17.86430765406827,14.412372100437986,006,50,0.1,0,3,1,20,1,1,1,1,1,0
001,000,age,002,0,7,14,006,001,11.319061693888207,14.223352499408568,006,25,0.1,0,3,1,0,1,1,1,1,1,0
001,000,age,003,0,7,21,006,001,10.985638621088757,13.314158559424984,006,25,0.1,0,3,1,0,1,1,1,1,1,0
001,000,age,004,0,7,28,006,001,10.59444017173532,14.200901112719553,006,25,0.1,0,3,1,0,1,1,1,1,1,0
001,000,age,005,0,7,35,006,001,3.850598819092693,14.626169051082774,006,25,0.3,0,3,1,25,1,1,1,1,1,0
001,000,age,006,7,7,7,006,001,20.73112517261988,19.49874631409378,006,50,0.1,0,3,1,20,1,1,1,1,1,0
001,000,age,007,7,7,14,006,001,14.77007946077197,19.28391328087767,006,25,0.1,0,3,1,0,1,1,1,1,1,0
001,000,age,008,7,7,21,006,001,18.463863359512658,19.60613020433286,006,50,0.1,0,4,1,20,1,1,1,1,1,0
001,000,age,009,7,7,28,006,001,33.534127221783486,19.487180629551062,006,50,0.1,0,3,1,15,1,1,1,1,1,0
001,000,age,010,7,7,35,006,001,42.40360841869543,18.982678734579093,006,25,0.1,0,3,1,25,1,1,1,1,1,0
001,000,age,011,14,7,7,006,001,58.91212299089312,20.289481104214097,006,10,0.7,0,3,1,5,1,1,1,1,1,0
001,000,age,012,14,7,14,006,001,59.88778505629421,22.928699700978896,006,10,0.7,0,3,1,5,1,1,1,1,1,0
001,000,age,013,14,7,21,006,001,53.62100474005086,24.364057264752436,006,10,0.3,0,3,1,15,1,1,1,1,1,0
001,000,age,014,14,7,28,006,001,42.783253508490056,21.86736459781335,006,25,0.1,0,3,1,25,1,1,1,1,1,0
001,000,age,015,14,7,35,006,001,45.420207180200414,17.1422450119121,006,10,0.3,0,3,1,20,1,1,1,1,1,0
001,000,age,016,21,7,7,006,001,58.12917647400728,21.021666903191857,006,25,0.3,0,3,1,5,1,1,1,1,1,0
001,000,age,017,21,7,14,006,001,59.16814278563729,22.90606705338792,006,25,0.3,0,3,1,5,1,1,1,1,1,0
001,000,age,018,21,7,21,006,001,55.29007804920614,22.701307374109582,006,10,0.3,0,3,1,15,1,1,1,1,1,0
001,000,age,019,21,7,28,006,001,39.24540436606205,19.79883921809899,006,10,0.1,0,3,1,0,1,1,1,1,1,0
001,000,age,020,21,7,35,006,001,44.43120348364432,17.403541782304277,006,25,0.1,0,3,1,25,1,1,1,1,1,0
001,000,age,021,28,7,7,006,001,54.33906503889002,17.387214192943745,006,10,0.3,0,3,1,15,1,1,1,1,1,0
001,000,age,022,28,7,14,006,001,55.54629503565107,17.387214192943745,006,10,0.3,0,3,1,15,1,1,1,1,1,0
001,000,age,023,28,7,21,006,001,52.670478599635985,15.520793457685425,006,25,0.1,0,4,1,20,1,1,1,1,1,0
001,000,age,024,28,7,28,006,001,53.52358827779453,15.003376700393327,006,25,0.1,0,3,1,20,1,1,1,1,1,0
001,000,age,025,28,7,35,006,001,54.43283136263538,17.34169192429632,006,25,0.1,0,3,1,20,1,1,1,1,1,0
001,000,age,001,0,7,7,006,002,15.911092781667294,11.170896021161019,006,50,0.1,0,3,1,20,1,1,1,1,1,0
001,000,age,002,0,7,14,006,002,26.17445971186841,11.043991830950574,006,50,0.1,0,3,1,15,1,1,1,1,1,0
001,000,age,003,0,7,21,006,002,26.304057334445353,10.594161121401502,006,50,0.1,0,3,1,15,1,1,1,1,1,0
001,000,age,004,0,7,28,006,002,26.500593083144373,10.70964441151205,006,50,0.1,0,3,1,15,1,1,1,1,1,0
001,000,age,005,0,7,35,006,002,26.746204998238653,10.689064074683957,006,50,0.1,0,3,1,15,1,1,1,1,1,0
001,000,age,006,7,7,7,006,002,15.049862776618982,14.50221375760343,006,50,0.1,0,3,1,25,1,1,1,1,1,0
001,000,age,007,7,7,14,006,002,34.8092139770863,14.353464214709904,006,10,0.3,0,3,1,20,1,1,1,1,1,0
001,000,age,008,7,7,21,006,002,34.30769153841643,13.692026468449981,006,10,0.3,0,5,1,20,1,1,1,1,1,0
001,000,age,009,7,7,28,006,002,34.668517984992775,13.932701814594495,006,10,0.3,0,5,1,20,1,1,1,1,1,0
001,000,age,010,7,7,35,006,002,35.82087275074071,13.50026690314157,006,10,0.3,0,3,1,20,1,1,1,1,1,0
001,000,age,011,14,7,7,006,002,35.58908266608782,15.895877203064487,006,10,0.3,0,3,1,20,1,1,1,1,1,0
001,000,age,012,14,7,14,006,002,33.98481335956426,15.92411123759628,006,25,0.1,0,4,1,25,1,1,1,1,1,0
001,000,age,013,14,7,21,006,002,33.88942152568971,15.613741751485524,006,25,0.5,0,4,1,5,1,1,1,1,1,0
001,000,age,014,14,7,28,006,002,27.245687616177186,14.795822190132249,006,150,0.1,0,5,1,5,1,1,1,1,1,0
001,000,age,015,14,7,35,006,002,27.986735412009192,14.877550591504052,006,150,0.1,0,4,1,5,1,1,1,1,1,0
001,000,age,016,21,7,7,006,002,43.748058472608534,16.928652405140895,006,10,0.3,0,3,1,15,1,1,1,1,1,0
001,000,age,017,21,7,14,006,002,41.02499650257548,16.66448849504589,006,50,0.1,0,4,1,10,1,1,1,1,1,0
001,000,age,018,21,7,21,006,002,41.008145466542935,16.13098180122648,006,25,0.1,0,8,1,20,1,1,1,1,1,0
001,000,age,019,21,7,28,006,002,42.00705315574092,16.375072450544348,006,50,0.1,0,4,1,10,1,1,1,1,1,0
001,000,age,020,21,7,35,006,002,42.37940754473051,15.562863369692415,006,25,0.1,0,4,1,20,1,1,1,1,1,0
001,000,age,021,28,7,7,006,002,44.27279888604533,18.306482840078502,006,10,0.3,0,4,1,15,1,1,1,1,1,0
001,000,age,022,28,7,14,006,002,42.144901471321916,18.128645971835823,006,25,0.1,0,3,1,20,1,1,1,1,1,0
001,000,age,023,28,7,21,006,002,42.03733853410552,17.66904074751517,006,25,0.1,0,4,1,20,1,1,1,1,1,0
001,000,age,024,28,7,28,006,002,42.54931565783949,17.005801787589487,006,25,0.1,0,4,1,20,1,1,1,1,1,0
001,000,age,025,28,7,35,006,002,42.62465142731439,16.283147948924416,006,25,0.1,0,4,1,20,1,1,1,1,1,0
001,000,age,001,0,7,7,006,003,8.939172965683248,5.989770042962074,006,25,0.1,0,5,1,0,1,1,1,1,1,0
001,000,age,002,0,7,14,006,003,7.547313635251612,6.0789873692450245,006,25,0.1,0,6,1,0,1,1,1,1,1,0
001,000,age,003,0,7,21,006,003,38.97310968243028,6.2517481215910475,006,25,0.1,0,8,1,15,1,1,1,1,1,0
001,000,age,004,0,7,28,006,003,47.38117513195393,6.2239683621585575,006,25,0.1,0,4,1,10,1,1,1,1,1,0
001,000,age,005,0,7,35,006,003,47.61212926694444,6.298016403947602,006,25,0.1,0,5,1,10,1,1,1,1,1,0
001,000,age,006,7,7,7,006,003,29.283203610941,5.62184974848381,006,10,0.1,0,3,1,0,1,1,1,1,1,0
001,000,age,007,7,7,14,006,003,29.047906245356106,5.732572355548917,006,10,0.1,0,3,1,0,1,1,1,1,1,0
001,000,age,008,7,7,21,006,003,29.08000636743345,5.755421097138754,006,10,0.1,0,3,1,0,1,1,1,1,1,0
001,000,age,009,7,7,28,006,003,29.180389310303084,5.651830764498041,006,10,0.1,0,3,1,0,1,1,1,1,1,0
001,000,age,010,7,7,35,006,003,27.54700736023644,5.519701483402051,006,10,0.1,0,5,1,0,1,1,1,1,1,0
001,000,age,011,14,7,7,006,003,47.230251429820584,6.19603462469526,006,50,0.1,0,3,1,5,1,1,1,1,1,0
001,000,age,012,14,7,14,006,003,47.43110367638092,6.19603462469526,006,50,0.1,0,3,1,5,1,1,1,1,1,0
001,000,age,013,14,7,21,006,003,47.6656139400063,6.19603462469526,006,50,0.1,0,3,1,5,1,1,1,1,1,0
001,000,age,014,14,7,28,006,003,48.02894744474127,6.19603462469526,006,50,0.1,0,3,1,5,1,1,1,1,1,0
001,000,age,015,14,7,35,006,003,48.339211646429696,5.556221315327904,006,10,0.1,0,3,1,25,1,1,1,1,1,0
001,000,age,016,21,7,7,006,003,47.43110367638092,5.6813879478596165,006,50,0.1,0,3,1,5,1,1,1,1,1,0
001,000,age,017,21,7,14,006,003,47.703640881063016,5.538974625967491,006,10,0.1,0,8,1,25,1,1,1,1,1,0
001,000,age,018,21,7,21,006,003,48.02894744474127,5.6813879478596165,006,50,0.1,0,3,1,5,1,1,1,1,1,0
001,000,age,019,21,7,28,006,003,48.35088477273974,5.663216111376343,006,10,0.1,0,7,1,25,1,1,1,1,1,0
001,000,age,020,21,7,35,006,003,48.58793444690558,5.663216111376343,006,10,0.1,0,7,1,25,1,1,1,1,1,0
001,000,age,021,28,7,7,006,003,47.6656139400063,5.720915419706589,006,50,0.1,0,3,1,5,1,1,1,1,1,0
001,000,age,022,28,7,14,006,003,48.02894744474127,5.720915419706589,006,50,0.1,0,3,1,5,1,1,1,1,1,0
001,000,age,023,28,7,21,006,003,48.27778276390833,5.720915419706589,006,50,0.1,0,3,1,5,1,1,1,1,1,0
001,000,age,024,28,7,28,006,003,48.49161787485325,5.720915419706589,006,50,0.1,0,3,1,5,1,1,1,1,1,0
001,000,age,025,28,7,35,006,003,48.26539985743506,5.720915419706589,006,50,0.1,0,3,1,5,1,1,1,1,1,0
001,000,age,001,0,7,7,006,004,43.668981398632724,6.907083427532595,006,10,0.1,0,4,1,25,1,1,1,1,1,0
001,000,age,002,0,7,14,006,004,43.89324548264797,6.9705016395924835,006,10,0.1,0,4,1,25,1,1,1,1,1,0
001,000,age,003,0,7,21,006,004,43.81978680540765,7.0627366827179605,006,10,0.1,0,5,1,25,1,1,1,1,1,0
001,000,age,004,0,7,28,006,004,43.98322087117768,7.071639679031372,006,10,0.1,0,4,1,25,1,1,1,1,1,0
001,000,age,005,0,7,35,006,004,47.302585164514284,7.134331808164135,006,10,0.1,0,3,1,20,1,1,1,1,1,0
001,000,age,006,7,7,7,006,004,26.714817442078257,8.472814117539171,006,10,0.1,0,4,1,0,1,1,1,1,1,0
001,000,age,007,7,7,14,006,004,26.365219868942678,8.708710654206667,006,10,0.1,0,4,1,0,1,1,1,1,1,0
