date_day,date_day_shift_k,y,type_model,number_xy,number_combination_features,name_data_set,number_grid_combinations_kNp_dates_train_test,number_combination_kNp,group_dates_train_test,number_dates_train_test,number_hyp_par_grid,k,N,p
2021-11-23,2021-11-23,45.79463195800781,xgb,001,000,age,003,001,006,001,006,0,7,7
2021-11-24,2021-11-24,40.46623992919922,xgb,001,000,age,003,001,006,001,006,0,7,7
2021-11-25,2021-11-25,44.258201599121094,xgb,001,000,age,003,001,006,001,006,0,7,7
2021-11-26,2021-11-26,48.56751251220703,xgb,001,000,age,003,001,006,001,006,0,7,7
2021-11-27,2021-11-27,49.28721237182617,xgb,001,000,age,003,001,006,001,006,0,7,7
2021-11-28,2021-11-28,44.60758972167969,xgb,001,000,age,003,001,006,001,006,0,7,7
2021-11-29,2021-11-29,52.720497131347656,xgb,001,000,age,003,001,006,001,006,0,7,7
2021-11-30,2021-11-30,53.3851318359375,xgb,001,000,age,003,001,006,001,006,0,7,7
2021-12-01,2021-12-01,60.11227035522461,xgb,001,000,age,003,001,006,001,006,0,7,7
2021-12-02,2021-12-02,59.62791061401367,xgb,001,000,age,003,001,006,001,006,0,7,7
2021-12-03,2021-12-03,66.23088073730469,xgb,001,000,age,003,001,006,001,006,0,7,7
2021-12-04,2021-12-04,65.20928192138672,xgb,001,000,age,003,001,006,001,006,0,7,7
2021-12-05,2021-12-05,64.28227996826172,xgb,001,000,age,003,001,006,001,006,0,7,7
2021-12-06,2021-12-06,65.89640808105469,xgb,001,000,age,003,001,006,001,006,0,7,7
2021-12-07,2021-12-07,68.858673095703125,xgb,001,000,age,003,001,006,001,006,0,7,7
2021-12-08,2021-12-08,65.8382797241211,xgb,001,000,age,003,001,006,001,006,0,7,7
2021-12-09,2021-12-09,71.01203155517578,xgb,001,000,age,003,001,006,001,006,0,7,7
2021-12-10,2021-12-10,62.561607360839844,xgb,001,000,age,003,001,006,001,006,0,7,7
2021-12-11,2021-12-11,66.91861724853516,xgb,001,000,age,003,001,006,001,006,0,7,7
2021-12-12,2021-12-12,63.070064544677734,xgb,001,000,age,003,001,006,001,006,0,7,7
2021-12-13,2021-12-13,62.57865905761719,xgb,001,000,age,003,001,006,001,006,0,7,7
2021-12-14,2021-12-14,60.61863327026367,xgb,001,000,age,003,001,006,001,006,0,7,7
2021-12-15,2021-12-15,61.08924865722656,xgb,001,000,age,003,001,006,001,006,0,7,7
2021-12-16,2021-12-16,61.09663009643555,xgb,001,000,age,003,001,006,001,006,0,7,7
2021-12-17,2021-12-17,61.3620719909668,xgb,001,000,age,003,001,006,001,006,0,7,7
2021-12-18,2021-12-18,52.40244674682617,xgb,001,000,age,003,001,006,001,006,0,7,7
2021-12-19,2021-12-19,48.76006317138672,xgb,001,000,age,003,001,006,001,006,0,7,7
2021-12-20,2021-12-20,52.401309967041016,xgb,001,000,age,003,001,006,001,006,0,7,7
2021-12-21,2021-12-21,55.087947845458984,xgb,001,000,age,003,001,006,001,006,0,7,7
2021-12-22,2021-12-22,58.94710159301758,xgb,001,000,age,003,001,006,001,006,0,7,7
2021-12-23,2021-12-23,57.325897216796875,xgb,001,000,age,003,001,006,001,006,0,7,7
2021-12-24,2021-12-24,52.058021545410156,xgb,001,000,age,003,001,006,001,006,0,7,7
2021-12-25,2021-12-25,47.63526916503906,xgb,001,000,age,003,001,006,001,006,0,7,7
2021-12-26,2021-12-26,51.741756439208984,xgb,001,000,age,003,001,006,001,006,0,7,7
2021-12-27,2021-12-27,49.187843322753906,xgb,001,000,age,003,001,006,001,006,0,7,7
2021-12-28,2021-12-28,45.08302688598633,xgb,001,000,age,003,001,006,001,006,0,7,7
2021-12-29,2021-12-29,45.25583267211914,xgb,001,000,age,003,001,006,001,006,0,7,7
2021-12-30,2021-12-30,53.90557861328125,xgb,001,000,age,003,001,006,001,006,0,7,7
2021-12-31,2021-12-31,52.83416748046875,xgb,001,000,age,003,001,006,001,006,0,7,7
2022-01-01,2022-01-01,51.22654724121094,xgb,001,000,age,003,001,006,001,006,0,7,7
2022-01-02,2022-01-02,49.7216682434082,xgb,001,000,age,003,001,006,001,006,0,7,7
2022-01-03,2022-01-03,51.62697219848633,xgb,001,000,age,003,001,006,001,006,0,7,7
2022-01-04,2022-01-04,53.21452331542969,xgb,001,000,age,003,001,006,001,006,0,7,7
2022-01-05,2022-01-05,49.64261245727539,xgb,001,000,age,003,001,006,001,006,0,7,7
2022-01-06,2022-01-06,57.15660858154297,xgb,001,000,age,003,001,006,001,006,0,7,7
2022-01-07,2022-01-07,55.30516052246094,xgb,001,000,age,003,001,006,001,006,0,7,7
2022-01-08,2022-01-08,54.5830078125,xgb,001,000,age,003,001,006,001,006,0,7,7
2022-01-09,2022-01-09,55.9000244140625,xgb,001,000,age,003,001,006,001,006,0,7,7
2022-01-10,2022-01-10,58.61644744873047,xgb,001,000,age,003,001,006,001,006,0,7,7
2022-01-11,2022-01-11,60.680580139160156,xgb,001,000,age,003,001,006,001,006,0,7,7
2022-01-12,2022-01-12,65.059356689453125,xgb,001,000,age,003,001,006,001,006,0,7,7
2022-01-13,2022-01-13,69.66456604003906,xgb,001,000,age,003,001,006,001,006,0,7,7
2022-01-14,2022-01-14,69.26231384277344,xgb,001,000,age,003,001,006,001,006,0,7,7
2022-01-15,2022-01-15,76.4202651977539,xgb,001,000,age,003,001,006,001,006,0,7,7
2022-01-16,2022-01-16,81.67893981933594,xgb,001,000,age,003,001,006,001,006,0,7,7
2022-01-17,2022-01-17,83.17498016357422,xgb,001,000,age,003,001,006,001,006,0,7,7
2022-01-18,2022-01-18,90.6763916015625,xgb,001,000,age,003,001,006,001,006,0,7,7
2022-01-19,2022-01-19,92.304412841796875,xgb,001,000,age,003,001,006,001,006,0,7,7
2022-01-20,2022-01-20,92.26932525634766,xgb,001,000,age,003,001,006,001,006,0,7,7
2022-01-21,2022-01-21,88.43729400634766,xgb,001,000,age,003,001,006,001,006,0,7,7
2022-01-22,2022-01-22,82.36821746826172,xgb,001,000,age,003,001,006,001,006,0,7,7
2022-01-23,2022-01-23,90.00499725341797,xgb,001,000,age,003,001,006,001,006,0,7,7
2022-01-24,2022-01-24,93.8751220703125,xgb,001,000,age,003,001,006,001,006,0,7,7
