date_day,date_day_shift_k,y,type_model,number_xy,number_combination_features,name_data_set,number_grid_combinations_kNp_dates_train_test,number_combination_kNp,group_dates_train_test,number_dates_train_test,number_hyp_par_grid,k,N,p
2021-11-23,2021-11-23,51.16596984863281,xgb,001,004,base,003,001,006,001,006,0,7,7
2021-11-24,2021-11-24,58.0966796875,xgb,001,004,base,003,001,006,001,006,0,7,7
2021-11-25,2021-11-25,55.33739471435547,xgb,001,004,base,003,001,006,001,006,0,7,7
2021-11-26,2021-11-26,53.3203239440918,xgb,001,004,base,003,001,006,001,006,0,7,7
2021-11-27,2021-11-27,58.46220016479492,xgb,001,004,base,003,001,006,001,006,0,7,7
2021-11-28,2021-11-28,55.33739471435547,xgb,001,004,base,003,001,006,001,006,0,7,7
2021-11-29,2021-11-29,60.68872833251953,xgb,001,004,base,003,001,006,001,006,0,7,7
2021-11-30,2021-11-30,63,xgb,001,004,base,003,001,006,001,006,0,7,7
2021-12-01,2021-12-01,63,xgb,001,004,base,003,001,006,001,006,0,7,7
2021-12-02,2021-12-02,60.71114730834961,xgb,001,004,base,003,001,006,001,006,0,7,7
2021-12-03,2021-12-03,58.39987564086914,xgb,001,004,base,003,001,006,001,006,0,7,7
2021-12-04,2021-12-04,62.79999923706055,xgb,001,004,base,003,001,006,001,006,0,7,7
2021-12-05,2021-12-05,63,xgb,001,004,base,003,001,006,001,006,0,7,7
2021-12-06,2021-12-06,63,xgb,001,004,base,003,001,006,001,006,0,7,7
2021-12-07,2021-12-07,60.71114730834961,xgb,001,004,base,003,001,006,001,006,0,7,7
2021-12-08,2021-12-08,60.68872833251953,xgb,001,004,base,003,001,006,001,006,0,7,7
2021-12-09,2021-12-09,53.23869323730469,xgb,001,004,base,003,001,006,001,006,0,7,7
2021-12-10,2021-12-10,54.136871337890625,xgb,001,004,base,003,001,006,001,006,0,7,7
2021-12-11,2021-12-11,50.19647979736328,xgb,001,004,base,003,001,006,001,006,0,7,7
2021-12-12,2021-12-12,58.0966796875,xgb,001,004,base,003,001,006,001,006,0,7,7
2021-12-13,2021-12-13,60.17034912109375,xgb,001,004,base,003,001,006,001,006,0,7,7
2021-12-14,2021-12-14,53.577720642089844,xgb,001,004,base,003,001,006,001,006,0,7,7
2021-12-15,2021-12-15,58.0966796875,xgb,001,004,base,003,001,006,001,006,0,7,7
2021-12-16,2021-12-16,52.850128173828125,xgb,001,004,base,003,001,006,001,006,0,7,7
