number_xy,number_combination_features,name_data_set,number_combination_kNp,k,N,p,group_dates_train_test,number_dates_train_test,rmse_train,rmse_test,number_hyp_par_grid_xgb,nrounds,eta,gamma,max_depth,min_child_weight,max_delta_step,subsample,colsample_bytree,colsample_bylevel,colsample_bynode,lambda,alpha
001,005,base,001,0,7,7,002,001,12.90463061919217,3.3489319754772557,006,10,0.1,0,8,1,5,1,1,1,1,1,0
001,005,base,002,0,7,14,002,001,13.440599558316602,3.5640845225935354,006,10,0.1,0,8,1,5,1,1,1,1,1,0
001,005,base,003,0,7,21,002,001,7.288917237640412,2.0226292490116595,006,10,0.1,0,6,1,0,1,1,1,1,1,0
001,005,base,004,0,7,28,002,001,6.741969710248311,1.6145190318662548,006,10,0.1,0,4,1,0,1,1,1,1,1,0
001,005,base,005,0,7,35,002,001,5.593978046064974,1.633112597602899,006,10,0.1,0,3,1,20,1,1,1,1,1,0
001,005,base,006,7,7,7,002,001,13.450246029032753,3.712056790024039,006,10,0.1,0,3,1,5,1,1,1,1,1,0
001,005,base,007,7,7,14,002,001,13.622418611250195,3.347654757709388,006,10,0.1,0,7,1,5,1,1,1,1,1,0
001,005,base,008,7,7,21,002,001,12.283470614155798,3.0897839572990207,006,10,0.1,0,8,1,5,1,1,1,1,1,0
001,005,base,009,7,7,28,002,001,6.8697117860062455,1.9476246496841425,006,10,0.1,0,4,1,10,1,1,1,1,1,0
001,005,base,010,7,7,35,002,001,4.560272774441207,1.8766219919171836,006,10,0.1,0,5,1,10,1,1,1,1,1,0
001,005,base,011,14,7,7,002,001,13.645923873974944,3.404441768434615,006,10,0.1,0,7,1,5,1,1,1,1,1,0
001,005,base,012,14,7,14,002,001,12.308029835957049,3.2992452091292765,006,10,0.1,0,8,1,5,1,1,1,1,1,0
001,005,base,013,14,7,21,002,001,9.2585203823475,3.217362271111252,006,10,0.1,0,8,1,5,1,1,1,1,1,0
001,005,base,014,14,7,28,002,001,6.412917454760442,3.3731800716350286,006,10,0.1,0,8,1,5,1,1,1,1,1,0
001,005,base,015,14,7,35,002,001,4.124877393401019,2.8140862930890687,006,10,0.1,0,7,1,5,1,1,1,1,1,0
001,005,base,016,21,7,7,002,001,12.347110156761744,3.4662998236922853,006,10,0.1,0,7,1,5,1,1,1,1,1,0
001,005,base,017,21,7,14,002,001,9.265213445505431,3.2133005399982446,006,10,0.1,0,8,1,5,1,1,1,1,1,0
001,005,base,018,21,7,21,002,001,6.41690881990845,3.3911526170331285,006,10,0.1,0,8,1,5,1,1,1,1,1,0
001,005,base,019,21,7,28,002,001,4.12244358527213,3.061089474384519,006,10,0.1,0,6,1,5,1,1,1,1,1,0
001,005,base,020,21,7,35,002,001,3.474206575418811,3.4920105554442253,006,10,0.1,0,3,1,5,1,1,1,1,1,0
001,005,base,021,28,7,7,002,001,9.268733467279834,4.626899648877651,006,10,0.1,0,6,1,5,1,1,1,1,1,0
001,005,base,022,28,7,14,002,001,6.413467821615158,4.663677697174167,006,10,0.1,0,8,1,5,1,1,1,1,1,0
001,005,base,023,28,7,21,002,001,4.114607240657002,4.6555628494773815,006,10,0.1,0,6,1,5,1,1,1,1,1,0
001,005,base,024,28,7,28,002,001,3.474206575418811,4.770778568012182,006,10,0.1,0,3,1,5,1,1,1,1,1,0
001,005,base,025,28,7,35,002,001,2.93139346027905,4.731188455065461,006,10,0.1,0,4,1,5,1,1,1,1,1,0
001,005,base,001,0,7,7,002,002,0.19663236416296373,33.159344692905776,006,200,0.3,0,3,1,20,1,1,1,1,1,0
001,005,base,002,0,7,14,002,002,0.1314404137959005,37.94591682301459,006,50,0.7,0,3,1,25,1,1,1,1,1,0
001,005,base,003,0,7,21,002,002,0.9925797769091766,44.21717424797804,006,10,0.7,0,3,1,15,1,1,1,1,1,0
001,005,base,004,0,7,28,002,002,4.874361072073091e-4,48.57964005667465,006,50,0.5,0,7,1,0,1,1,1,1,1,0
001,005,base,005,0,7,35,002,002,3.57427704265712e-4,46.28833280489457,006,25,0.7,0,7,1,10,1,1,1,1,1,0
001,005,base,006,7,7,7,002,002,0.11797614061615831,34.38230037228675,006,150,0.5,0,3,1,15,1,1,1,1,1,0
001,005,base,007,7,7,14,002,002,0.0013105303987457591,42.700517958120024,006,200,0.5,0,3,1,20,1,1,1,1,1,0
001,005,base,008,7,7,21,002,002,0.4879117097103048,50.850827520786574,006,150,0.1,0,3,1,5,1,1,1,1,1,0
